A: 	oké ik noemen deze arm 
A: 	omdat die een soort van knuffel willen geven met twee heel dun arm 
B: 	ja ik noemen een ander arm denken ik 
B: 	even kijken hebben die hebben die een gek balk boven voor zich 
A: 	één één bolle 
A: 	ja 
A: 	ja ja 
B: 	ja 
B: 	oké dat zijn bij mij d 
A: 	oké dan zijn het d zeven 
B: 	oké D zeven 
A: 	oké bij mij staan die helemaal onderaan 
B: 	ja 
A: 	en dan net wat link van het midden 
B: 	ja bij mij ook 
B: 	en er kunnen niks veel onder 
A: 	ja en ja ja dat zijn het 
B: 	ja er ja 
B: 	ja dan staan ze op dezelfde plek 
B: 	even kijken dat zijn geel 
A: 	geel 
A: 	yes 
B: 	deze hebben we al hebben 
B: 	dit zijn armp 
A: 	mooi zo 
A: 	jou armp of mijn armp 
B: 	jou armp met balk aan de voorkant 
A: 	oké ja 
B: 	K 
A: 	K vijftien 
B: 	en hij staan helemaal hij ze ja ze zijn nu wisselen ja hij staan helemaal rechtsonder in de hoek 
A: 	kunnen er 
B: 	kunnen niks veel niks veel aan 
A: 	oké dat zijn niet hetzelfde 
B: 	nee 
A: 	die ik arm noemen met die paal voor het hoofd 
B: 	ja 
B: 	ik moeten even zoeken 
A: 	twee 
B: 	L twee 
B: 	hij staan bij mij bij die ruit heel dicht bij die ruit 
A: 	ja bij mij ook 
A: 	net net wat schuin rechtsboven 
B: 	ja 
A: 	ja oké zelfde plek 
B: 	ja zelfde plek 
B: 	jou armp 
B: 	M 
B: 	Mico 
B: 	Mico 
B: 	nieuw naam 
B: 	Mico 
A: 	zo 
A: 	als ik hem kunnen vinden 
A: 	M 
B: 	M 
A: 	M zes 
B: 	ja bij mij staan die in echt midden 
A: 	nee 
B: 	rechts kunnen er nog één naast 
A: 	ach op de middel hoogte 
B: 	ja middel hoogte 
A: 	nee zijn niet hetzelfde 
A: 	je mijn arm 
A: 	balk balk ervoor 
B: 	ja 
B: 	J 
A: 	vijftien 
B: 	J vijftien 
A: 	midden hoogte 
A: 	en net wat rechts van het midden als je van midden naar rechts gaan 
A: 	dus midden rechts 
B: 	net ja midden oké 
A: 	ai 
B: 	ja ja ja en staan daar drie zo staan daar eigenlijk zo in een V' en dan de de punt van de V de onderste punt 
A: 	ja en dan zijn het de onder 
A: 	ja 
B: 	ja ja zelfde plek 
A: 	die ja 
B: 	ja 
B: 	jou armp 
B: 	A 
A: 	A drie 
B: 	midden iets naar onder 
B: 	en dan helemaal rechts 
A: 	helemaal 
A: 	ja dezelfde plek 
