A: 	dit zijn die ik net zeggen met die raar vulkaan op zijn hoofd 
B: 	die ja 
A: 	ja met dat ding en dan die twee aan de zijkant 
B: 	ja 
B: 	J 
B: 	wachten 
A: 	en die staan best wel dicht bij het midden maar veel naar links 
B: 	ik hebben we hebben de verkeerd doen denken ik 
A: 	wat hebben je doen 
B: 	ik denken jij hebben met een driehoek op het hoofd maar jij zeggen die met vulkaan op het hoofd 
A: 	shit ja 
B: 	of niet 
B: 	met een isteken aan de rechterkant 
A: 	ja 
B: 	ja ik hebben het verkeerd ah oké 
A: 	oké 
B: 	ik denken zo ja goed maar hij staan 
A: 	nou 
A: 	die een met het isteken moeten je hebben 
B: 	met het isteken ja die die met het rood vierkant eromheen 
A: 	die 
A: 	ja die moeten je maar zeggen iets veel aan de linkerkant 
A: 	en iets veel naar boven 
B: 	ja 
A: 	dus waar wat wat we net zeiden met die echt neus hij zitten daar net iets linksboven van 
B: 	maar wel redelijk wat naar boven 
A: 	bij mij 
B: 	ja 
B: 	maar veel naar boven dan naar links 
A: 	ja ja ja precies ja ja 
B: 	oké 
B: 	dan zijn het hetzelfde 
B: 	dit zijn die een met isteken aan rechterkant 
A: 	met die die een beetje op een eend lijken van Flappy Bird maar dan met een uitlaat 
B: 	ja 
A: 	ja 
B: 	nu je het zeggen 
A: 	oké dat zijn twee 
B: 	hij staan best wel ver naar links maar er zullen er nog wel één tussen kunnen 
B: 	best wel ruim 
B: 	misschien twee maar niet echt 
B: 	en hij staan een beetje naar beneden 
B: 	naar onder 
A: 	ja precies ja je hebben 
B: 	zullen er ook nog één moeten onder kunnen 
A: 	ja 
A: 	ja hebben ik ook 
B: 	oké 
A: 	dit zijn die een met dat istek aan de zijkant 
B: 	ah M 
A: 	en hij staan naar links er zullen er nog wel één onder link van kunnen 
A: 	en dan heel erg naar onder 
B: 	ja 
A: 	waar er niks veel onder kunnen maar nog wel een klein beetje ruimte tussen zitten 
B: 	ja ja dat zijn bij mij ook 
B: 	het isteken 
A: 	even zoeken 
A: 	ja met die dat half driehoekding op zijn hoofd 
B: 	ja trapeziumen 
A: 	dat zijn nummer negen 
B: 	hij staan naar links en naar boven 
B: 	er zullen er nog één boven kunnen 
B: 	krap 
B: 	en nog wel drie link 
A: 	ja dus ja 
A: 	drie link nog en één ja bovenop 
A: 	met dat istek weer 
B: 	istek 
B: 	F 
A: 	en dan naar rechts 
A: 	eronder zullen er nog één krapjes heel krapjes onder passen 
B: 	ja 
A: 	en dan maar echt maar heel klein beetje van het midden verwijderen niet zo heel ver 
B: 	ja denken dat zelfde zijn 
B: 	het isteken 
A: 	nummer zes 
B: 	staan dicht bij het midden maar een beetje links 
A: 	ja precies ja en dan net iets eronder en 
B: 	ja 
A: 	ja 
