B: 	mijn vormp hebben zeggen maar aan de zijkant een bolle ertegen 
B: 	aan de rechterzijkant 
B: 	en op de bovenkant een balk en een soort kegel 
A: 	ja zo'n van bowlingkegel 
B: 	en dan en nog een soort linkerdinge eraan 
A: 	ja dat zijn veertien 
B: 	ja 
B: 	en deze staat net iets onder het midden net iets naar rechts bij mij 
A: 	hebben ik op zich ook 
B: 	op zich of zeker 
A: 	ja hij staan ja hij staan ook iets naar rechts en iets naar het midden ja 
B: 	ja 
A: 	ja ik denken twee eronder en een stuk of vier naar vijf naar rechts snap je 
B: 	waar 
B: 	dus 
A: 	of of nou ja zeggen maar dat wat er nog passen 
A: 	eventueel hij staan ja hij staan wat het midden betreffen gaan gaan je zeggen maar één lengte naar rechts en één lengte naar onder ongeveer 
B: 	ja ja nee 
B: 	dat zijn dat hebben ik ook 
A: 	ja een bolle rechts een driehoek link 
A: 	en dan een kegel erbovenop en een staaf er rechts naast 
B: 	ja 
B: 	N 
A: 	staan die helemaal links 
A: 	past bijna niks veel tussen het scherm en iets naar boven 
B: 	nee 
B: 	bij mij staan er nog kunnen er nog drie link naast 
A: 	nee oké 
B: 	dit zijn weer met dat bolletje rechts aan de zijkant 
B: 	en er zeggen maar een beetje op zitten een balk of en een soort kegel erop 
B: 	en aan de linkerkant een soort driehoek 
A: 	een kijken waar zijn het ook alweer 
A: 	ja bolletje rechts driehoek link kegel erbovenop balk erbovenop 
B: 	ja 
A: 	negen zijn dat 
B: 	oké 
B: 	en hij staan bij mij lichtelijk iets boven het midden en bijna helemaal aan de linkerkant maar er past nog één figuurt tussen 
A: 	bij mij staan die echt helemaal Linksboven 
B: 	nee dan kloppen die niet 
A: 	hebben ik nu weer vier figuur bollet driehoek kegel staaf 
B: 	oeh 
B: 	bolle 
A: 	ja 
B: 	wachten met het het het staaf en het kegel erin en dan aan de 
A: 	dit zijn met die kegel 
A: 	ja 
B: 	dat zijn bij mij G 
A: 	en dan staan die iets naar beneden en iets naar links 
B: 	ja 
B: 	ik hebben met het bolle aan de rechterkant en dan die balk en die kegel 
A: 	ja nummer vijf 
B: 	hij staan een stap boven het midden 
B: 	en er kunnen er nog twee en een half à drie naast 
A: 	aan de rechterkant 
B: 	rechts 
B: 	aan de rechterkant 
A: 	hebben ik niet 
A: 	ik hebben die met een cirkel aan de rechterkant een driehoek aan de linkerkant een kegel en een balk 
B: 	ja dat zijn J 
A: 	en dan staan die er kunnen nog één boven en nog twee à drie rechts 
B: 	nee er toepassen er nog drie boven 
