B: 	deze hebben een hebben een vierkant plaat zeggen maar aan de voorkant 
A: 	van jou 
B: 	en een op zijn hoofd lijken het een schroef 
A: 	ja en dan twee 
B: 	twee Empire State Buildings 
A: 	ja 
A: 	hij lijken op oog 
B: 	ja 
A: 	nou dat kunnen ook 
B: 	ja dat ook 
A: 	twee 
B: 	en hij staan juist aan de ander kant van die van net 
B: 	dus zeggen maar als je het scherm weer in vier delen 
A: 	ja ja 
B: 	staan die hier onderaan bijna tegen de rand aan 
A: 	bij jou onderaan 
B: 	ja 
A: 	oké 
A: 	nee van mij niet 
A: 	mij zijn dan links daarvan zeggen maar 
A: 	dus Linksboven 
B: 	oké nee bij mij staan die onder 
A: 	oké dan niet 
A: 	ja vierkant oor zeggen maar en dan zo'n 
A: 	kogel of een champignon en dan twee oogjes 
B: 	even kijken een vierkant 
A: 	ik weten niet veel hoe we die net hebben beschrijven 
A: 	het hebben zeggen maar wel zo'n vierkant ja blad zeggen maar 
B: 	die en dan zitten hierboven zo'n ding en aan de zijkant ook 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	F 
B: 	je hebben in het midden weer vier van die dinget en hij zijn de linksboven daarvan 
A: 	Linksboven 
A: 	van mij zijn links beneden 
A: 	oké dan dan zijn het anders 
B: 	dit zijn die met die met zo'n vierkant plaat 
B: 	boven weer een schroef en dan die die die uitpuilen blokkending 
A: 	ja ja ja 
A: 	negen 
B: 	en hij staan boven het logo ja hij staan boven het logo maar daar staan ja 
A: 	hebben je hebben je een een object tussen die je foto en die logo 
B: 	tussen dat ding en het logo 
A: 	ja oké 
A: 	ja dat dat vierkant blad zeggen blaad zeggen maar en dan die 
B: 	ja 
A: 	World Trade Center wat jij zeggen en dan zo'n mushroom 
B: 	ja 
B: 	ja ik zien het ja 
A: 	op zijn kop 
B: 	d 
B: 	boven het logo bijna eigenlijk bijna in het midden van het scherm 
A: 	maar dan de van mij zijn het dan de drie plaat naar boven 
B: 	ja 
A: 	ja ? oké 
B: 	nee hij staan echt bijna helemaal in het midden 
A: 	ja ja ja 
B: 	die met die vierkant plaat en weer die die blok zeggen maar als oog 
A: 	ja 
A: 	en dan dat ding naar boven 
B: 	ja 
A: 	één 
A: 	dat twee driehoekje dat je hebben verzonnen 
A: 	dat zijn best een goed 
A: 	zeggen maar rechts van jou scherm 
B: 	ja 
A: 	en dan de Linksboven 
B: 	nee bij mij zitten die in de middel driehoek 
A: 	oké nee dan niet 
A: 	nee dan liggen wij heel ver van elkaar 
A: 	dat vierhoek vierkant en dan die twee oogjes 
B: 	ja 
B: 	B 
B: 	hij staan ja een één als je een beetje hij staan rechts van het logo 
A: 	ja maar wel beneden 
B: 	ja wel beneden 
A: 	oké van mij ook 
