A: 	deze hebben ja hoe hoe leggen je dat uit ? het zijn zeggen maar klokslag negen uur 
A: 	vinden ik dat hebben ik ervan maken 
A: 	omdat je dus een stuk richting de negen hebben en een stuk richting de twaalf 
A: 	en dat zijn een soort van bloemblaadjes van een margriet of zo 
A: 	en dan zitten er nog een soort slurf aan de achterkant en aan de schuin voorkant een een soort kubus die steeds groot worden 
B: 	ja 
B: 	ja dan weten ik welk je bedoelen 
A: 	ja ? hebben je hem door 
B: 	ja dat zijn E 
A: 	en bij mij zitten die helemaal rechts 
A: 	en dan in het midden en denken ik net boven wat jij zeggen horizontaal erboven zeggen maar 
B: 	helemaal rechts 
A: 	ja helemaal rechts 
B: 	oké bij mij zitten die ongeveer in het midden van de rechterschermhelft maar dat zijn dus niet 
A: 	jawel jawel maar dan iets iets veel omhoog maar iemand ander zullen waarschijnlijk ook wel het midden zeggen 
A: 	het zijn zeggen maar net als je horizontaal horizontaal hebben zijn die er net boven maar 
B: 	ja ja maar waar zitten die op de verticaal lijn 
A: 	precies in het midden wel 
B: 	oké 
B: 	dan denken ik dat het hetzelfde zijn 
B: 	oké 
B: 	deze noemen jij negen uur geloven ik zeggen je 
A: 	ja dan ja dan weten ik hem meteen 
B: 	met vier uitsteeksel 
A: 	ja ja ja ja 
B: 	ja 
B: 	oké 
A: 	elf 
B: 	deze staat net op de linkerschermhelft 
B: 	en net iets boven het midden 
A: 	ja 
A: 	dit zijn negen uur 
B: 	maar ook het zijn met van die kubus toch 
A: 	ja ja ja ja ja ja 
B: 	ja oké 
B: 	dan zijn het J 
A: 	en die zitten bij mij aan de rechterkant van het scherm en best wel in het midden 
A: 	verticaal en horizontaal zien ja verticaal iets veel naar link denken ik 
B: 	verticaal iets veel naar links 
A: 	ja en aan de rechterkant van je scherm ja 
A: 	maar horizontaal wel het midden 
B: 	nee 
B: 	dit zijn negen uur 
A: 	negen 
B: 	en die staan op de rechterschermhelft verticaal ik denken dat ik wel kunnen zeggen in het midden 
B: 	en horizontaal zien net onder het midden 
A: 	dit zijn negen uur 
B: 	ja dat zijn B 
A: 	en die zitten aan je rechterkant van je schermhelft en dan verticaal zien wel in het midden maar horizontaal 
A: 	iets veel naar beneden 
A: 	maar als je zeggen maar je rechterscherm in twee zullen verdelen dan zitten die wel in het midden 
B: 	oké ja bij mij zitten die duidelijk naar rechts 
B: 	dit zijn weer negen uur 
A: 	dat zijn vier 
B: 	en die zitten van de linkerschermhelft nog steeds aan de linkerkant 
B: 	en bijna helemaal bovenin 
A: 	ja 
