A: 	oké ja dit zijn een een een kop waarbij er een soort van haak onder zitten 
A: 	een haak aan de zijkant een soort Pinokkioneus naar voren zo'n 
B: 	ah ja ik weten welk je bedoelen 
B: 	M 
A: 	en hij zitten bij mij ongeveer in het midden van de linkerhelft 
B: 	en dan redelijk bovenaan 
A: 	nee echt in het midden en anders iets naar beneden zelfs 
B: 	oké dan zijn die anders 
B: 	ik vinden dit een beetje een kraan met een wasbak 
B: 	er zitten een soort van afvoer onder en aan de zijkant het zijn twee dezelfde ding er zitten een soort van potlood die er vooruit uit opsteken 
A: 	ja en dan zitten er nog een een een vierkant achter waar ook weer iets uit komen 
B: 	ja 
A: 	ja 
A: 	dat zijn negen 
B: 	die zitten bij mij helemaal onderaan aan de linkerkant 
A: 	ja bij mij zitten die onderaan de linkerkant en dan iets naar rechts toe als je die helft bekijken 
B: 	de helft van de linkerkant en dan iets naar rechts 
A: 	ja je hebben de linkerhelft en dan zitten die wat veel naar rechts toe 
B: 	ja 
B: 	ja 
A: 	ja 
A: 	dit zijn die raar die zo'n hengsel van onder hebben van de zijkant en die hebben dan van achter hebben die een vierkant waar ook weer iets doorheen zitten 
B: 	ja dat vinden ik wasbak met een kraan ja 
A: 	ja ja dat ja ik ik zien hem 
B: 	H 
B: 	ja in het midden links en dan bovenaan 
B: 	redelijk 
A: 	ik hebben het volgens hij staan tussen heel veel ding in ieder geval en 
B: 	ongeveer 
B: 	ja er zitten er echt vijf omheen 
B: 	bij mij 
A: 	ja ja nee ja dan hebben we hetzelfde denken ik inderdaad 
B: 	zullen hetzelfde zijn ja 
B: 	ja dit zijn weer die waar ik zeggen een wasbak met een kraan 
A: 	even kijken ja ja ja ja 
B: 	met een potlood aan de voorkant 
A: 	ja met dat vierkant waar ook weer dan wat in zitten achterin ja 
B: 	ja 
A: 	elf 
B: 	en die zitten bij mij linksboven in de hoek 
A: 	en bij mij zitten die 
B: 	ongeveer de ja 
A: 	hij zitten veel in het midden maar wel het veel in de hoek of zo 
B: 	niet echt in de hoek maar 
B: 	ja dat 
A: 	ja oké toppie 
B: 	ja 
A: 	dit zijn degeen met het vierkant achter met waar waar weer wat doorheen zitten en 
A: 	zeggen maar het potlood van voor en het haak beneden en het haak hier aan de rechterkant 
A: 	een beetje een wasbak volgens mij 
B: 	ja D 
B: 	ik moeten hem even zoeken 
B: 	bij mij zitten die linksonder in de hoek 
A: 	mij zitten die niet in de hoek 
B: 	oké 
B: 	ja de de soort van wasbak met het vierkant dat eruit opsteken aan de bovenkant 
A: 	ja veertien 
B: 	helemaal links in het midden 
A: 	hij zitten wel nee nee dat zijn het niet 
B: 	oké 
