B: 	ik vinden dit een beetje een robot het zijn een mok met een vierkant aan de voorkant die zijn dus platgeslagen 
B: 	er zitten een spijker aan de bovenkant en twee van die bliksemschich aan de zijkant 
A: 	ja 
A: 	nummer twee 
B: 	die zitten bij mij aan de linkerkant en dan in het ondervlak een beetje in het midden 
A: 	ja 
A: 	dit zijn die die met die twee bliksemschicht aan de links kant spijker erin en een vierkant een vierkant vlak ertegenaan 
B: 	ja ja de robot 
A: 	robot 
A: 	ja 
B: 	dat zijn bij mij G 
A: 	en die zitten bij mij tegen de verticaal middellijn aan en dan aan de links kant daarvan 
A: 	en net iets onder het midden 
B: 	ja zelfde plek denken ik 
B: 	dit zijn de robot 
B: 	plat voorkant spijker en twee klein worden vierkant aan de linkerkant 
A: 	even kijken waar die staan 
A: 	ja dat zijn nummer negen 
B: 	en die staan bij mij in het linksondervlak en dan tegen het middenkruis aan 
A: 	ja bij mij ook 
A: 	dit zijn de robot 
B: 	oké ja dat zijn bij mij d 
A: 	en die zitten als je de verticaal lijn hebben zitten die daar iets link van maar misschien raken die hem ook wel een beetje 
B: 	nee bij mij gaan die er echt dwars doorheen 
A: 	ja bij mij misschien ook wel 
A: 	en hij zitten ook wel echt in het midden als je hem horizontaal iets boven het midden dan denken ik 
B: 	ja 
A: 	ja dan zijn het wel dezelfde plek ja 
B: 	dat de denken ik denken ik wel dezelfde plek ja 
B: 	dit zijn de robot 
A: 	de robot zitten 
B: 	die zitten een beetje bij de die staan bij jou weer heel ergens ander denken ik 
B: 	bij mij zitten die een beetje richting het middenkruis 
A: 	ja bij mij ook wel een beetje 
A: 	ja maar de robot zijn in ieder geval nummer één 
B: 	en dan hebben je dus het kruisje de horizontaal lijn gaan erdoorheen 
B: 	de verticaal niet 
A: 	nee 
A: 	mij gaan de horizontaal lijn er ook niet doorheen 
A: 	hij zitten nee gaan er niet doorheen 
A: 	bij jou wel echt 
B: 	de horizontaal lijn ja die gaan dan echt door die spijker heen zeggen maar 
A: 	nee bij mij echt niet 
A: 	nee ander plek 
A: 	robot 
B: 	hallo 
B: 	ja dat zijn bij mij B 
A: 	en dan het vak rechts onderin 
A: 	en dan zitten die aan de rechterkant van de verticaal lijn 
A: 	onderin 
A: 	en de horizontaal lijn zitten die iets onder 
B: 	ja daar hebben je zeggen maar twee figuurt die een beetje bij elkaar staan één die raken worden en één die vrij staan 
A: 	ja 
A: 	wat bedoelen je met raken ? raken worden door de 
B: 	door de verticaal lijn 
A: 	verticaal lijn ja en deze staan er rechts van 
B: 	ja nee dan het zijn de robot ja dan hebben ik dezelfde plek 
A: 	oké 
