B: 	ok even kijken 
B: 	ik hebben deze omschrijven als een soort raket omdat hij een soort raar ding aan de zijkant hebben en er zitten een soort vierkant balk bovenop 
A: 	o ik weten wel die vierkant balk bovenop zijn dat met dat heel dun cilindertje daar aan de rechterkant 
B: 	aan de rechterkant zitten een soort uitsteeksel en daar staan inderdaad een heel klein pilaar op 
A: 	heel ja jajaja 
A: 	ja die ja die hebben ik al ja dan weten ik al welk je bedoelen 
B: 	hoe hoe hoe beschrijven jij die 
A: 	ja het zijn gewoon die mok daar zitten een balk gewoon op liggen en aan de linksonder zitten een beetje een rondachtig 
B: 	ja 
A: 	ja nee dan ja dan zijn het gewoon dezelfde 
B: 	ok 
A: 	acht 
B: 	ja hij zitten eigenlijk gewoon in het midden 
A: 	ja ongeveer wel ja net iets net iets naar de links kant 
B: 	ja hij zitten links bovenin maar dan rechts helemaal onderin ja 
A: 	ja jaja bij mij ook 
A: 	ok met die balk bovenop waar die liggen 
A: 	en hoe ik zeggen vorig keer van die van dat dun spiraal aan de of van die niet spiraal maar 
B: 	ja waar een soort soort vleugel ja uitsteekt met een heel dun dinge inderdaad E 
A: 	ja met dat superdun ding erop 
A: 	ja die die ja 
A: 	ok rechts onderste vak link bovenin dus best wel dicht bij midden 
B: 	rechts boven vak 
A: 	rechts onderste vak 
B: 	rechts onder 
A: 	rechts onderste vak en dan links bovenin daarvan 
B: 	nee bij mij zitten hij rechts boven 
A: 	ok 
B: 	die ik als raket omschrijf maar die jij met het klein dun balk met het heel dun balk en het vierkant blok bovenop 
A: 	o jajaja 
A: 	ja ja ja 
A: 	ah even kijken één 
A: 	bij mij zitten hij gewoon bovenin in het midden 
B: 	bovenin het midden 
A: 	ja 
A: 	die raket met het paaltje beetje dat dun ding 
B: 	hm ? o met dat dun 
A: 	snapen je 
A: 	met dat dun ding wat jij raket noemen 
B: 	ja met het blok op zijn hoofd E 
A: 	ja en blok op zijn hoofd 
B: 	volgens mij moeten we die gewoon inderdaad blok op zijn hoofd 
A: 	link onderste vak midden boven ongeveer 
B: 	wachten even links onderste vak 
A: 	ja 
B: 	link onderste vak midden boven ja er zitten er nog één ding link van 
A: 	ja bij mij ook 
B: 	ja dan zitten ze op zelfde plek denken ik en één ding rechts nog 
A: 	ja ook 
B: 	ja 
B: 	even kijken die ik het de raket noemen blok op zijn hoofd 
A: 	ja balk op zijn hoofd 
A: 	zestien 
B: 	van die drie op een rij de rechts onderste 
A: 	ja bij mij ook dus gewoon rechts onderste vak onderin het midden ongeveer toch ? ja ok 
B: 	ja 
A: 	met die smal buis balk op zijn dat bovenop weten je wel 
B: 	okan ja die raket ah O O 
A: 	helemaal links onderin 
B: 	ja helemaal links onderin 
