A: 	oké ik noemen deze dumbbell met het zijn niet het juist er zitten een staart onderaan 
A: 	die gaan naar links die die gaan naar rechtsvoor en bovenop hebben je een ruit met een staaf erdoorheen 
B: 	ja ja met twee ja ja ja 
B: 	dat zijn M bij mij 
A: 	M 
B: 	en bij jou 
A: 	drie 
B: 	ik moeten het zeggen 
A: 	ja 
B: 	drie M 
B: 	en 
A: 	net wat onder het midden 
B: 	nee bij mij staan die boven het midden 
A: 	hal 
A: 	halverwege naar links 
A: 	oké dus niet hetzelfde 
B: 	nee 
B: 	niet hetzelfde 
B: 	dit zijn met die ruit bovenop en die waar die die doorboren ruit door vierkant 
A: 	ja ja ja 
B: 	ja 
A: 	negen 
B: 	I 
A: 	ja 
A: 	I negen 
B: 	en hij staan linksonder helemaal onderin en dan 
A: 	niet hetzelfde 
A: 	wachten 
A: 	helemaal links onderin 
B: 	nee nee nee link onderin en dan iets veel naar het midden dan naar op drie vier dus vanaf de zijkant 
B: 	en één vier naar het midden toe 
B: 	of naar links oké ja even kijken 
B: 	er kunnen niks veel onder kunnen er bij jou nog iets onder 
A: 	we we kunnen het ook gaan uitbeelden want daar zitten die oké 
A: 	oké als je de middel rij hebben staan die dan op één vier naar links 
B: 	ja 
B: 	ja 
B: 	ja één vier naar links 
A: 	dus er kunnen nog makkelijk drie link van 
B: 	ja er zullen er nog drie langs kunnen 
A: 	oké zelfde plek 
A: 	degeen met met die ruit achter in het hoofd met die twee staf die eruit komen staart onderaan 
B: 	sorry wachten even ruit en 
A: 	ruit in het hoofd gewoon recht achter in het hoofd 
B: 	ja ja die die gek met die armpjes zo 
A: 	hebben geen armp 
A: 	ja met de armpjes uit de ruit 
B: 	wachten nee dan hebben ik even niet de goed armpjes uit de ruit 
A: 	dus ruit helemaal bovenin 
A: 	of gewoon bovenop 
B: 	die ja ja H 
B: 	bij jou 
A: 	zes 
B: 	H zes 
A: 	van links naar het midden staan die in het midden 
A: 	dus in het midden van linksmidd en dan boven het midden 
B: 	ja bij mij ook 
A: 	kunnen er net een half onder 
A: 	qua midden en boven 
A: 	dus hij zitten 
B: 	ja 
B: 	en hoeveel zullen er nog boven kunnen denken je 
A: 	één 
B: 	ja één ja ik twijfelen een beetje of het zeggen maar H bij mij H of L zullen L zullen ook kunnen 
A: 	van dezelfde grootte 
A: 	oké hoe ver staat die van links naar van links naar het midden toe 
B: 	van links naar het midden toe 
A: 	ja 
B: 	eigenlijk staan die precies in het midden zo 
A: 	ja bij mij ook 
B: 	ja dan zijn het dan zijn het dezelfde dat moeten bijna wel 
A: 	oké 
B: 	dit zijn die met die ruit op het hoofd met waardoor en die 
A: 	met dat ding erdoor met dat ding er ihten ja 
B: 	ja ja precies 
B: 	F 
A: 	F elf 
B: 	ja hij staan bij mij zo ver er staan niks veel ver linksboven als dit maar er zullen er misschien zelfs nog wel twee naast kunnen links 
A: 	ja oké 
A: 	en er past er misschien net een half past Erboven 
B: 	boven ja 
A: 	oké ja zijn zelfde plek 
B: 	ja 
A: 	ruit op het hoofd met die staaf door de ruit heen 
B: 	ja 
B: 	d 
A: 	acht 
B: 	d acht 
B: 	ja deze kunnen eigenlijk niet op dezelfde plek staan want bij mij staan die helemaal linksonder 
A: 	ja kloppen ja en 
B: 	wachten ja 
A: 	dan mogen jij 
B: 	dit zijn die met die ruit boven op zijn hoofd waar dat ding doorheen gaan 
B: 	met die 
A: 	ja 
B: 	ja 
A: 	veertien 
B: 	G 
A: 	G veertien 
B: 	en die staan helemaal links in het midden 
A: 	nee niet hetzelfde 
