A: 	deze vinden ik moeilijk te omschrijven dat zijn dat kop en die hebben dan bovenin wel een piramide met een punt 
A: 	en dan hebben die nog een heel lelijk vervormen blok 
B: 	ja 
A: 	aan de zijkant 
B: 	en aan de zijkant een soort van schroevendraaier aan 
A: 	en nog één 
A: 	zo'n fles die erin 
A: 	ja 
A: 	die ja 
B: 	ja 
B: 	nummer J 
B: 	niet nummer J letter J 
A: 	en hij staan helemaal onderin en veel rechts van het midden 
B: 	ja maar niet helemaal tegen de zijkant 
A: 	niet helemaal nee de helft 
B: 	bij mij 
A: 	vijfenzeventig procent 
B: 	ik hebben die met die echt piramide op het hoofd 
A: 	ja en dat gek blok 
B: 	en dan zo'n raar dinge 
B: 	ja 
A: 	nummer zes 
B: 	staan bij mij niet helemaal rechts onderin maar iets omhoog 
B: 	en nog iets veel naar links 
A: 	ja 
A: 	oké daar hebben ik hem ook 
A: 	die met die die spits piramide bovenop 
B: 	en dat raar blok 
A: 	en dat raar blok ja 
B: 	E 
A: 	en dan centrum centrum en dan iets veel naar rechts iets veel naar onder 
B: 	oké nee 
B: 	heel veel naar rechts 
A: 	nee echt maar klein beetje 
B: 	nee 
B: 	met die dat piramide op zijn hoofd en dat raar ding aan de voorkant 
A: 	ja ja die goed piramide nummer tien 
B: 	en dan staan die bijna linkeronderhoek 
B: 	tien procent ongeveer twintig procent van de linkerzijkant af 
A: 	oké en bij mij staan die wat ver van de zijkant af echt wel veertig denken ik dus dan doen ik wel gewoon nee 
B: 	nee 
A: 	die met die piramide en dat raar blok 
B: 	G 
A: 	en die staan bij mij echt Linksboven in de hoek 
B: 	mij ook 
B: 	dat piramide 
A: 	ja 
B: 	met dat raar blok 
A: 	ja nummer tien 
B: 	ja 
B: 	en dan staan die ongeveer van de rechterkant twintig procent hij staan twintig procent van de rechterkant af 
B: 	en dan bijna midden ja 
A: 	midden hoogte 
B: 	midden hoogte net iets onder 
A: 	ja dan denken ik dat dat wel overeenkomen 
