B: 	de mok 
B: 	zijn helemaal doorboren door een platform 
B: 	soort van glijbaan als je die als je op die mok zullen gaan staan en je je die die komen op dat platform uit 
B: 	aan de linkerkant zitten een soort van L op zijn kant dus zo en dan zo 
B: 	en aan de bovenkant steken er twee dinge uit 
A: 	oké ja er zitten echt zo'n vierkant platform omheen een beetje midden onder 
B: 	ja 
A: 	ja 
B: 	lijken alsof die of dat die dat die mok erin zitten of dat die hem doorboort 
B: 	er komen dus een soort van glijbaan op uit 
A: 	ja 
B: 	twee van die dinget en dan een L op zijn kant 
A: 	ja dat zijn nummer zes 
B: 	bij mij zitten die helemaal boven in het scherm en dan iets veel naar rechts 
A: 	ja bij mij ook 
A: 	dan zitten die op dezelfde plek 
A: 	deze hebben twee kort balkjes bovenuit steken naast elkaar 
A: 	en die hebben zo'n platform om zich heen 
A: 	een vierkant platform en dan zo'n glijbaan eruit en zo'n L 
B: 	ja zijn doorboren door een 
B: 	met de glijbaan 
B: 	ja dat zijn bij mij C 
A: 	en hij zitten bij mij rechtsboven 
B: 	ja 
A: 	als je dan het rechts bovenvlak hebben zitten die een beetje in het midden 
A: 	van dat aan het aan het midden aan de bovenkant zeggen maar 
B: 	ja 
A: 	dus dan hebben je het rechts vlak 
A: 	zitten die wel echt boven 
A: 	en dan horizontaal zien een beetje in het midden 
B: 	ja 
B: 	zijn zitten die hellen die ietsjes naar links 
A: 	als je echt het als je als je het rechtervlak hebben ja dat zullen kunnen ja 
B: 	als je de recht het vlak 
B: 	ja ? oké dan zijn het dezelfde plek 
B: 	dit zijn die die twee antenne hebben aan de bovenkant 
B: 	platform wat doormidden gaan de waterglijbaan en de L op zijn kant 
A: 	ja 
A: 	dat zijn dertien 
B: 	en die zitten bij mij Linksboven 
A: 	nee 
A: 	bij mij niet bij mij zitten die wel links maar dan een beetje midden 
B: 	nee bij mij zijn echt veel linksbovenfiguur 
A: 	oké 
A: 	nee 
A: 	deze zijn met dat hoe noemen we dat nou dat platform rondom die kop en dan twee van die klein staafjes erbovenuit 
A: 	zo'n hoekig staaf aan de links kant en zo'n glijbaan 
B: 	ja de waterglijbaan 
A: 	ja 
B: 	ja ja ja dat zijn bij mij J 
A: 	en hij zitten onderin 
A: 	net aan de rechterkant van de verticaal lijn 
A: 	en wel echt onderin 
B: 	ja dat zijn dezelfde plek denken ik 
B: 	dit zijn die met de waterglijbaan die zitten bij mij helemaal rechts 
A: 	ja 
A: 	met die twee balk erbovenuit 
B: 	ja ja 
A: 	ja nummer negen 
B: 	en die zitten dus in het rechtervlak 
A: 	ja 
B: 	er zijn er één die misschien net nog iets veel naar rechts gaan 
A: 	bij mij niet 
B: 	en hij zitten in het rechterbovenvlak ook 
A: 	nee rechtsonder bij mij 
B: 	ja 
B: 	en dan dan zijn die bij jou twee ook omdraaid oké 
A: 	ja 
B: 	oké 
A: 	dit zijn met die glijbaan en dat platform 
B: 	ja dat zijn bij mij N 
A: 	en hij zitten de rechts van de verticaal lijn of hij kruisen hem een beetje 
A: 	en hij zitten boven het midden 
A: 	duidelijk 
A: 	dus je hebben die en daaronder hebben ik de voetbalbeker 
B: 	ja dat bij mij Pippi Langkous zijn 
B: 	ja ja nee zelfde plek dan 
A: 	oké 
