A: 	deze mok hebben aan de rechterkant twee balkje die precies even groot zijn 
A: 	precies ongeveer even groot zijn 
A: 	aan de bovenkant zitten er een soort van driehoek bovenop 
A: 	maar wel een stompe driehoek 
B: 	ja 
A: 	dan zitten er nog een een soort van balkje aan de links kant en helemaal onderin zitten nog een soort van standaard of zo ja 
B: 	de stekker 
B: 	zeggen maar een soort van stekker 
A: 	ja 
B: 	ja 
B: 	dat zijn bij mij I 
B: 	tenminste ik denken dat het I zijn 
B: 	ja I 
A: 	hij zitten bij mij links en ook als je als je de linkerkant nog in boven en onder verdeelen zitten die boven 
A: 	dus eigenlijk als je hem in vier verdeelen zitten tegen de link tegen het links lijn tegen de lijn aan aan de linkerkant 
B: 	tegen de middellijn 
A: 	ja 
B: 	ja 
B: 	dat zijn denken ik dezelfde plek 
B: 	dit zijn de stekker 
A: 	de stekker dat zijn 
B: 	ja 
B: 	hebben een driehoek met een de stomp zijn ervan af 
B: 	die hebben zo'n deurklink 
B: 	zitten zo'n klein dinge hier zo links en die hebben dan twee van die ding die er aan die kant uit steken 
A: 	ja 
A: 	dat zijn nummer twee 
B: 	die zitten bij mij verticaal middellijn linkervakten 
B: 	onder in het linkervlak en dan een beetje tegen de horizontaal middellijn aan 
A: 	ja 
A: 	dit zijn het figuur waar aan de rechterkant twee dezelfde balkjes uit komen er zitten een driehoek bovenop maar dat zijn wel die stompe driehoek 
A: 	en ja die stekker 
B: 	ja dat zijn bij mij M 
A: 	en hij zitten bij mij linksonder 
A: 	en dan echt aan de onderkant en ook vrijwel links echt bijna helemaal linksonder alleen zitten een stuk van de buitenkant af 
B: 	stuk van de buitenkant af 
A: 	ja hij zitten zeggen maar echt linksonder in het scherm 
A: 	maar dan een klein stuk van de buitenkant van het scherm af 
B: 	oké nee ik hebben echt nog zo'n stuk over tot de tot het scherm 
A: 	ja zo ik ja zoiets 
A: 	zitten helemaal geen figuurt veel tussen of zo 
B: 	nee 
B: 	maar er zullen nog wel een figuur passen zeggen maar 
A: 	zullen nog wel passen maar wel net 
A: 	wel net past er net naast 
B: 	aan de onderkant hebben je zo'n stuk over 
A: 	ja 
B: 	oké ja dan denken ik wel dat het dezelfde plek zijn 
A: 	ja 
B: 	dit zijn de stekker 
A: 	de stekker die die dat zijn nummer 
B: 	zitten bij mij Linksboven 
B: 	in het linkerbovenvlak zitten die bij mij 
A: 	ja 
A: 	nummer negen 
A: 	ja bij mij ook 
B: 	en dan zitten er link daarvan nog een figuurt 
A: 	ja 
B: 	dat zijn die ik veel complex die we hebben hebben met dat ruit en de dinge 
A: 	ja 
B: 	dus linksboven daar zitten die dan denken ik op dezelfde plek 
A: 	ja en linksonder daarvan zitten dat tafel met dat saladebakje 
B: 	ja 
B: 	ja dan hebben we denken ik nog steeds dezelfde 
A: 	zelfde plek 
A: 	ja 
A: 	dit zijn de stekker 
B: 	ja dat zijn bij mij F 
A: 	en die zitten rechts van de verticaal lijn 
A: 	en vrij onder de horizontaal lijn 
A: 	dus hij zitten echt in het vlak rechtsonder 
A: 	en dan beetje tegen de verticaal lijn aan 
A: 	en dan zitten er één de indiaan zitten er echt net naast 
B: 	zitten die indiaan bij jou rechts of link 
A: 	de indiaan zijn links van mijn figuur 
B: 	ja bij mij ook 
A: 	en die zitten er echt tegenaan bijna 
B: 	ja 
B: 	de dat dinge van de stekker die doorgaan bijna door het bolle boord van de indiaan heen 
A: 	ja 
B: 	nou dan zijn dat denken ik zelfde plek 
B: 	dit zijn de stekker 
B: 	die zitten bij mij horizontaal en dan de middellijn 
A: 	de stekker zitten ja 
A: 	nummer zes 
B: 	en die die zitten dus links van de of van de verticaal lijn en worden raken door de horizontaal 
A: 	ja 
A: 	maar dat zijn er wel twee 
B: 	ja hij staan niet helemaal naar links hij staan veel richting de verticaal lijn 
A: 	ja 
A: 	zelfde plek 
