A: 	ja dit zijn ik vinden het een beetje op een gieter lijken dat kop en aan de een kant zo'n staaf met een bolle aan de zijkant 
A: 	en aan de ander kant ook datzelfde stuk staaf met dat bolle 
A: 	en aan de achterkant nog een soort van ja schuin vierkant met daaronder nog een staaf 
B: 	ja 
B: 	zijn zeggen maar alsof dat ding erdoorheen gaan 
A: 	ja beetje wel 
B: 	oké 
A: 	ja vooral die twee ja soort van plat bolletjes aan de zijkant 
B: 	ja 
B: 	oké 
B: 	dat zijn K bij mij 
A: 	en hij staan ja het veel linksbovenplaa 
A: 	zo'n stuk van de bovenkant zoiets van de zijkant 
B: 	ja bij mij zijn er veel ruimte 
B: 	bij mij staan die ook linksboven maar boven hebben ik nog zo'n stuk 
B: 	en links hebben ik zo'n stuk 
A: 	ja links hebben ik ook wel zo 
B: 	en boven zullen er nog zeggen maar zo'n plaat boven passen 
A: 	ja net wel net niet 
A: 	afhangen een beetje van de vorm af 
B: 	zoiets 
A: 	ja 
A: 	wel zoiets 
A: 	denken wel dat het wel dezelfde 
B: 	ja daarnaast past daarnaast oppasen sowieso nog een plaat 
A: 	ja dat denken ik ook wel 
B: 	ja ik denken dat dat wel dezelfde plek zijn 
A: 	ja 
B: 	dit zijn die met soort knuppel door het midden 
B: 	met die rond dinge aan de buitenkant 
A: 	ja 
B: 	en dan daarachter soort van plaat 
B: 	met een dinge eraan 
A: 	ja ja 
A: 	dat zijn negen 
B: 	bij mij staan die rechts van het midden 
B: 	ongeveer daar de helft weer van 
A: 	ja 
B: 	en dan 
A: 	net iets veel naar rechts of niet 
B: 	ja iets 
B: 	en dan boven boven die horizontaal middenlijn 
B: 	beetje op het midden daar weer van 
A: 	ja ja 
B: 	denken ik 
A: 	dat hebben ik 
B: 	met zo'n stuk nog rechts over 
A: 	ja dat hebben ik ook 
B: 	oké 
A: 	ja dit zijn ja die gek gieter weer met die staaf erdoorheen aan de achterkant met aan de beide kant die balle 
A: 	en dan daarachter weer dat schuin plateau met dat haak er balk eronder 
B: 	ja 
B: 	ja 
B: 	dat zijn F 
A: 	en hij staan ja links 
A: 	best wel in het midden van de linkerhelft net iets daar rechts van 
A: 	en ja ook wel ongeveer op de middellijn net iets daaronder 
B: 	bij mij staan die echt net links van de van de middellijn 
A: 	nee bij mij staan die wel veel naar links dit 
A: 	nou tot de middellijn wel zo'n stuk laten maar zeggen 
B: 	nee dan zijn het niet hetzelfde 
B: 	dit zijn die die jij op een gieter vinden lijken volgens mij 
B: 	of met dat ding erdoorheen 
A: 	ja 
B: 	en die bollet aan de zijkant 
A: 	ja dat zijn drie 
B: 	hij staan bij mij op de onderste rij 
B: 	en dan linkerhelft 
B: 	niet precies de helft maar daar net rechts van 
A: 	rechts van de 
B: 	ja 
A: 	van het van het midden 
A: 	of de linkerhelft 
B: 	nee van de van het linkerhelft 
A: 	en dan ja bij mij staan die link van de die helft 
B: 	bij mij zitten er een best wel groot stuk links nog 
A: 	bij mij dit 
B: 	dan zijn het niet hetzelfde 
A: 	dit zijn ja nog steeds mijn gieter 
A: 	met het staaf erdoorheen met die bollet aan de zijkant 
B: 	ja dat zijn L 
A: 	hij staan rechts van het midden 
A: 	en best wel het midden van de boven onder 
A: 	net iets eronder 
A: 	maar niet heel veel 
B: 	zeggen je nou het midden van het rechterdeel 
A: 	nee rechts van het midden 
A: 	veel ja best wel als je de middellijn hebben ja net iets daarnaast 
B: 	bij mij staan die echt veel in het midden van het rechterdeel 
A: 	nee nee dat zo ver staan die niet 
B: 	oké 
B: 	nee niet hetzelfde 
B: 	dit zijn die gieter 
A: 	ja dat zijn vijf 
B: 	hij staan bijna precies in de middellijn 
B: 	en dan onderste helft daar weer het midden van 
A: 	bij mij ook 
