A: 	deze hebben eigenlijk een soort van ja hoed dus een hoe heten zoiets ? een driehoek 
A: 	eigenlijk helemaal bovenaan 
B: 	ja 
B: 	en dan hebben die nog zo'n staart en nog een blok 
A: 	ja en twee van die rond althans één rond zien je goed helemaal onderaan 
B: 	ja oké dan zijn het J 
A: 	bij mij staan die als je weer in die vier vlak in het rechts onderste vak vlak en dan helemaal onderaan 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn die met dat piramide op zijn hoofd die het rond hoed 
A: 	ah ja 
A: 	die driehoek 
B: 	ja 
A: 	toch ? ja oké nummer zes 
B: 	en hij staan in het rechtervlak onderin 
B: 	en dan een beetje in het midden van dat vlak 
A: 	oké en dan dicht bij de middellijn 
B: 	en misschien iets 
B: 	ja 
A: 	oké dan staan die denken ik of want het zijn rechtsonder 
B: 	ja rechtsonder 
A: 	ja 
A: 	dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn met dat hoed die driehoek 
B: 	dat zijn E 
A: 	bij mij zitten die in het vlak rechtsonder 
A: 	en dan ja best wel vlak bij de verticaal lijn 
B: 	deze lijn 
A: 	ja die 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn met dat met dat hoed dat driehoek op zijn hoofd 
A: 	ja oké dat zijn nummer tien 
B: 	en hij staan in het linkervlak onderin 
B: 	nog ongeveer zo'n stuk van de rand verwijderen 
A: 	oké 
A: 	staan er nog één naast 
B: 	er staan geen veel naast 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn met dat hoed die driehoek 
B: 	ja 
B: 	dat zijn G 
A: 	bij mij staan die helemaal linksboven 
B: 	ja 
B: 	dan staan die op dezelfde plek 
B: 	dit zijn met het het driehoekig hoed 
A: 	dat zijn nummer tien 
B: 	en hij zitten in het vlak rechtsonder 
B: 	een beetje tegen deze middellijn aan 
B: 	en op de helft van het heel rechtervlak 
A: 	oké ja dan zitten die wel op dezelfde plek 
