B: 	ja deze zijn eigenlijk best wel makkelijk deze hebben een plateau maar daar staan hij echt op helemaal onderop met twee van die ding die er uitkomen 
A: 	twee groot ja 
A: 	ok nummer vijf 
B: 	en waar we het eigenlijk net hebben over die drie ding die onderop zijn ? en dan twee daarvan zo zeggen maar aan de linker helft één net een beetje die ander echt gewoon eigenlijk wel 
B: 	ja precies op vijfentwintig procent en daar staan hij bij mij echt recht boven 
B: 	duss hij staan 
A: 	even als je weer die die lijn pakken zo 
B: 	als als je als je zeggen maar of verticaal zo gaan doen dan staan hij ongeveer op de helft van de linker helft 
A: 	ja 
B: 	en eigenlijk net iets onder het midden dus dan komen hij net boven die veel links van de onderste rij uit 
A: 	nee 
A: 	nee in en als je dan links boven kijken dan hebben je daar dan twee boven zitten boven elkaar 
B: 	ja daar hebben je zeggen maar nog twee zo er boven zitten en je hebben er nog één naast zitten 
A: 	ja 
A: 	ja 
A: 	nee dan zitten hij niet op dezelfde plek 
A: 	ja dit zijn eigenlijk hij staan op een plateau eigenlijk met van draaien ding bovenin 
B: 	ja en dan nog dat cirkel aan de voorkant met dat ding eraan en dan nog zo'n raar uitsteeksel ja dat zijn dan J 
A: 	er voor voor zich ja ja 
A: 	ja 
A: 	ja 
A: 	die staan bij mij rechts onder 
B: 	helemaal rechts onderin 
A: 	helemaal rechts onder ja 
B: 	ja dus dan hebben je zeggen maar die rij rechs onderin die een beetje zo schuin lopen en dan ja je hebben er eigenlijk drie 
A: 	echt helemaal helemaal in de hoek liggen hij rechts 
B: 	als je als je onderin pakken hebben je er drie en dan helemaal rechts 
A: 	ja helemaal rechts ja 
B: 	ok nee dan zijn het die van mij zitten er naast dus dat zijn dan niet dezelfde 
B: 	ja dit zijn weer diegene die op dat plateau staan die dinge die eruit komen en 
A: 	ja 
A: 	met draaiding met die voor die ronde ja dat zijn dan nummer elf 
B: 	ja dat zijn hem 
B: 	ja als je nu weer kijken naar de veel links die die die drie 
A: 	ja 
B: 	dan zijn het degeen die naast diegene in het midden staan dus die staan er dan net rechtsonder zo 
A: 	nee mijn staan vrij vrij in de midden zelf zeggen maar als je 
B: 	ja je je hebben die links drie 
A: 	of 
A: 	o link drie ja 
B: 	ja en dan pak je de de twee 
A: 	dat zijn ook zijn er ook drie 
B: 	ja o ja als je het vanaf de twee pken ja 
A: 	o vanaf twee ja o sorry ja 
B: 	dan zijn het diegene die daar gelijk rechtsonder zitten dus je hebben je hebben je hebben er zeggen maar één rechtsboven en één rechtsonder van diegene in het midden en dan zijn het rechtsonder 
A: 	o nee nee 
A: 	nee 
A: 	nee ik hebben er nog één aan de rechterkant zeggen maar dus hebben je eigenlijk je pakken de linker rij 
A: 	de de aller linkste de middel en dan hebben je er sla je er dan sla je er ja dan gaan je naar één naar rechts toe zeggen maar in het midden die zijn die bij jou dan 
B: 	de aller allerlinks rij 
B: 	ja 
B: 	ja 
A: 	ja nee bij mij zitten hij daar rechts van 
B: 	ok nee dat zijn dan wel goed 
A: 	zijn niet dezelfde 
A: 	ja dit zijn die eigenlijk die op zo'n plateau staan en die eigenlijk doorboren worden door zo'n ja raar het ruit achtig ding zeggen maar met met dat rond masker voor ja 
B: 	door die door die ruit 
B: 	ja 
B: 	dan zijn dat P 
A: 	ja 
A: 	want ik zitten net te kijken je hebben aan de rechterkant hebben je je zeggen net Olympische Spelen maar zijn ook in principe gewoon een een piramide vorm dan hebben je drie twee één en dan staan hij ook gewoon op de op de top 
B: 	ja ah ja 
B: 	ja bij mij of hij staan dan 
A: 	dus drie twee één hebben je dan dan staan hij op de één 
B: 	hij staan o jaja ok bij mij zitten hij zeggen maar in het midden van die drie dus dat zijn dan niet dezelfde 
A: 	o nee nee nee 
B: 	dit zijn dat plateau bij die ruit die die er zo uitsteken en dan hebben je nog dat cirkel voorop met een aanhangsel en nog een aanhangsel op dat plateau 
A: 	ja dus die doorboren worden weer ja ja 
B: 	ja die doorboren worden ja 
A: 	dat zijn dan nummer negen 
B: 	en die staan bij mij helemaal bovenaan in het midden 
A: 	nee bij mij niet die staan er net één onder 
A: 	ja dit zijn die die op weer zo'n plateau staan en die er eigenlijk door doorboren doorboren worden en aan de voorkant zo'n ronde hebben en aan nog plateau nog een hanger 
B: 	ja 
B: 	dat zijn dan L 
A: 	ja die zijn dan twee van bovenaan zeggen maar als je die van één tot vier pakken 
B: 	even kijken één tot vier en dan in op plek twee nee bij mij zitten hij nog een laag naar onder zeggen maar dus dat zijn dan niet dezelfde 
A: 	en dan twee 
A: 	ja 
