B: 	dit plaat hebben een soort ik vinden het een beetje op een schroef lijken aan de onderkant 
A: 	ja 
A: 	de wokkel 
B: 	ja en dan met een driehoek eronderaan en 
A: 	ja ja 
B: 	ja 
A: 	dat zijn nummer vier bij mij 
B: 	oké 
B: 	en hij staan bij mij rechtsboven in de hoek 
A: 	ja 
B: 	past nog wel iets omheen maar daar staan geen plaat 
A: 	bij mij worden die wel omsingelen door nog vier plaat zo 
A: 	dus ik denken dat dat niet hetzelfde zijn want hij staan hij kunnen ook er kunnen denken ik sowieso nog wel één boven en twee naast 
B: 	nee bij mij niet er toepassen er geen boven 
A: 	nee 
A: 	oké 
A: 	dan doen ik rood 
A: 	deze hebben weer die wokkel aan de onderkant of die schroef 
B: 	oké 
A: 	noemen jij het geloven ik met die driehoek eronder en die twee vierkant bovenop 
B: 	ja 
B: 	dat zijn bij mij A 
B: 	hij staan aan de linkerkant 
B: 	past er geen veel naast 
A: 	geen één 
B: 	ik denken net niet 
A: 	dan nee dan zijn het denken ik niet hetzelfde bij mij staan die echt in het midden van de linkerkant 
B: 	oké dan zijn het niet dezelfde plek 
B: 	dit zijn met die soort schroef 
B: 	of 
A: 	ja 
A: 	dat zijn nummer tien 
A: 	en die staan bij mij op een kwart van links naar rechts of ja op een kwart van linkerkant af zeggen maar en er pasn niks veel onder 
B: 	ja 
A: 	oké 
B: 	bij mij ook 
A: 	ik hebben nu met die schroef of met die wokkel onderaan 
B: 	ja 
A: 	ja 
B: 	hij ja dat zijn bij mij L 
B: 	hij staan bij mij helemaal rechts 
A: 	ja 
B: 	bovenin 
A: 	ja 
B: 	oké 
B: 	dit zijn met die schroef 
A: 	ja 
B: 	kronkelding 
A: 	dat zijn nummer vier 
A: 	en die staan ongeveer in het midden als je dus die driehoek zo in het midden hebben dan zijn het linksonder 
B: 	ja 
A: 	dit zijn met die wokkel aan de onderkant die schroef 
B: 	ja 
B: 	dat zijn bij mij F 
B: 	en hij staan links van het midden 
B: 	er past er net geen veel boven 
A: 	nee dat zijn niet hetzelfde 
B: 	oké 
