A: 	ja dit zijn er één die aan de linkerkant komen er een soort van 
A: 	ja armp uit het zijn een beetje een vreemd vorm en daar worden dan weer een soort van spijker komen daar weer uit 
B: 	en zo'n bijzettafel aan de rechterkant 
A: 	en er zijn een bijzettafel erbij inderdaad 
B: 	L 
A: 	bij mij zitten die van de linkerkant zitten die onderaan in het midden 
B: 	oké dan zijn het een ander bij mij zitten die helemaal links en ongeveer op midden hoogte 
B: 	dit zijn weer dat bijzettafel met een soort van spijker in zo'n steken in zo'n uitstekend ding 
A: 	de bijzettafel die erdoorheen zitten of 
B: 	nee lijken dat rond rond tafel zeggen maar 
A: 	ja wachten 
A: 	de rond tafel 
B: 	en dan hebben je zo'n ander ding er link uit steken met zo'n spijker erin 
A: 	ja ja ja ja ik zien hem ja dat zijn zeven 
B: 	ja die zijn bij mij net iets link van het midden en helemaal bovenaan 
A: 	hij zijn hij ook de hoog bij jou 
B: 	ja 
A: 	oké dat zijn die bij mij sowieso niet dus dan 
A: 	dit zijn diegene die een soort van uit ja 
A: 	ding aan de linkerkant hebben en daar worden dan weer gaan dan weer een spijker in en dat bijzettafel dan aan de aan de rechterkant 
B: 	ja 
B: 	C 
B: 	net iets naast het midden rechts en dan onderaan 
A: 	niet onderaan 
B: 	nee dat zijn 
A: 	dus dan 
B: 	dit zijn die met de spijker links en het bij rond bijzettafel rechts 
A: 	ja 
A: 	één 
B: 	en die zitten bij mij helemaal links en dan ongeveer in het midden qua hoogte 
A: 	ja dat hebben ik ook 
A: 	dit zijn degeen met de arm met de spijker en het bijzettafel aan de ander kant 
B: 	ja 
B: 	A 
B: 	helemaal links in het midden 
A: 	ja echt in het midden van het midden van link inderdaad ja 
B: 	ja 
B: 	de de spijker die links uit komen en dan het rond klein bijzettafel 
A: 	ja 
A: 	dertien 
B: 	die zitten bij mij in het midden van links en beetje onderaan 
A: 	nee bij mij nee 
