A: 	ik hebben geen idee wat dit zijn maar het hebben gewoon twee mooi balk of heel dun reep zeggen maar 
A: 	en boven zo'n pastoorhoed zeggen maar 
B: 	en zeggen maar een zijn een isteken aan de zijkant 
A: 	ja ja dat zijn wel een goed ja 
B: 	ja 
A: 	ja een zijn 
A: 	ja dat zijn wel goed ja 
B: 	I 
B: 	even kijken 
A: 	ja boven die van net 
A: 	die van mij tenminste 
B: 	ja ja we hebben hetzelfde toen ja daar staan die wel boven ja 
A: 	ja 
B: 	het zijn weer die met dat istek aan de zijkant 
A: 	jou beurt 
A: 	ja ja 
A: 	twee 
A: 	oeh dit zijn 
B: 	ja dit zijn moeilijk te beschrijven 
A: 	het kunnen 
A: 	tussen die logo en zeggen maar links van het scherm 
B: 	ja 
A: 	en dan 
B: 	in het midden 
A: 	in het midden en dan beneden 
B: 	ja dus zeggen maar ja ja als je dat als dat één als je dat kwart van het scherm zullen nemen staan die daar in het midden 
A: 	kloppen 
B: 	ja 
A: 	oké 
A: 	die istek 
B: 	ja 
B: 	M 
A: 	nou van mij zijn gewoon links beneden 
B: 	ja maar staan die bij jou helemaal links beneden in de hoek 
A: 	nee nee een beetje ik weten niet 
A: 	misschien zo'n zo'n rood ding ertussen 
B: 	ja oké 
B: 	die met dat istek 
A: 	negen 
A: 	niet niet die een die we net hebben maar daarvoor dus Linksboven in jou scherm 
B: 	ja 
A: 	zeggen maar wat rechts daarvan 
B: 	ja kloppen 
A: 	van mij 
A: 	oké 
A: 	de istek 
A: 	ik moeten even zitten weten je 
B: 	F 
A: 	als je dat logo hebben hebben je dan dus één plaat dus bijna op dezelfde lijn met die logo met die N en de Q 
B: 	ja 
A: 	en dan rechts daarvan 
B: 	ja 
B: 	de istek 
A: 	zes 
A: 	ja als je dat zijn die een die jij in het begin zeggen dat in het midden zijn 
A: 	en dan Linksboven daarvan 
A: 	dus zeggen maar een beetje het staan een beetje alleen 
B: 	ja 
A: 	te kamperen 
B: 	ja 
