A: 	dit zijn de mok met een driehoek 
A: 	die komen er linksboven uit 
A: 	aan de linkerkant zitten een soort van knopje die je bijna aan en uit zullen kunnen zetten 
A: 	aan de onderkant lijken een soort linksonder een soort van rondje te zitten een soort wieletje 
A: 	en er komen een soort van blok uit zijn uit het kop het lijken een beetje op een soort van neus 
B: 	oké dus het zijn in principe een soort eivormig iets wat vooraan de mok zitten 
B: 	en dan een balk en twee balk en een schijf 
A: 	nee niet helemaal nee hij hebben echt als je vooral let op die soort van piramide zeggen maar linksboven die uit het kop komen 
B: 	ja 
B: 	ja 
A: 	dat hebben al ander vorm eigenlijk niet 
B: 	ja 
A: 	en link zitten een soort van prikkertje zeggen maar die 
B: 	ja 
B: 	en dan een soort gek vormen ja het zijn geen vierkant maar 
A: 	nee die 
B: 	ja precies ja dat zijn bij mij nummer J 
A: 	ja 
B: 	of letter J 
A: 	en hij staan bij mij rechtsonder en dan eigenlijk midden onderin 
B: 	ja 
B: 	ja dat zijn bij mij dezelfde plek 
A: 	top 
A: 	dat zijn makkelijk 
B: 	ja 
B: 	ik hebben in principe de gek vormen driehoek waarbij de kleur gradueel van donker naar licht gaan 
B: 	vooraan zitten een soort raar vierkantje met een uitsteeksel 
B: 	heel raar vorm en dan veel een soort puntig kogel aan de linkerkant 
A: 	ja 
B: 	ja 
A: 	ja dat zijn nummer zes hier 
B: 	en bij mij zitten die dan rechterkant onderste helft veel in het midden plaatsen 
A: 	en dan tegen de middellijn aan 
B: 	ja 
A: 	ja dat zijn hetzelfde 
A: 	dit zijn de mok met driehoek 
A: 	die soort van piramide die linksboven staan waarvan jij zeggen dat die verschillend kleur hebben 
B: 	ja 
B: 	ja 
A: 	nou die 
B: 	dat zijn dan E 
A: 	en hij staan in het vlak rechtsonder 
B: 	ja 
A: 	en dan Linksboven dus tegen de middellijn en tegen de verticaal lijn 
B: 	kunnen er nog iets naast aan 
A: 	nee zullen ik niet doen 
B: 	nee dan staan die ergens ander 
B: 	ik hebben degeen met het gradueel het het driehoek boven 
B: 	het graduel kleurverschil en de 
A: 	ja 
A: 	nummer tien 
B: 	yes 
B: 	wachten die moeten jij trouwens indrukken 
A: 	ja 
B: 	en bij mij staan die geheel linksonder 
B: 	en er kunnen niks veel naast van link bekijken 
A: 	oké dan staan die hier ander 
A: 	dit zijn de mok met jou piramide link bovenop die verschillend kleur hebben 
B: 	ja 
A: 	die 
B: 	oké 
B: 	ik weten het G 
A: 	en hij staan helemaal linksboven 
B: 	ah bij mij ook ja 
B: 	ik hebben degeen met het driehoek boven waar ik een kleurverschil in zien en dan een klein dinge 
A: 	ja 
A: 	nummer tien 
B: 	yes 
B: 	bij mij zitten die dan rechtsonder 
B: 	en dan het onderste kwart zitten die een soort van in het midden veel richting de horizontaal lijn denken 
A: 	ja 
A: 	gelijk 
