B: 	deze hebben een tafel met een bak er op aan de voorkant 
A: 	ja zestien 
A: 	helemaal rechtsboven bij mij 
B: 	dan zijn het sowieso niet dezelfde 
A: 	ok 
A: 	het tafel met het schotel 
B: 	even kijken waar die staan P 
A: 	bij mij staan hij als je die zes figuur hebben aan de rechterkant 
B: 	de drie 
A: 	ja of ja zes het zijn er eigenlijk vijf 
B: 	ja het zullen we kunnen het goed vijf noemen inderdaad 
A: 	ja dus dan in het midden 
B: 	ja de je de midden inderdaad ja 
B: 	tafel met bakje erop 
A: 	veertien 
A: 	drie rij van helemaal onderin 
B: 	ja 
A: 	o dat dienblad met dat schotel 
B: 	o met dat tafel 
A: 	ja dat tafel 
B: 	jaja N 
A: 	twee rij de één 
B: 	ja 
B: 	tafel met bakje er op 
A: 	tien 
A: 	bij mij zijn hij helemaal boven en dan als je links je hebben er link één en dan die daarnaast 
B: 	bij mij zijn zegmaar die daar link onder die overlpen 
A: 	nee 
B: 	gaan we deze ook weer indelen of niet 
A: 	ja ik zitten even te kijken ik zien hier niet echt iets logisch 
A: 	zo één twee als in de één rij van links hebben er twee dan weer twee dan drie 
B: 	ja 
B: 	ja 
A: 	dan 
B: 	en dan worden het vaag 
A: 	ja dan worden het vaag ja 
A: 	dus je je zullen kunnen zeggen dan ook weer twee en dan ook weer twee waar heel veel ruimte tussen zitten 
B: 	ja 
A: 	dan drie en dan twee 
B: 	drie en dan twee dus dan hebben je één twee die vier vijf zes zeven rij 
A: 	één twee drie vier 
A: 	ja 
B: 	twee twee drie twee twee drie twee 
A: 	twee twee drie twee twee drie twee ja 
A: 	nee wachten ja 
B: 	dus voor mij zijn het nu de drie rij de twee 
A: 	de drie rij drie nee 
A: 	dat tafel met het schotel 
B: 	d 
A: 	laat rij en dan de middel 
A: 	of ja 
B: 	dat zijn niet de laat rij toch 
A: 	o nee kloppen dus dan de eennalaat rij en dan de middel 
B: 	de zes ja bij mij zijn het de zes en dan de boven 
A: 	nee dus bij mij zitten hij wel in het midden ja 
B: 	ok 
