B: 	die van mij die vinden deze vinden ik eigenlijk nergens op lijken maar hij hebben een een bolle op de rechts voorkant 
B: 	en een kegel bovenop en een schoorsteen bovenop en een gevouwen blaad 
B: 	een gevouwen dinge naar de zijkant 
A: 	een driehoek 
B: 	ja 
B: 	in een driehoek 
A: 	ja 
A: 	lijken op een soort konijn eigenlijk 
B: 	ja zo zullen je het kunnen zien ja 
A: 	dan zijn het nummer veertien 
B: 	ja positie 
B: 	even kijken als je verticaal middellijn hebben dan staan die niet helemaal in het midden maar iets daaronder en dan naar rechts 
A: 	ja 
B: 	ja 
A: 	ja 
B: 	oké 
A: 	dan staan die gelijk 
A: 	dit zijn die het konijn 
A: 	dit zijn met die bol rechtsvoor 
B: 	waar het konijn waar zijn het konijn 
B: 	ja met dat bolle voor en die die gevouwen het gevouwen stuk ook 
A: 	en zo'n balk bovenop en dan links zo'n zo'n driehoek 
B: 	kegel 
B: 	ja ja ja bij mij zijn dat N 
A: 	en die staan helemaal links 
B: 	nee 
A: 	en dan één naar boven 
B: 	nee dat zijn bij ja niet bij mij staan die halverwege links zeggen maar 
A: 	nee 
A: 	vanaf midden midden echt helemaal naar links en dan één naar boven 
B: 	dus 
B: 	nee dan zijn het deze niet 
B: 	rood 
B: 	dit zijn dat konijn met dat bolle voorop 
A: 	ja 
B: 	en die twee kegel boven 
A: 	dat zijn nummer negen 
B: 	staan in het midden helemaal links 
A: 	nee 
A: 	het konijn 
A: 	met de bol aan de voorkant en de twee 
B: 	ja dat zijn G 
A: 	en die staan vanaf het midden één naar linksonder 
B: 	ja 
B: 	het konijn met het bolle aan de voorkant 
B: 	en het gevouwen blaad aan de links kant ja 
A: 	ja 
A: 	zijn nummer vijf 
B: 	lastig 
B: 	als je het midden hebben uitstaan er eigenlijk drie 
B: 	staan er bij jou ook drie in het midden 
B: 	als je dan die rechts pakken 
A: 	ja 
B: 	en dan daar rechts boven 
A: 	nee dat zijn hem niet 
B: 	oké 
A: 	konijn 
B: 	waar zijn je ? waar zijn je ? waar zijn je 
B: 	ja dat zijn J 
A: 	en die staan vanaf het midden 
A: 	staan er één precies in het midden 
B: 	een beetje naar een beetje naar boven rechts 
A: 	en waarvan er nog 
A: 	en er staan er nog één precies boven 
B: 	ja 
A: 	oké dus die vanuit het midden 
B: 	ja 
A: 	gaan je één naar rechtsonder 
B: 	ja 
A: 	en dan één naar rechtsboven 
B: 	nee bij mij zijn het de rechtsonder 
B: 	dus dat zijn rood 
