A: 	oké 
A: 	deze hebben aan beide kant een soort stomp alsof die zijn arm uitstrekken of zo 
A: 	en aan de achterkant zitten nog een beetje een niet helemaal identificeerbaar figuur een soort vierkant met nog iets eraan 
A: 	ja linksachter hebben die iets zitten 
A: 	en dan staan die een beetje zo 
B: 	oké 
B: 	en hebben die stomp een soort van rond uiteinde 
A: 	ja ja 
B: 	ja 
B: 	K 
A: 	staan die bij mij linksboven er kunnen er nog zo ongeveer één boven en één link 
B: 	ja ik twijfel of er nu twee link van toepassen 
B: 	maar ik denken dat dat eigenlijk niet passen 
B: 	ja 
B: 	kunnen je een schatting eigenlijk geven van hoeveel centimeter dat jou plaat hebben 
A: 	hoe hoeveel er nog tussen zitten tussen de rand 
B: 	ja 
B: 	ja aan de linkerkant 
A: 	ik denken een centimeter of zeven acht 
B: 	ja hier zijn ik ook niet zo bijzonder goed in maar ik denken dat ik het dan wel met je eens zijn 
B: 	ik denken dan dat die op dezelfde plek staan 
A: 	Alright 
B: 	ik hebben dat ding met die twee stomp aan de linker en aan de rechterkant met dat bol einde 
B: 	en dan er nog zo'n raar vierkantje achter 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	bij mij staan die iets boven het midden zeggen maar wel een stuk boven het midden maar niet bovenin 
B: 	en er zullen nog één figuur aan de rechterkant naast passen 
A: 	bij mij staan die ook vanaf het midden zien ongeveer één figuur naar boven en een stuk of vier naar rechts drie misschien 
A: 	en er past ook nog wel één figuur rechts maar misschien iets veel zelfs 
B: 	zullen je exact datzelfde blok met het rood vierkant daarnaast kunnen passen 
B: 	mogen wij ? dit mogen wij doen toch ? zo van ik kunnen dit precies daar nog naast passen 
A: 	welk ditzelfde blok weer 
B: 	ja als je een soort denkbeeldig vierkant om dat stompje maken 
A: 	ja want hebben jij natuurlijk ja 
B: 	dat die er precies naast past ik hebben het vierkant bij mij zijn het even groot als het vierkant 
A: 	ja 
A: 	dat denken ik wel ja 
A: 	nu hebben ik weer met die twee knobbelt met die rond ding aan het uiteinde daarvan 
B: 	ja ja die stomp 
A: 	ja die stomp 
B: 	F 
A: 	en dan staan die zo goed als in het midden en twee passen naar links 
B: 	ja 
B: 	bij mij één naar links hij staan voor mijn gevoel 
A: 	dan denken ik dat het een ander zijn 
B: 	ja hij staan voor 
A: 	ja bij mij weten ik het zeker dat zijn echt 
B: 	hij staan echt wel relatief ver naar links voor jou 
A: 	ja 
B: 	ja voor mij niet 
A: 	best wel 
B: 	ik hebben dat met die stomp met die rond uiteindjes 
A: 	dat zijn nummer drie 
B: 	en hij staan helemaal of helemaal onderin 
B: 	er kunnen er link nog twee naast 
A: 	bij mij kunnen er link nog één naast 
B: 	dan staan die niet op dezelfde plek wel duidelijk twee 
A: 	ik hebben met die armpjes met die knobbel eraan 
B: 	dat zijn bij mij L 
A: 	en die staan iets naar rechts ver zo goed als in het midden 
B: 	oké dat kloppen bij mij niet 
A: 	oké 
B: 	ik hebben met die twee stomp met die rond uiteindjes 
B: 	het zijn weer wisselen ? ja 
A: 	ja dit zijn de laat 
A: 	nummer vijf 
B: 	en bij mij staan die eigenlijk in het midden of een tikkel naar links 
B: 	en er past nog één voorwerp onder 
A: 	ja 
