A: 	ok deze hebben een istek aan de zijkant 
B: 	met een soort van pion bovenop 
A: 	ja die afgesneden zijn of zo 
B: 	die die waar het top van mist dat zijn zijn dat nou een L of een I 
A: 	ja 
B: 	zitten er een I bij ? dat zijn een I 
B: 	bij mij zitten hij zeggen maar op de twee rij van boven en redelijk iets link van het midden zegmaar 
A: 	ok en als je helemaal naar links gaan dan zitten daar ook een figuur 
B: 	ja 
A: 	maar zitten wel wat ruimte tussen en 
B: 	zitten wel wat ruimte tussen als je helemaal naar rechts gaan zitten er heel veel ruimte tussen en dan zitten er één en dan één iets schuin naar boven 
A: 	ja en in het midden ook één die helemaal alleen 
B: 	ja rechts er iets rechtsond 
B: 	deze hebben zegmaar een pilon en dan zijn dat bovenkan weer afsnijden en rechts twee blok eruit 
A: 	met dat istek 
B: 	ja dat ja precies 
A: 	ja 
A: 	twee 
A: 	en dan hebben je het vierkantje in het midden 
B: 	ja 
A: 	en dan links daaronder zegmaar zitten er één figuur en daar weer Linksboven 
B: 	ja 
B: 	Linksboven 
B: 	ja dus eigenlijk 
A: 	eigenlijk gewoon in de twee rij van links en dan helemaal onderin 
B: 	in de 
B: 	ja 
B: 	ja 
B: 	op ongeveer op dezelfde hoogte als dat vierkantje alleen net iets laag 
A: 	ja 
B: 	dan zijn het hetzelfde 
A: 	deze met het isteken en dat afsnijden 
B: 	M 
A: 	ja 
B: 	één rij onderaan 
A: 	ja helemaal onderaan ja 
B: 	pilonne wat zo aan de bovenkant zijn afgeknipt en twee vierkant dinge rechts de istek 
A: 	negen 
A: 	twee van de één rij 
B: 	ja 
A: 	met dat istek en dat afgekapte hoed 
B: 	F 
A: 	even kijken één twee drie in de vijf rij 
B: 	vijf rij onderaan 
A: 	onderaan ja 
B: 	half pilonne wat af zijn snijden aan de bovenkant istek 
A: 	zes 
A: 	de drie rij en dan de onder 
B: 	de twee 
A: 	ja ja er zitten er maar twee toch 
B: 	dus ja 
B: 	ja zitten maar twee en ? lopen goed 
