A: 	oké deze hebben een soort van twee armp als een soort vliegtuigvleugel 
A: 	en nog een ding aan de achterkant 
A: 	en ja ik hebben die dat ding een beetje een rugzak noemen 
B: 	ja ja 
B: 	ja ik hebben echt geen idee wat ik daaraan moeten koppelen echt geen idee ik hebben zoiets van het lijken een beetje op een wattenstaafje denken ik zo maar goed in ieder geval 
A: 	nee 
A: 	ja wattenstaafje zijn nog ik ja ik zien er een beetje vliegtuigvleugel in maar dan dan hebben jij hem wel geloven ik toch ? welk het zijn 
B: 	ja ik dat dat denken ik wel dat zijn K 
A: 	oké en bij mij staan die links bovenin 
A: 	en er zullen echt net ruimte zijn voor één figuurt Erboven en één figuurt er link naast 
A: 	maar dat zijn echt heel krap en daar staan dus ook niks 
A: 	maar hij staan dus echt echt ja precies mooi linksboven met zo'n wat dikkere marge maar echt een beetje in zo'n hoek 
B: 	oké en dan zullen stel we zullen weer zeggen Linksboven dat kwadrant 
A: 	ja 
B: 	zullen die in het midden staan precies 
A: 	ja 
A: 	ik denken dat die best heel erg mooi in het midden staat inderdaad 
B: 	ja dan hebben we denken ik dezelfde 
A: 	top 
A: 	nee dan zijn het net anders 
A: 	welk zijn het 
B: 	het zijn poeh de parasol volgens mij 
B: 	wat ik noemen wattenstaafje 
B: 	met die soort van arm met die bollet aan de buitenkant 
A: 	wachten even 
A: 	ja 
A: 	ja ja precies die ik de vliegtuig vleugel hebben noemen 
B: 	vliegtuigvleugel dat bedoelen ik ja 
A: 	yes 
A: 	dat zijn negen 
B: 	oké en hij staan in het rechterbovenkwadrant 
B: 	eigenlijk ongeveer in het midden 
B: 	van het kwadrant 
B: 	precies in het midden 
A: 	even kijken 
A: 	ja 
A: 	ja bij mij ook wel eigenlijk 
B: 	past nog wel een plaat boven 
B: 	en er past ook net een plaat naast denken ik of net net niet maar 
A: 	nee bij mij passen er denken ik nog wel best prima een plaat naast 
B: 	ja op zich het zullen wel kunnen denken ik het zijn ongeveer het midden staan die 
A: 	ja 
A: 	en op het moment dat je van in het kwadrant kijken dan staan die misschien net iets veel naar rechts 
B: 	rechts 
B: 	ja ja 
A: 	ja oké 
A: 	dan vinden ik het wel dezelfde plek 
A: 	dit zijn de vliegtuigvleugel 
B: 	ja 
A: 	met het rugzak 
B: 	ja ja ja F 
A: 	en hij staan bij mij als je gewoon de linker helft van het scherm hebben staan die in het midden 
B: 	nee bij mij zitten die ongeveer in het midden maar dan naar de middellijn dus dat zijn dan niet hetzelfde 
A: 	van het de linkerhelft van het scherm zeggen maar 
B: 	linkerhelft van het scherm staan die bij mij helemaal rechts 
B: 	dus ongeveer in het midden midden 
A: 	Jee nee bij mij bij mij staan die echt in het midden van de linkerhelft van het scherm 
B: 	nee 
B: 	ja 
B: 	nee niet ander plek 
A: 	ja 
B: 	dit zijn de vliegtuigvleugel zeggen jij als het goed zijn met die tas op de rug 
A: 	ja 
A: 	ja precies dat zijn drie 
B: 	oké en bij mij staan die helemaal onderaan 
B: 	linkerscherm 
B: 	ongeveer in het midden maar wat naar rechts 
B: 	kunnen geen plaat veel onder kunnen er twee link naast 
A: 	nee 
A: 	nee bij mij kunnen er nog één link naast 
B: 	oké nee hebben we niet hetzelfde 
A: 	dit zijn de vliegtuigvleugel en het rugzak 
B: 	ja even zoeken 
B: 	ja L 
A: 	en die staan bij mij best wel heel erg in het midden 
A: 	alleen dan zullen ik ik zullen hem niet zo snel boven of onderkwadrant durven geven want hij staan best wel in het midden 
B: 	ja nee dat zijn ander plek 
A: 	oké 
B: 	ja 
B: 	dit zijn de vliegtuigarmen 
B: 	weten niet veel wat je zeggen tasje op de rug 
A: 	ja 
A: 	even kijken waar je zijn 
A: 	ja dat zijn vijf 
B: 	en hij staan in het midden van het scherm maar dan onderaan 
B: 	zeggen maar ik denken in het midden onderste deel van het scherm daar in het midden 
B: 	en er past nog wel een plaat onder 
A: 	ja 
A: 	ja precies en hij staan op de middellijn misschien iets naar links 
A: 	maar wel heel erg in het midden 
B: 	ja ja 
A: 	ja 
A: 	dan zijn het dezelfde plek 
