B: 	dit vinden ik een soort wasbak met de afvoer die draaien zijn 
B: 	en die afvoer komen uit in een soort driehoek 
A: 	ja 
A: 	ik noemen het een trofee 
B: 	ja dat dat ja dat zien ik ook wel nu erin 
A: 	kunnen je zijn dat vergelijkbaar 
A: 	oké met zo'n met zo'n vierkant blok dan een beetje rechts bovenin 
B: 	ja ja ja 
A: 	oké 
B: 	precies 
A: 	dat zijn vier 
B: 	en hij staan bij mij helemaal rechts in de hoek boven 
A: 	helemaal rechts 
B: 	ja of tenminste er staan niks veel naast 
A: 	oké ja nee dan zijn het niet dezelfde 
A: 	dit zijn de trofee of de gek wasbak 
B: 	ja 
B: 	dat zijn A bij mij 
A: 	en dan staan die je hebben er helemaal links hebben je er één en dan 
A: 	daarnaast zijn een soort van drie die er zeggen maar boven elkaar zitten 
B: 	ja 
A: 	ongeveer 
A: 	en daarvan de middel 
B: 	oké en bij mij staan hij helemaal links dus dan zijn het anders 
B: 	dit zijn die draaien afvoer of de trofee 
A: 	dat zijn tien 
B: 	en dat zijn niet de onderste rij en dan de middel van die drie 
A: 	ja dat zijn gelijk 
A: 	de trofee 
B: 	ja 
B: 	dat zijn L 
A: 	rechtsbof in de hoek 
B: 	ja 
B: 	dit zijn de trofee 
A: 	dat zijn vier 
B: 	in het driehoek in het midden de linksonder 
A: 	dat zijn gelijk 
A: 	dit zijn de trofee 
B: 	ja F 
A: 	die staan dan rechts daarvan die we net hebben dus net rechts van het midden 
B: 	nee 
