A: 	de mok hebben aan beide kant een soort van staafachtig dinge erdoorheen 
A: 	en echt aan de voorkant hebben zitten er een een een blok een soort van Buis nee niet buis want het zijn een balk 
A: 	zitten aan de voorkant van de mok 
A: 	en dan zitten erbovenop een ronde bol 
A: 	en aan de linkerkant ook een soort L'etje wat erdoorheen gaan en die komen er aan de ander kant uit 
B: 	oké 
B: 	die balk aan de voorkant zijn gewoon een een een zeggen maar rechthoekig deze hebben ver geen dinget 
A: 	ja 
A: 	nee 
B: 	en de de staaf die erdoorheen gaan die zitten aan de linkerkant iets laag dan aan de rechterkant 
A: 	ja 
A: 	kloppen en er zitten bovenin echt een bal die erin zakken zeggen maar 
B: 	ik noemen dat een ei 
A: 	een ei 
B: 	ik vinden het een ei 
A: 	ja ja 
B: 	ja dat zijn bij mij d 
A: 	oké 
A: 	hij zitten bij mij onderaan en iets link van het midden 
B: 	ja bij mij ook 
B: 	dit zijn een mok met daarvoor de balk 
B: 	die staan er net iets rechts van het midden voor zweven ei Erboven 
A: 	ja 
B: 	aan deze kant die en en een klein stuk daarboven zitten ook weer zo'n dinge 
A: 	ja nummer vijftien 
B: 	en die zitten bij mij helemaal rechts onderin 
A: 	nee bij mij zitten die wel redelijk rechts onderin maar er zitten er nog wel één veel rechts van 
A: 	bij jou ook 
B: 	nee 
A: 	nee dan niet dezelfde plek 
B: 	bij mij zijn het de veel rechts 
A: 	deze hebben dat ei bovenop liggen een balk aan de voorkant 
A: 	en dan een soort Lvormig ding er link in en aan de rechterkant komen nog een klein staaf eruit 
B: 	ja dat zijn bij mij L 
A: 	en hij zitten bij mij aan de links kant van de verticaal lijn 
A: 	en hij zitten boven de horizontaal lijn 
A: 	dus als je het kruis hebben zitten die daar links van van het middenkruis zitten die daar iets link boven 
A: 	dus je zet een kruisje in het midden van het scherm zeggen maar 
B: 	ja 
A: 	en dan zitten die daarvan Linksboven 
B: 	ja en als je dat linkervlak weer in het midden zullen verdelen dan zitten die rechtsonder 
A: 	aan de rechterkant 
A: 	ja ja 
B: 	rechtsonder ja dezelfde plek 
B: 	dit zijn die met het ei dat erboven zweeven 
B: 	zitten een balk voor 
A: 	ja 
B: 	armp links en een staaf rechts 
A: 	ja nummer zes 
B: 	die zitten bij mij in het rechtervlak 
B: 	en worden raken door de horizontaal middellijn 
A: 	ik denken niet dat die bij mij raken worden 
B: 	nee bij mij gaan die er echt heel duidelijk doorheen 
A: 	oké nee dan zijn het die niet 
A: 	bij mij echt denken ik eigenlijk helemaal niet nee 
A: 	dit zijn met het ei die daarboven vliegen zweeven 
A: 	met die balk vooraan 
A: 	en die Ldinge link en dan een kort balkje rechts 
B: 	ja 
B: 	dat zijn bij mij J 
A: 	en hij zitten bij mij rechterkant 
A: 	en dan de horizontaal lijn kruisen de balk denken ik 
B: 	ja 
B: 	de balk aan de onderkant of echt gewoon het heel figuur 
B: 	ik denken dat die bij mij namelijk ook door de onderkant van de mok heen gaan 
A: 	nee het 
A: 	ja onderkant van de mok ook nog wel 
A: 	en dan rechtsonder van dit figuur zitten een glijbaan 
A: 	rechts aan de rechterkant zo 
B: 	rechts daaronder nee rechts daaronder die zijn bij mij rechtsboven daarvan 
A: 	ja het kunnen ook zijn dat die dan omgedraaien zijn 
A: 	maar in ieder geval dus 
B: 	je hebben er rechtsboven een figuur wat redelijk dichtbij staan 
A: 	ja 
B: 	en dan hebben je linksonder een figuur wat er net weer iets ver bij staat en dat zijn meteen de veel links 
A: 	nou 
B: 	sorry ik zeggen dat helemaal verkeerd 
B: 	je hebben dat figuur en dan staan er rechtsboven dichtbij één 
A: 	ja 
B: 	en rechtsonder staan er één die staan wat ver weg 
A: 	ja en dan hebben je er ook nog één die er precies onder staat 
B: 	ja 
A: 	oké 
B: 	ja dat zijn dezelfde plek wel 
B: 	dit zijn die met de balk ervoor ei dat erboven zweeven armp zo stompje daar 
A: 	ja drie 
B: 	die staan bij mij er zijn één figuur wat helemaal alleen aan de rechterkant een beetje staan 
B: 	en dan ook onderin zeggen maar 
A: 	nee bij mij zitten die echt kruisen die de horizontaal lijn 
B: 	ja jawel 
B: 	ja ja dat dat kloppen 
A: 	dat die dat ei raken denken ik de horizontaal lijn 
B: 	ja ja ja ja 
A: 	en dan zitten die rechtsboven in dat in het vak rechtsonder 
B: 	en dan rechtsboven 
A: 	zitten die rechtsboven 
B: 	ja dat ei raken hem ja dezelfde plek 
A: 	zelfde plek 
