A: 	deze hebben 
A: 	in totaal vier uitsteeksel het komme en vier uitsteeksel twee dezelfde uitsteeksel één aan de voorkant één aan de bovenkant 
A: 	een soort kegel 
A: 	en dan naar voren toe zien je eigenlijk steeds groot worden blok 
A: 	en naar achter toe zitten eigenlijk nog een beetje een kronkelen pijp 
B: 	kunnen je hem nog een keer omschrijven 
A: 	dus je hebben het komme die basisvorm 
B: 	ja 
A: 	en dan zitten omhoog zitten eigenlijk een kegel en naar voren toe zitten een kegel 
A: 	en dan hebben je eigenlijk een beetje naar achteren toe hebben je nog een een pijp 
A: 	en naar de ander kant toe hebben je één ja een trapsgewijs toelopen blok 
B: 	ja ja dus een beetje zo'n zo'n wormp die van achter uit die appel erin komen 
A: 	ja 
B: 	kunnen je dat zo zien 
A: 	ja 
B: 	zeggen maar zo'n beetje zo'n zo'n kronkelstaar aan de achterkant en dan twee van die kegel boven 
A: 	ja 
A: 	ja ervoor 
B: 	en aan de voorkant worden het zo'n groot vierkant met kleintje erachter 
A: 	ja 
B: 	oké dan zijn dat E 
A: 	inderdaad 
A: 	en die staan bij mij aan de rechterkant van het beeldscherm 
B: 	ja 
A: 	er zullen je zullen er nog wel één tussen kunnen proppen maar dan zitten het wel heel krap 
A: 	en in de lengte zitten die net iets boven de helft 
B: 	oké net iets boven de helft en neigen die dan veel naar links of naar rechts als je het midden hebben hebben 
A: 	het midden van 
B: 	ja als je zeggen maar het scherm hebben het midden want we hebben het aan de rechterkant staan die dan een beetje hier dus in de buurt van de grens of een beetje 
A: 	ja hij staan echt helemaal wel richting de zijkant van het scherm 
B: 	oké 
A: 	en dan je zullen daar nog één tussen kunnen proppen 
B: 	nee dan staan die niet op dezelfde plek 
A: 	oké 
B: 	oké nu hebben we deze hebben we ook al hebben met dat wormp dat achterin die pot komen 
B: 	met dat vierkant dat zeggen maar klein vierkantje worden dichter naar de pot toe 
A: 	ja 
A: 	en die twee tentakel 
B: 	ja 
A: 	ja 
A: 	dat zijn elf 
B: 	hij staan als je het midden hebben 
B: 	dan staan die links maar echt net links dus hij staan zowat op het midden 
A: 	ja 
B: 	en dan in de hoogte staan die zeggen maar net boven het midden dus hij staan links en dan 
A: 	en net iets hoog 
B: 	ja 
A: 	ja 
B: 	hoog dan het midden 
A: 	daar kunnen ik me in vinden 
A: 	zo staan die bij mij ook 
A: 	dus dezelfde positie 
A: 	dat zijn geel 
A: 	dit zijn weer dat wormp die er in de basisvorm in kronkelt 
A: 	een tentakel een kegel omhoog naar voren 
A: 	en dat traps toewijzen toelopen blok 
B: 	dat zijn J 
A: 	en die staan links van het midden 
A: 	en dan eigenlijk in de hoogte staan die ook in het midden 
A: 	en dan op het linkerscherm staan die eigenlijk ook weer zo goed als in het midden 
B: 	dan staan die niet op dezelfde plek 
B: 	dit zijn die met dat die pot en die vierkant voor en die worden steeds klein die vierkant aan de voorkant en dan staan er dat wormp zeggen maar bij zijn rug 
A: 	zijn aan het zoeken 
A: 	ja dat wormp wat er van achteren weer in komen 
B: 	ja 
A: 	ja 
A: 	inderdaad en dan nog twee extra kegel erbij 
A: 	dat zijn nummer negen 
B: 	hij staan als je het midden van het scherm hebben aan rechts en dan naar onderen en dan daar in het midden 
A: 	dus onder het midden 
B: 	onder kunnen er nog wel ja onder het net onder het midden 
A: 	oké hier staan die boven het midden dus dat zijn niet dezelfde 
A: 	dit zijn weer dat wormp dat erin boren 
B: 	ja 
B: 	dat zijn B 
A: 	en die staan aan de rechterkant van het scherm 
A: 	en dan zullen er dus aan de zijkant onderkant en rechtsonder nog ruim zo één tussen kunnen 
B: 	dus hij staat niet in het midden 
A: 	nee 
B: 	ook niet waar staan die dan ? helemaal naar helemaal naar beneden 
A: 	ja hij staan wel dus 
A: 	onder het midden sowieso één stap onder het midden en dan zullen er wel nog één onder kunnen 
B: 	oké nee dan staan die niet op dezelfde plek 
A: 	oké 
B: 	dit zijn met dat wormp achterin 
A: 	ja dat zijn nummer vier 
B: 	dan staan die helemaal linksboven maar dan kunnen al kant kunnen er net wel net niet nog één bij 
A: 	ja 
A: 	dat zijn dezelfde positie 
