A: 	ja hier hebben ik een soort 
A: 	of Pacman wat zeggen ik nu een drukper in zien weer die ovaal vorm met eigenlijk een soort plank eraan een rond plank 
A: 	en dan wel in de vorm van een Pacman zitten er aan de ander zijkant weer aan 
A: 	en daar zitten een pin in 
A: 	alsof je die pin zo eigenlijk naar je toe willen meedraaien 
B: 	ja 
B: 	zo'n heel lang 
A: 	ja 
B: 	aan de zijkant 
B: 	oké dat zijn L 
A: 	en deze staat van het midden staat die link 
A: 	daarin weer dus het midden 
A: 	en dan wel helemaal onderaan 
B: 	helemaal in het midden ? weten je zeker dat die in het midden staan of een beetje naar beneden 
A: 	ja ik bedoelen dan in de breedte 
B: 	ja 
A: 	als je daar het midden neemt staat die daar links van 
B: 	ja 
A: 	en dan daarvan wel weer het midden 
B: 	precies in het midden 
B: 	of staan die een beetje naar de zijkant toe 
B: 	want bij mij staan die zeggen maar als je zeggen maar de zijkant van dit scherm hebben 
B: 	kunnen er niet nog een figuur tussen 
A: 	nee 
A: 	ja dat kunnen bij mij zeker wel 
B: 	oké 
B: 	nee 
A: 	oké 
B: 	deze hebben jij net dat zijn zeggen maar hoe noemen je dat 
B: 	met die hengel 
B: 	met die haak die je zeggen maar kunnen doen want dat zijn dat komme 
A: 	die drukper 
B: 	ja drukper 
A: 	ja 
B: 	ja dat zijn hem 
A: 	dat zijn nummer zeven bij mij 
B: 	hij staan in het scherm überhaupt staan die niet helemaal bovenin 
B: 	maar er er zullen er zeggen maar net nog één boven kunnen en dan in het midden en dan staan die daartegenaan aan de linkerkant 
A: 	tegen het scherm staan die aan 
B: 	ja het tegen het midden van het scherm 
A: 	of ja tegen de 
B: 	dus als je het scherm hebben en dan het midden en dan staan die daar zo tegenaan 
A: 	nee 
B: 	en dan zullen er net nog één boven kunnen 
A: 	ah nee dan staan die niet op dezelfde positie 
A: 	dit zijn de drukper 
A: 	dus met de plank 
A: 	en die je zo kunnen trekken 
B: 	dat zijn C 
A: 	die staan eigenlijk wel in het midden net iets rechts daarvan 
A: 	en in de hoogte staan die eigenlijk net ja één positie boven het midden 
B: 	staan die niet op dezelfde plek 
B: 	dit zijn die met die hengel 
B: 	die 
A: 	de drukper 
B: 	ja dat drukper 
A: 	ja 
A: 	dat zijn nummer één 
B: 	dan hebben je het midden en dan staan die aan de linkerkant en dan ongeveer op de helft iets naar beneden 
B: 	en dan kunnen er aan de zijkant nog één tussen 
A: 	ja 
A: 	dat zijn bij mij ook zo 
A: 	dit zijn de drukper dat zijn met de staaf die 
B: 	dat zijn A 
A: 	en die staan aan de linkerkant van het scherm en dan eigenlijk zowel in de hoogte als op dat stuk weer in het midden 
B: 	ja dan staan die op dezelfde plek 
B: 	dit zijn met die hendel 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer dertien 
B: 	dan staan die als je het midden hebben onder de twee rij van onder en dan daar in het midden 
A: 	oké 
A: 	nee hier staan die in de hoogte staan die in het midden en dan echt tegen de zijkant aan 
A: 	en dat zijn bij jou niet 
A: 	nee 
