A: 	oké deze hebben eigenlijk een soort van een bal helemaal bovenaan 
A: 	en dan zitten er een een soort balk voor 
B: 	voor 
B: 	en nog twee dinge aan de zijkant 
A: 	ja twee ongelijk dinge 
B: 	oké 
B: 	ja 
B: 	dan zijn het D 
A: 	oké bij mij staan die helemaal op de onderste rij 
A: 	en daar hebben je er drie staan 
B: 	ja 
A: 	en dan zijn het de middel van die drie 
B: 	ja en staan die helemaal precies in het midden als je hem zo kijken van het beeldscherm of iets ver naar links nog 
A: 	iets ver naar links 
B: 	oké 
B: 	ja dan staan die op dezelfde plek 
B: 	deze hebben een balle op het kop weer 
B: 	en een balk staan ervoor 
B: 	en twee armp 
A: 	ah 
B: 	we hebben hem al hebben geloven ik dus 
A: 	ja 
A: 	oké dan zijn het nummer vijftien 
B: 	en hij staan bij mij helemaal rechts en dan helemaal in het hoek onderaan 
A: 	nee bij mij staan die nee bij mij staan die nog wel een beetje in het midden 
B: 	oké 
A: 	staan die niet op dezelfde plek 
A: 	dit zijn met die bal bovenop en die staaf aan de voorkant 
B: 	ja dat zijn L 
A: 	bij mij staan die in het vlak Linksboven 
B: 	ja 
A: 	en dan er kunnen ja er kunnen nog twee figuurt boven 
B: 	even kijken zijn met balle toch 
A: 	ja met het balle 
B: 	ja 
B: 	er kunnen nog twee boven 
A: 	ja 
B: 	nee dan staan die niet op dezelfde plek 
B: 	dit zijn weer met dat balle bovenop 
A: 	even kijken 
A: 	ah dat zijn nummer zes 
B: 	en hij staan denken ik precies op de middellijn 
B: 	deze middellijn 
B: 	en dan aan de rechterkant 
A: 	rechtsonder zullen ik maar zeggen 
A: 	beetje 
B: 	ja nee ik denken echt dat die wel precies op het midden van de computer zitten zeggen maar 
A: 	oké 
A: 	ja 
B: 	en dan een beetje in het midden van het rechtervlak 
A: 	ja 
B: 	het geheel vlak 
A: 	twijfel 
A: 	als je naar het geheel scherm kijken 
B: 	ja 
A: 	kunnen je dan ook nog er kunnen ongeveer nog twee rij naast 
B: 	aan de rechterkant 
A: 	aan de rechterkant 
B: 	dan staan die niet op dezelfde plek 
A: 	oké 
A: 	dit zijn met die bal en die balk vooraan 
B: 	ja 
B: 	dat zijn J 
A: 	hij zitten een beetje op deze middellijn eigenlijk 
A: 	ik denken dat het de plek zijn die jij net beschrijven ook 
A: 	dus eigenlijk deze middellijn en dan in het vlak rechtsboven 
B: 	ja dat kunnen ja 
A: 	neigen die veel denken ik 
B: 	ja 
B: 	en dan in het midden weer vanaf de lijn zien 
A: 	in 
A: 	ja dus in het midden van die ja 
B: 	van deze lijn ook zien 
A: 	dus nou ja op zich je hebben dus als je naar dit vlak rechtsbovenvlak kijken 
B: 	ja 
A: 	en die weer doormidden delen 
B: 	ja 
B: 	dan zitten die daarop 
A: 	dan zitten die in het midden 
B: 	ja 
A: 	en dan bij de middellijn 
B: 	bij de middellijn ja 
A: 	ja 
B: 	oké dan zitten die op dezelfde plek 
B: 	dit zijn met een balle erop 
A: 	ja 
A: 	dat zijn nummer drie 
B: 	en hij zitten in het rechtervlak het veel rechts 
B: 	en dan een een beetje onder de middellijn 
B: 	deze middellijn 
A: 	oké 
A: 	past niks veel naast toch 
B: 	er passen niks veel naast 
A: 	oké zitten die op dezelfde plek 
