B: 	oké ik hebben één met een rond voorop 
B: 	en dan twee dinge die Erboven uitsteken en één die er links uit opsteken 
A: 	even kijken rond voorop 
B: 	dus een beetje zoals die neuspiercing die je net hebben alleen dan zonder de piercing zelf zonder die 
A: 	ja twee ding die boven uitsteken en één link of wat 
B: 	ja 
A: 	en dan één wat uitsteken zijn 
B: 	één die rechtop eruit opsteken en één die iets schuin naar links met een apart vorm laten maar zeggen een soort ruit 
A: 	ja oké ja ik noemen het als een soort ik hebben hem beschrijven als een indiaan volgens mij zo'n indianentooi een beetje 
B: 	ja 
B: 	ja 
A: 	ja 
B: 	ja 
A: 	veertien 
B: 	dan staan die onder in de hoogte onder het midden 
B: 	en dan iets naar rechts van het midden over de breedte 
A: 	ja dat zijn bij mij ook en dan ja echt als je stellen je zullen het scherm in vier vierkant verdelen 
B: 	ja 
A: 	dan zullen die echt precies op het hoek van dat rechtsonder vierkant staan daar zeggen maar links in de hoek van het rechtsonder vierkant 
A: 	als je begrijpen wat ik bedoelen 
B: 	nee wel naar boven 
B: 	hij staan wel als je het midden hebben van het scherm in de hoogte 
A: 	ja ja nee maar kijken stellen je zullen vier vier vak in het scherm hebben 
B: 	ja ja ja 
A: 	dan hebben je dus het vak rechtsonder 
B: 	ja 
A: 	en dan zitten die daar links bovenin erin 
B: 	ja wel iets veel naar beneden maar wel die die kant 
A: 	ja oké 
B: 	ja 
A: 	ja dan zijn die op de goed plek 
A: 	ik dit noemen ik de indiaan jij hebben het volgens mij ook als theekopje met die gek ja met dat staafj de die vierkant 
B: 	ja ja ja met die rond ding voorop 
A: 	ja rond neus voorop vierkant staaf bovenop en daarnaast dat gek teken 
B: 	ja 
B: 	ja 
B: 	N 
A: 	hij staan bij mij helemaal aan de linkerkant 
A: 	en dan 
B: 	nee 
A: 	oké 
B: 	nee 
B: 	hij staan in het midden bij mij 
A: 	nee dat zijn makkelijk 
B: 	de indiaan 
B: 	met de met de neus 
A: 	de indiaan 
A: 	ja 
A: 	dat zijn negen 
B: 	en dan staan die bij mij helemaal links en dan net iets boven het midden in de hoogte 
A: 	bij mij staan die echt helemaal linksboven in de hoek 
B: 	nee 
A: 	oké 
A: 	de hoe de indiaan 
B: 	oeh ja met de neus voorop 
A: 	met de neus voorop ja 
B: 	G 
A: 	en die staan bij mij linksonderkwadrant 
B: 	ja 
A: 	en dan ja vanaf de center zeggen maar net daartegenaan zowel 
B: 	net iets naar het linksonderkwadrant toe 
A: 	ja precies 
B: 	ja 
B: 	dit zijn de indiaan 
A: 	de indiaan die hebben we 
B: 	met dat rond voorop 
A: 	dat zijn vijf 
B: 	en dan staan die in het rechtsbovenkwadrant 
B: 	als je het midden van dat kwadrant pakken iets naar links en iets naar onder 
A: 	nee 
A: 	midden van het rechtsbovenkwadrant naar links en naar onder 
B: 	rechtsbovenkwadrant en dan iets naar links en iets naar onder 
A: 	nee bij mij zitten die echt in de rechterhoek 
B: 	nee 
A: 	oké 
A: 	de indiaan 
A: 	bij mij in het rechtsbovenkwadrant echt ja echt in het midden van het kwadrant zowat 
B: 	ja 
B: 	nee 
B: 	J 
B: 	en dan staan die niet op hetzelfde want hij staat niet in het midden 
B: 	bij mij staan de neuspiercing daar echt in in het midden 
A: 	nee 
