B: 	oké 
B: 	dit zijn geen gezicht 
B: 	maar je hebben zeggen maar dat vormp wat ze allemaal hebben 
A: 	ja 
B: 	en dan zitten er nu een vlak een plateau zeggen maar en dat zitten er dwars doorheen 
A: 	ja 
A: 	ja 
B: 	en dan opsteken er iets naar voren en twee spriet omhoog 
A: 	ja 
A: 	ja 
B: 	weten je welk ik bedoelen 
A: 	die hebben ik 
A: 	ja 
A: 	en nog één aan de zijkant 
A: 	een stuk met met een 
B: 	ja ja 
B: 	ja die gaan zo 
A: 	ja ja precies ja ja 
B: 	oké 
A: 	oké ja dat zijn zes 
B: 	en bij mij staan die helemaal bovenin en dan iets veel aan de rechterkant 
A: 	ja hebben ik ook 
B: 	de drie van rechts zijn het 
A: 	ja 
A: 	ja hebben ik ook 
B: 	oké 
A: 	hij staan echt helemaal bovenaan en dan inderdaad ja 
A: 	dus dan hebben we hetzelfde 
B: 	ja 
A: 	ik hebben nu één met dat vierkant plateau weer door het kop heen 
B: 	ja ja 
A: 	en twee 
B: 	en twee toef erop 
A: 	ja ja 
B: 	oké dat zijn C 
A: 	bij mij staan die helemaal bovenin 
B: 	ja 
B: 	en ook aan de rechterkant 
A: 	niet helemaal 
B: 	nee 
A: 	bij jou wel 
B: 	nee er toepassen er nog één sowieso één tussen 
A: 	ja 
B: 	misschien wel twee 
A: 	twee echt ja 
B: 	ja nee oké niet twee 
B: 	maar wel één één en een heel klein stuk of zo 
A: 	ja ja precies dat hebben ik ook ja 
B: 	oké dan staan ze denken ik wel op dezelfde plek toch 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	oké ik hebben het kop en dan het plateau dat er zo doorheen gaan en twee voelspriet 
A: 	ja 
A: 	ja 
A: 	even kijken waar die zijn ja zijn dertien 
B: 	en hij zitten links bovenin en ik denken dat er nog een half naast past aan de linkerkant 
A: 	maar jij hebben hem helemaal bovenin 
B: 	ja helemaal bovenin 
A: 	nee dat hebben ik niet nee 
A: 	mij zitten die echt wat veel naar het midden toe 
A: 	oké ik hebben dat plateau dat vierkant plateau wat weer door dat kop heen opsteken 
B: 	ja 
A: 	met twee van die 
B: 	ja 
B: 	oké 
B: 	en twee spriet 
A: 	ja 
B: 	oké dat zijn J 
A: 	bij mij zitten die ja als je het midden weer hebben zitten die daar rechtsonder van 
A: 	maar hij zitten echt tegen de middellijn aan van hoog naar laag 
B: 	ja 
A: 	van boven naar beneden 
B: 	en hoe ver zitten die naar onder 
A: 	ja daar zitten er bij mij nog net één die die net dan ja heel klein stuk van zijn 
B: 	ja bij mij zijn dat ook 
A: 	oké 
B: 	dat gaspedaal zitten er nog iets onder 
B: 	dus ik denken dan wel dezelfde plek 
A: 	maar bij mij zitten dat gaspedaal er net iets Erboven 
B: 	maar het gaspedaal zitten bij ons sowieso al niet op dezelfde plek toch 
A: 	nee 
A: 	dat kloppen ja 
A: 	oké dus deze zullen dan wel ja bij mij zullen er heel klein beetje nog iets onder passen denken ik 
B: 	ja bij mij ook 
A: 	als je iets zullen moeten ja 
B: 	en echt tegen de middellijn aan en dan iets ver naar rechts 
A: 	ja 
A: 	ja 
B: 	oké 
B: 	dan denken ik dezelfde plek 
A: 	ja 
B: 	ik hebben die met het plateau erdoorheen 
A: 	ja 
A: 	oké nee 
A: 	ja oké dat zijn nummer negen 
A: 	ik hebben het gevoel dat ik de heel tijd nummer negen hebben 
B: 	volgens mij zijn dat de één keer pas dat je dat zeggen 
B: 	maar ik weten het eigenlijk niet 
B: 	oké 
A: 	nee ik hebben nummer negen wel vaak maar 
B: 	ja 
A: 	bij mij staan die helemaal rechts 
B: 	er passen denken ik nog wel iets ernaast 
A: 	sowieso 
B: 	echt een krappe half oppasen er nog naast 
A: 	dat zijn bij mij al best wel veel denken ik een heel 
A: 	ik hebben echt zo'n klein beetje nog over 
B: 	ja dat hebben ik ook ongeveer 
B: 	en hij zitten wel wat boven de middellijn 
A: 	bij mij eronder 
B: 	eronder 
A: 	ja 
B: 	oké nee dan zijn het niet dezelfde plek 
A: 	nee 
A: 	ik hebben die met dat vierkant plateau door het kop heen 
B: 	ja 
B: 	dat zijn N 
A: 	hij zitten bij mij bovenin 
B: 	ja 
A: 	en eigenlijk als je de middellijn weer hebben zitten die tegen de middellijn aan aan de rechterkant 
B: 	ja 
B: 	ja 
B: 	en er er zullen nog een heel krappe half boven passen 
A: 	ja 
B: 	ja ik denken dan dezelfde plek 
A: 	ja 
