A: 	deze vinden ik een beetje lijken op een Superman 
A: 	omdat die zo'n dak hebben dan linksboven 
A: 	en hij hebben een soort van ja peper en zoutvaat aan de zijkant 
B: 	ja 
B: 	twee twee minieit eigenlijk 
A: 	ja jij met je eit 
A: 	ja 
B: 	het zijn eit 
A: 	ja 
B: 	het het zijn twee paasei 
A: 	twee eit 
A: 	ja 
B: 	ja 
B: 	dat zijn K 
A: 	bij mij zijn dat echt de veel Linksboven 
B: 	ja bij mij ook 
B: 	ik denken dat het dezelfde plek zijn 
B: 	dit zijn die weer met de met de paasei of het peper en zoutstelle zoals jij vinden 
A: 	ja 
A: 	dat zijn negen 
B: 	hij zitten bij mij rechts bovenaan 
B: 	niet er zijn er nog één die veel rechts zitten maar die zitten onderaan 
B: 	maar deze zitten rechts bovenaan maar er zitten er nog één boven 
A: 	dus hij staan 
B: 	maar die zitten ook veel naar links die daarboven zitten 
A: 	oké 
A: 	dus hij zijn niet de boven 
B: 	nee 
A: 	oké dan zitten ze wel op dezelfde plek 
A: 	dit zijn die Superman met die zout en pepervaat die jij ei vinden 
B: 	dat zijn paasei 
B: 	dat zijn F 
A: 	oké bij mij hebben je nu een een groep linksboven van zo'n acht figuur 
B: 	ja 
A: 	en dan hebben je 
B: 	deze zitten veel het veel naar het midden 
A: 	ja 
A: 	dus zeggen maar als je de Linkervierkant hebben 
B: 	één van de veel naar het midden 
A: 	dan zijn het rechtsonder 
B: 	ja 
A: 	ja 
B: 	dezelfde plek 
B: 	dit zijn die weer met het peper en zoutstelle 
A: 	even zoeken 
A: 	ja 
A: 	dat zijn drie 
B: 	en die zitten bij mij nu onderaan links je hebben zo'n onderste rij van drie met de rechts die een beetje wat veel ervan afstaan en dan 
A: 	ja 
B: 	zijn het de middel van de onderste rij zeggen maar 
A: 	bij mij zijn het echt de allerlinkerst onderste 
B: 	ja dat zijn anders dan 
A: 	dit zijn weer dat zout en peperstelsel die paasei 
B: 	waar zijn ze ? ja dat zijn L 
A: 	en bij mij als je het midden hebben dan zijn het die rechtsonder 
B: 	nee die zitten bij mij best wel ver naar rechtsonder 
A: 	oké want bij mij hebben je zeggen maar in het midden hebben je er drie die echt een beetje bij het midden zitten en dan zijn het gewoon die rechtsonder daarvan 
B: 	ja 
B: 	nee zijn niet dezelfde plek 
A: 	dus ik denken niet dat het zelfde zijn 
B: 	dat zijn met peper en zoutvaa 
A: 	even zoeken dat zijn vijf 
B: 	kijken zitten ongeveer in het midden maar dan een beetje naar maar dan wel een stuk naar beneden 
A: 	en dan zitten er nog rechtsonder één 
B: 	ja 
A: 	oké 
A: 	ja dan zijn het wel dezelfde 
