B: 	deze hebben een soort vierkant in het midden erdoorheen 
B: 	en dan aan de voorkant een Ronde buis die naar voren steken 
B: 	aan de bovenkant twee stekelt en aan de linkerkant een soort L maar dan andersom 
A: 	ja 
A: 	omgekeerd 
B: 	ja 
A: 	ja 
A: 	oké ja ik hebben hem 
A: 	bij mij staan die 
B: 	moeten je het nummer of letter 
A: 	ja zes 
A: 	ik doen het alweer fout 
B: 	en dan en dan knopje 
A: 	zes 
A: 	oké 
B: 	ja 
A: 	bij mij staan die best wel bovenaan het scherm 
B: 	bij mij ook 
A: 	kunnen net geen plaat veel boven denken ik 
B: 	ja 
B: 	en een beetje aan de rechterkant van het midden 
A: 	ja 
A: 	best wel in het midden maar dan net iets rechts ervan denken ik inderdaad 
B: 	nee bij mij staan die wel duidelijk rechts van het midden 
A: 	ja hij staan wel duidelijk rechts van het midden maar ik denken niet dat er nog een plaat tussen het midden en dit plaat zullen kunnen 
B: 	nee 
B: 	als hij ernaast zullen staan zullen die precies in het midden staan 
A: 	ja 
B: 	oké dan zijn het dezelfde 
A: 	kijken aan 
A: 	oké zelfde plek 
B: 	denken ik 
A: 	ja 
A: 	geel doen ik dan 
B: 	ja 
A: 	ik hebben nu die een met dat vierkant zeggen maar erdoorheen 
A: 	en er opsteken vooraan een buis uit die ook naar voren opsteken dus 
A: 	en bovenop twee klein blok zeggen maar en link een Lvormig uitsteeksel omhoog 
B: 	ja 
B: 	dat zijn bij mij C 
B: 	en hij staan op driekwart van het scherm ongeveer van links naar rechts en dan oppasen er geen veel boven 
A: 	nee 
A: 	dat zijn denken ik hetzelfde 
B: 	oké 
B: 	deze hebben een vierkant er zo plat doorheen 
B: 	en een L aan de linkerkant 
B: 	twee dinge aan de bovenkant en de ding aan de voorkant 
A: 	ja 
A: 	dat zijn nummer dertien 
A: 	en die staan bij mij helemaal links 
A: 	past net niet net wel één nog links ervan en hij staan heel ietsiepietsie boven het midden 
A: 	maar ik 
B: 	nee mijn staan wel bijna bovenaan er passen er geen veel boven 
A: 	oké 
A: 	dan doen ik rood 
A: 	oké deze staan nee ik bedoelen deze hebben die soort van vierkant ja schijf dus 
A: 	doormidden en links die Lvorm die omhoogsteekken en dan die buis aan de voorkant die zo naar ons toe opsteken en die twee 
B: 	ja 
A: 	dinget bovenop 
B: 	ja 
B: 	dat zijn bij mij J 
B: 	en hij staan net rechts van het midden 
B: 	bijna onderaan 
A: 	ja 
A: 	er staan niet iets nog ver onderaan 
B: 	nee 
A: 	nee 
A: 	dat zijn hetzelfde 
B: 	dit zijn met dat vierkant plat erdoorheen 
B: 	en twee dinge aan de bovenkant een L aan de linkerkant 
A: 	ja 
A: 	dat zijn nummer negen 
A: 	en die staan helemaal rechts 
A: 	er staan niks veel rechts dan dat figuur 
B: 	bij mij staan die boven het midden 
A: 	nee nee dat zijn denken ik niet hetzelfde 
A: 	oké dit zijn met die L aan de zijkant die naar boven wijzen 
B: 	ja 
B: 	dat zijn bij mij N 
B: 	staan beetje in het midden bovenaan 
A: 	ja 
A: 	best wel heel erg bovenaan 
B: 	past er geen veel boven 
A: 	nee en ook best wel in het midden inderdaad 
B: 	staan tegen de middellijn aan 
A: 	ja dat moeten denken ik wel dezelfde zijn 
B: 	ja 
