B: 	oké deze er zitten lijken als je het als een kom zullen zien zitten er twee voorwerp in 
B: 	en er zitten dan een bolle op 
B: 	aan de rechterkant 
B: 	en nog één nog een uitsteeksel aan de linkerkant 
A: 	even 
B: 	en dan uitzitten er boven zitten er twee langwerpig ja op of in het zijn hoe je het bekijken 
B: 	twee relatief lang voorwerp zitten er op 
A: 	zitten er een bolle rechts in het midden van 
B: 	zitten een bolletje rechts in het midden en dan een uitsteeksel link in het midden 
A: 	ja en dan twee ding daarbovenop 
B: 	ja 
A: 	ja dan zijn het nummer veertien 
B: 	oké 
B: 	en hij staan voor mij ja je hebben de drie nou je hebben de 
B: 	helemaal rechts hebben je er twee hebben je twee object staan 
B: 	dan daar links van hebben je weer twee object 
A: 	ja 
B: 	en als je dan van die dus als je daar een vierkantje van maken en je gaan dan naar linksonder daar staan die van mij dus 
A: 	ja 
A: 	dan staan die op dezelfde plek 
B: 	oké mooi 
A: 	ja 
A: 	ja dit zijn degeen met het bolle rechtsvoor 
A: 	bovenop zijn er twee uitsteeksel 
A: 	en links ook nog 
B: 	bollet ja ja ja 
A: 	even bolle rechtsvoor ja 
B: 	ja dat zijn N 
A: 	en het zijn de veel links in het midden 
B: 	gewoon Allermeest links 
A: 	allermeest links 
B: 	ja nee 
B: 	dit zijn het bolle rechts en twee ding die Erboven insteken 
A: 	en links nog een uitsteeksel 
B: 	en links nog een uitsteeksel 
A: 	dat zijn negen en bij mij zitten die helemaal linksboven 
B: 	ja 
B: 	bij mij zitten die één daaronder 
A: 	oké 
B: 	dus dat moeten jij doen 
A: 	dit zijn het figuur met het bolle aan de rechterkant ertegenaan 
A: 	met twee uitsteeksel bovenop en één link 
B: 	ja 
B: 	dat zijn G 
A: 	en hij zitten bij mij even kijken hoor 
A: 	je hebben de onderste hebben je zeggen maar drie figuur op op een rij 
B: 	ja 
A: 	de onderste rij 
A: 	en daar de rechts van daar zitten die iets link boven 
A: 	dus hij zitten bijna in het midden 
B: 	ja 
B: 	ja ja ja 
A: 	ja 
B: 	dit zijn het balle aan de rechterkant twee ding die erboven inzitten 
B: 	en het uitsteeksel uitsteekseltje link 
A: 	ja dat zijn nummer vijf 
B: 	en hij zitten als 
A: 	twee van rechts 
B: 	ja dus je hebben de bovenste twee en daaronder een rij 
B: 	en dan de middel van die rij daaronder 
A: 	nee dat kloppen niet bij mij 
A: 	dit zijn het figuur met dat balle aan de rechterkant ertegenaan 
B: 	ja en de 
A: 	met bovenop twee uitsteeksel en link een uitstekel 
B: 	ja 
B: 	dat zijn J 
A: 	en dan even kijken rechts hebben je een rij van drie die schuin zitten 
A: 	en daarnaast de veel bovenste 
B: 	ja oké dat zijn hem niet 
