A: 	oké nu hebben ik er één ik hebben één hebben een soort een bolle 
A: 	aan de zijkant aan de rechterkant en er zitten een staaf doorheen 
A: 	en aan het eind van de staaf zitten er nog een plat balle 
B: 	ja 
B: 	ja 
A: 	plat schijf veel 
B: 	en hij hebben nog zo'n soort dinge op zijn hoofd 
A: 	ja ja hebben die ook 
B: 	F 
A: 	oké bij mij staan die precies in het midden op deze lijn 
A: 	en dan een beetje aan de rechterkant 
A: 	passen nog twee tussen rechts ongeveer 
B: 	wachten nu moeten we dus denken jou rechts of ja wachten 
A: 	ja dit zijn dus ja 
B: 	echt de rechterkant van het scherm 
A: 	aan de rechterkant van het scherm ja 
B: 	ja 
A: 	voor mij dus dat zullen bij jou denken ik daar zijn 
B: 	ja 
A: 	en dan op ongeveer ook weer vier vijf vanaf link zien 
B: 	ja 
B: 	ja die van mij staan ook op de middel hoogte 
B: 	alleen denken ik niet dat ik er nog twee plaat naast zullen kunnen passen 
B: 	ik denken dat die van mij eerder op negentig procent zullen zitten zeggen maar 
A: 	ja ja bij mij passen echt nog wel twee plaat tussen er staan ja het zijn het zijn your call 
B: 	nee bij mij passen er echt maar één tussen 
B: 	dan staan ze niet op dezelfde plek 
A: 	Alright 
A: 	ja 
A: 	ja 
B: 	ja 
B: 	ik hebben dat figuur met aan de rechterkant een bolle waar een staaf doorheen staan met een plat cirkel eraan 
A: 	ja soort gootsteenontstopper 
B: 	ja die door eigenlijk een soort gootsteenontstopper door een neus 
A: 	ja 
B: 	ja 
A: 	zijn nummer vijf 
B: 	en bij mij staan die aan de linkerkant net iets boven het midden 
B: 	en er kunnen nog twee figuur links naast dat ding staan op het scherm 
A: 	bij mij kunnen er nog drie link naast het scherm denken ik 
A: 	en er past nog ongeveer één boven 
A: 	hoe ver van het midden staan die precies 
A: 	of ongeveer zo zien 
B: 	ja we hebben het scherm 
B: 	dan zijn dit het midden 
B: 	ja anderhalf à twee figuurt 
B: 	hij staan voor mijn gevoel 
A: 	ik denken dat die van mij iets veel naar rechts staan hebben ik het idee 
B: 	hebben wij net besluiten dat die met de pion op dezelfde plek staan 
A: 	die met die 
B: 	nee hè ? ook niet 
A: 	nee hebben we niet besluiten nee 
B: 	daar kunnen we niet van uitgaan dan 
B: 	want bij mij zitten die daar aan vast 
B: 	ongeveer of tegenaan 
B: 	nee 
A: 	ja deze zijn moeilijk 
B: 	ja dit zijn zo nauwkeurig 
B: 	hoeveel past er bij jou nog boven 
A: 	echt nog precies één 
B: 	ja bij mij ook 
A: 	en link denken ik drie maar misschien omdat jij dat vierkant hebben zijn het wat groot en dan kunnen er misschien maar twee tussen 
A: 	zullen ook kunnen 
A: 	dus ik gaan denken ik voor wel 
B: 	oké 
A: 	nou nu hebben we weer die gootsteenontstopper 
A: 	met de door de neus heen 
B: 	ja 
B: 	hallo 
A: 	en dinge bovenop 
B: 	ah 
B: 	met dat plat met dat plat kant 
A: 	ja 
B: 	A 
A: 	staan die bij mij rechtsonder kunnen er nog ongeveer anderhalf onder en twee rechts 
B: 	nee bij mij staan die echt eigenlijk in het midden en twee drie rechts 
A: 	van het scherm 
B: 	die er nog naast kunnen 
A: 	dat zijn ander denken ik 
B: 	ja 
B: 	ik hebben die met die gootsteenontstopper door de neus 
A: 	nummer vijf 
B: 	ja 
B: 	en die staan bij mij goed stap naar rechts en een tikkel boven het midden 
A: 	bij mij staan die ook iets naar het midden en goed stap naar rechts 
A: 	hoeveel passen nog rechts naast 
B: 	twee en dan houden je een klein stuk over 
A: 	denken ik dat het ander zijn 
A: 	ik hebben die gootsteenontstopper 
A: 	door de neus 
B: 	dat zijn bij mij H 
A: 	staan die ex net iets een millimeter naar rechts zo'n beetje en iets naar beneden kunnen nog één onder 
B: 	ja 
B: 	ik hebben die met die wcstamper of die gootsteenontstopper door de neus 
A: 	ja 
A: 	ja 
A: 	nummer vijftien 
B: 	en die staan bij mij er past er nog één boven en er toepassen er nog twee rechts naast 
A: 	nee 
