B: 	deze hebben twee van die kasteelt aan de linkerkant erin en een vierkant aan de voorkant 
B: 	en nog een soort van paddenstoel aan de bovenkant 
A: 	ja dan zijn het twee 
B: 	oké bij mij staan die van de onderste drie staan die het veel link 
A: 	oké dus niet die twee boven elkaar en dan nog 
B: 	nee die daaronder zeggen maar 
A: 	oké dan staan die niet op dezelfde plek 
B: 	oké 
A: 	dit zijn die met die twee torent aan de zijkant erin en die paddenstoel bovenop 
A: 	en dat plat ding nog aan de voorkant 
B: 	wachten even even kijken 
B: 	twee ding ja die paddenstoel ja ja ja 
A: 	ja 
B: 	oké die torent aan de zijkant 
A: 	ja 
B: 	oké dat zijn G 
A: 	oké en van dat vierkant in het midden 
B: 	ja 
A: 	zijn dit linksonder 
B: 	ja dan staan die op dezelfde plek 
B: 	oké dit zijn diegene met die twee torent aan de zijkant en die paddenstoel erop 
A: 	ja oké 
A: 	dat zijn negen 
B: 	oké die staan bij mij zeggen maar niet het groep van acht maar daaronder zeggen maar 
B: 	daar hebben je er twee boven elkaar in het midden 
A: 	ja 
B: 	en het zijn daar de bovenste van 
A: 	oké dan staan die op dezelfde plek 
B: 	oké 
B: 	oké 
A: 	ik hebben die met die twee kasteelt en die paddenstoel 
B: 	ja 
B: 	ja met nog één ding ervoor toch 
A: 	ja 
B: 	ja oké ja dat zijn D 
A: 	en die staan bij mij ja best wel in het midden van het scherm net naast die driehoek zeggen maar link 
B: 	ja 
B: 	de bovenste daarvan van er afstaan er ook drie in het midden soort van 
A: 	ja daar staan ja 
A: 	precies de bovenste ja 
B: 	daar de bovenste oké dan staan die op dezelfde plek 
B: 	ik hebben diegene met die paddenstoel en die twee torent erin en één plat ding aan de voorkant 
A: 	ja dat zijn één 
B: 	die driehoek in het midden daar zijn het bij mij rechtsonder van 
A: 	oké dan staan die niet op dezelfde plek 
A: 	dit zijn die met die paddenstoel en die torent 
B: 	ja even zoeken 
B: 	ja dat zijn B 
A: 	en dat zijn bij mij die twee onderaan in het midden 
B: 	ja 
A: 	daar de rechts van 
B: 	ja dat zijn dezelfde plek 
