A: 	deze hebben een zeggen maar driehoek die niet helemaal zijn afmaken aan de bovenkant dus dus een soort van vierhoek met Schuine 
A: 	wand en één en dan hebben die twee balk aan de rechterkant 
A: 	aan de linkerkant een dinge in het midden en dan linksonder ook een ja dinge maar die twee balk aan de rechterkant die zijn wel duidelijk 
B: 	die zijn zijn gelijk ja 
B: 	dat zijn bij mij I 
A: 	en hij staan nou ja waar we het net over hebben de dat dat dinge 
A: 	en dan daar eigenlijk Linksboven van 
B: 	ja 
A: 	dus hij staan 
B: 	in het linkerbovenvlak maar dan wel aan de rechterkant boven 
A: 	maar dan wel 
A: 	ja en dan wel een beetje boven maar wel dicht tegen de middellijn aan zeggen maar 
B: 	ja 
B: 	ja ja 
A: 	oké 
B: 	staan die op dezelfde plek 
B: 	en dit zijn dat ding met dat vierkantje erop die niet afmaken zijn en dan rechterkant twee van die plaat die hetzelfde zijn 
A: 	ja en dan links 
B: 	link zo ja lijken een deurklink vinden ik het op lijken 
A: 	ja en dan dat klein ronde voerbak of zo aan de dat zijn nummer twee 
B: 	ja 
B: 	en hij staan een beetje linksonder maar dan wel nog best wat naar rechts en ook wel één plek naar boven denken ik 
A: 	ja 
A: 	ja 
A: 	ja ja dat zijn denken ik hetzelfde ja 
A: 	geel 
A: 	de kop met het nietafgemaakte driehoek de deurklink en de twee staaf aan de rechterkant 
B: 	ja 
B: 	oké 
B: 	dat zijn M 
A: 	en hij staan linksonder 
A: 	op het scherm zijn het niet helemaal linksonder zullen nog als je een beetje propt een dinge naast kunnen maar hij staan wel echt flink naar onder dus 
B: 	ja 
B: 	dan zijn het dezelfde plek 
B: 	dit zijn die met die die deurklink zullen ik maar zeggen met die twee vierkant rechts en het nietafgemaakken 
A: 	yes en het nietafgemaakte driehoek 
B: 	ja 
A: 	nummer negen 
B: 	en hij staan bovenaan en dan links van ja ongeveer op de helft tussen links en de middellijn 
A: 	naast die met het tui 
B: 	ja 
A: 	ja 
A: 	dan staan die op dezelfde plek 
B: 	zullen al die ander figuur steeds wel ja 
A: 	ja de deurklink nietafgemaakte driehoek en de twee balk 
B: 	ja 
B: 	dat zijn F 
A: 	en bij mij staan die de rij van vijf zijn het de twee van rechts dus dan staan die één figuurt rechts van het midden maar wel op de onderste rij 
B: 	ja 
B: 	ja dan staan ze op dezelfde plek 
B: 	dit zijn de deurklink met het nietafgemaakte driehoek bovenop 
A: 	ja 
A: 	nummer zes 
B: 	en hij staan vanaf de middellijn zien iets naar links één plek denken ik en een beetje naar beneden 
A: 	ja 
A: 	oké dus je hebben die rij van vier en dan staan die zeggen maar tussen de twee 
B: 	ja 
A: 	en daarna op de middellijn 
A: 	ja 
A: 	dan staan die op dezelfde plek 
