A: 	deze hebben ook zo'n ei 
A: 	alleen er zitten een een een balk doorheen zeggen maar steken 
A: 	en aan het eind van die balk hebben je een een rond 
A: 	en dan boven in de kop steken er ook nog een soort van lepeltje uit 
A: 	dus als je even kijken naar welk allemaal een ei hebben dan zijn er dus één een soort van doorgespiest 
A: 	ik weten niet of je hem nu zien 
B: 	zitten het ei ook net als bij die ander boven in het 
A: 	nee aan de voorkant aan de voorkant van de van de van het kop zeggen maar 
B: 	en dan aan dat balk zitten ook nog weer een rond 
A: 	ja 
B: 	oké 
B: 	en bovenin opsteken er nog een soort lepeltje uit 
A: 	ja ja ja ja 
B: 	ja oké 
B: 	dan zijn dat F 
A: 	bij mij zitten die aan de rechterkant 
A: 	en dan zitten er één naast 
A: 	en één boven maar ver moeten je ver zoeken voordat je er weer één hebben 
A: 	ik weten niet of jij dat ook hebben 
B: 	aan de rechterkant van het scherm ongeveer in het midden 
A: 	ja ja precies in het midden en aan de rechterkant ja 
B: 	en er zitten één plaat boven en één plaat net links onder 
A: 	ja ja 
B: 	en schuin link schuin Erboven zitten er nog één bij mij 
A: 	link schuin naar boven nee bij mij recht Erboven 
B: 	maar niet 
A: 	tenminste ik vinden dat recht Erboven 
B: 	ja ja daar zitten er ook één maar link schuin Erboven zitten er nog één 
A: 	nee 
A: 	niet bij mij 
B: 	oké dan denken ik niet dat het dezelfde plaats zijn 
B: 	dit zijn een kop met zo'n ei erop en door dat ei een balk met nog een rond schijf eraan en een lepel dat eruit steken 
A: 	yes 
A: 	vijf 
B: 	die staan weer op de linkerschermhelft 
B: 	en vrij in het midden van de verticaal lijn 
B: 	en net iets boven de horizontaal lijn 
A: 	dit zijn met dat ei met zo'n balk erdoorheen 
A: 	en zo'n plat rond aan de achterkant en dan een lepeltje eruit 
B: 	met die schijf ook weer aan 
A: 	ja ja ja 
B: 	ja dat zijn A 
A: 	en die zitten bij mij aan de rechterkant van mijn scherm 
A: 	en dan verticaal zien wel in het midden 
A: 	maar horizontaal ja wel eronder 
A: 	veel ja 
A: 	snapen je het 
B: 	ja maar bij mij zitten die wel echt horizontaal zien in het midden 
A: 	nee bij mij niet 
B: 	nee ? oké 
A: 	nee 
B: 	dit zijn het kop met het ei erop de paal erdoor met die rond schijf eraan en het lepel dat er nog uit opsteken 
A: 	ja dat zijn vijf 
B: 	die staan op de rechterschermhelft verticaal zien in de buurt van het midden maar net iets veel naar links 
B: 	en horizontaal zien ongeveer in het midden 
A: 	iets veel naar link zeggen jij 
A: 	bij mij zijn het iets veel naar rechts 
B: 	van de rechterschermhelft 
A: 	ja 
B: 	dus als je het scherm in vier zullen delen zullen die aan de heel rechterkant zitten 
A: 	ja 
B: 	oké ja nee dat bij mij zijn het wel duidelijk 
A: 	link 
B: 	ja 
A: 	oké 
A: 	dit zijn met dat ei aan de voorkant waar zo'n balk doorheen spiest met een plat cirkel eraan en een lepel eruit 
B: 	ja dat zijn H 
A: 	aan de bovenkant 
A: 	en die zitten vrij onder in het scherm 
A: 	en ook vrij in het midden maar iets naar rechts 
B: 	ja 
B: 	bij deze zitten weer dat ei ertegenaan met de balk erdoorheen en die schijf 
B: 	en het lepel 
A: 	vijftien 
B: 	aan de rechterkant van het scherm 
B: 	verticaal zien in het midden en horizontaal duidelijk boven het midden 
A: 	dus verticaal zien zijn die niet veel naar links 
B: 	nee 
