B: 	ik vinden het een theekopje op een statief en dat hebben dan een driehoekig voetstuk 
B: 	en dan een draaien stang die het theekopje omhooghoudt 
A: 	ah 
A: 	ja en dan hebben die van die vierkant blok daarboven en zo 
B: 	ja twee 
A: 	ja 
A: 	ja 
A: 	wachten ik moeten hem doen vier 
B: 	ja 
B: 	dan staan die bij mij helemaal rechts bovenin 
A: 	nee bij mij niet 
B: 	oké 
A: 	oké jij noemen het volgens mij als een beker dus aan de onderkant hebben je die driehoek dan hebben je die staaf naar boven en aan de zijkant die vierkant blok dus dat worden gewoon 
B: 	ja 
B: 	met het statief 
A: 	dat noemen we vanaf nu gewoon de beker of zo of 
B: 	ja 
B: 	A 
A: 	hij staan bij mij eigenlijk qua hoogte zitten die ja zeggen maar de bovenkant lopen nog door het midden heen de rest zitten net iets omlaag 
B: 	nee 
A: 	oké en aan de linkerkant ook überhaupt 
B: 	ja wel aan de linkerkant maar hij zitten bij mij het onderste deel zitten ongeveer op het midden en boven zitten wel echt goed Erboven 
A: 	nee dan zitten die niet 
B: 	het statief 
B: 	het theekopje op het statief 
A: 	oké ja 
A: 	acht 
A: 	of wacht 
A: 	met de soort badkuipachtig aan de onderkant of wat 
B: 	met die vier 
B: 	nee nee met de driehoek aan de onderkant 
A: 	ah die 
A: 	ja oké 
A: 	maar goed dat ik even dubbelcheckt dat zijn tien 
B: 	ja 
B: 	en dan staan die helemaal onderop 
B: 	en dan in het midden van het linkerdeel 
A: 	ja 
A: 	de ja het glas zeggen maar met dat statief onder dat vierkant statief 
B: 	ja 
B: 	driehoekstatief 
A: 	driehoek ja sorry 
B: 	ja 
B: 	L 
A: 	bij mij helemaal rechtsboven 
B: 	ja 
B: 	het driehoekstatief 
A: 	driehoekstatief ja 
A: 	met de beker zeggen maar 
B: 	ja 
A: 	dat zijn vier 
B: 	dan staan die wel in het linksonderkwadrant maar tegen de middellijn aan de bovenkant tegen de middellijn en de zijkant tegen ook tegen de middellijn aan 
A: 	ja 
A: 	ja 
A: 	de beker met het statief 
B: 	ja F 
A: 	bij mij nog net het rechtsbovenkwadrant maar echt tegen het center aan zowat 
B: 	nee nee 
A: 	oké 
