B: 	deze hebben eigenlijk ook een soort plateau om zich heen maar dat kunnen je niet heel goed zien tenminste je kunnen niet echt van bovenop er op op rondkijken 
B: 	er liggen dan ook een soort bak op twee poot die uitsteken en achterop hebben je nog zo'n zo'n krul ding bovenop 
A: 	ja 
A: 	zo'n okan ja 
A: 	ok dat zijn dan nummer zestien 
B: 	bij mij zitten hij ja ik denken dat we eigenlijk ook een volgens mij weten dat het niet dezelfde plek zijn want die zitten link onderin van het vierkant 
A: 	vierkant nee dat zijn dan niet de zelfde plek 
A: 	ja dit zijn dan ook wat we over hebben helemaal hoog bovenin lijken dan net dat zo'n plateau om er omheen zitten met een klein bak er bovenop 
B: 	en dat bak dat lopen lopen af 
A: 	lopen af ja en dan hebben je aan de zijkant hebben je dan nog 
B: 	die poot of zo 
A: 	poot ja 
B: 	ja dan zijn dat P 
A: 	als je eigenlijk er helemaal naar rechts bovenaan kijken dan hebben je er één zitten komen je er één onder daar onder dan dus 
B: 	nummer zeggen maar als je die rij van vijf zes zo nummer drie ja dat zijn dan dezelfde plek 
A: 	de 
A: 	vijf hebben dat zijn nummer drie ja 
B: 	dit zijn zeggen maar weer die een met dat plateau dat redelijk bovenin zitten die twee dinge die er onderuit steken en die soort bak die er op staat en dan hebben je achterop nog zo'n krullend aanhangsel 
A: 	ja 
A: 	zo'n zo'n ja ok dat zijn dan nummer veertien 
B: 	ja weten je nog dat we het net over de onderste drie hebben ? dan zijn dat de veel rechts 
A: 	ja 
A: 	ja dat kloppen 
A: 	ja dit zijn die die beetje hoog boven omringen worden door zo'n plateau met een bak er op en aan de zijkant eigenlijk zo'n twee poot en dan aan achterkant hebben je nog zo'n lus 
B: 	zo'n slurf ja dat zijn dan de N van Nico 
A: 	ja slurf 
A: 	ja als je link bovenin het scherm kijken kunnen je een driehoek pakken die beetje op de kop staan 
B: 	ja 
A: 	en dan veel onderste punt dan 
B: 	ja dat zijn dan dezelfde plek 
B: 	dit zijn weer degeen met dat plateau met die poot en waar die bak op staat en die slurf of dat dinge dat staart of zo dat aan de achterkant 
A: 	ja ja 
A: 	ah 
A: 	ja dat zijn dan nummer tien 
B: 	je hebben helemaal bovenin hebben je in het midden zeggen maar hebben je dan één staan en daar staan hij eigenlijk net onder 
B: 	dus de twee van boven als je vanaf het midden kijken 
A: 	nee 
A: 	nee bij mij zijn hij helemaal bovenin 
B: 	ok 
A: 	ja dit zijn weer die plank die er eigenlijk bovenom om er omheen zitten met een blok er of een bak er bovenop en op twee poot aan de zijkant 
B: 	ja en dat arm dinge nog aan de achterkant 
A: 	ja en aan de achterkant ja ja 
B: 	ja dan zijn dat D 
A: 	en als je helemaal naar rechts kijken hebben je drie onder elkaar zitten en dan twee 
B: 	nee bij mij zitten hij helemaal rechts bovenin 
A: 	o nee 
B: 	nee dat zijn dan niet dezelfde 
A: 	dat zijn niet dezelfde plek 
