A: 	dit zijn zo'n soort ja zo'n soort rond dienblaad of zo zullen je kunnen zeggen hebben die aan de linkerkant 
A: 	en aan de rechterkant zo'n raar uitsteeksel met zo'n heel groot trompet of 
B: 	ja een uitsteeksel en een soort van trompetding 
A: 	ja zoiets 
B: 	ja 
B: 	dat zijn bij mij L 
A: 	bij mij staan die helemaal onderin kunnen geen plaat onder en hij staan links op ongeveer één vier 
B: 	ja bij mij staan die al sowieso niet helemaal onderin dus dat zijn een ander plek dan 
A: 	oké 
B: 	ja ik hebben nou weer die een met dat trompet met die trompetuitsteeksel en dan 
A: 	ja 
A: 	en dat rond ding ervoor 
B: 	ja 
A: 	dat zijn bij mij nummer zeven 
B: 	en bij mij staan die ja bijna helemaal aan de bovenkant 
B: 	er zullen nog wel ja er zijn nog wel een beetje ruimte over zeggen maar en dan ja van de middellijn zeggen maar 
B: 	ja zijn ongeveer op één drie op link denken ik 
A: 	ja bij mij zullen er sowieso wel echt een heel plaat boven kunnen hij staan bij mij zeggen maar op één drie van het scherm denken ik ongeveer qua hoogte 
B: 	ja bij mij staan die wel iets hoog denken ik 
A: 	oké 
A: 	ja ja 
A: 	want ik zullen niet zeggen er kunnen maar net een plaat boven maar 
B: 	ja er zullen echt bij mij echt net een plaat boven kunnen maar 
A: 	zeggen maar niet qua scherm 
A: 	en bij mij staan die ongeveer op één ja één vier ongeveer van het scherm 
B: 	ja bij mij zijn wel wel ongeveer iets één drie of zo hij staat niet zo ver naar links bij mij dus dan denken ik niet 
A: 	aan de linkerkant of iets ver 
A: 	oké dan denken ja ik weten niet zo goed 
A: 	ik denken dan aan de bovenkant zijn ja ik weten niet ik denken dat die dat die niet helemaal op dezelfde plek staan dan 
B: 	nee denken ik ook niet 
A: 	dit zijn met die rond schijf en die trompet 
B: 	ja 
B: 	dat zijn bij mij C 
A: 	lijken je ook wel dezelfde volgens mij zijn die net bij jou ook zo 
A: 	hij staan boven het midden of ja en dan heel iets aan de rechterkant 
A: 	maar wel ongeveer op de middellijn net iets aan de rechterkant en de er kunnen nog één plaatje boven 
B: 	nee bij mij staan die al onder onder in het scherm dus dat zijn dan niet dezelfde plek 
A: 	oké 
B: 	weer die een met dat trompetgedoe en dat rond plateaut zeggen maar 
A: 	ja 
A: 	nummer één bij mij 
B: 	en bij mij liggen die ja ongeveer eigenlijk in het midden 
B: 	zullen je wel kunnen zeggen en dan aan de linkerkant kunnen er nog wel een plaat naast maar er staan geen plaat veel naast 
A: 	nee 
A: 	en hij bij mij liggen die zeggen maar wel echt net onder de middellijn 
A: 	die middellijn zullen je wel ongeveer boven kunnen trekken als je door die trompet gaan zeggen maar of 
B: 	ja zoiets inderdaad 
A: 	oké liggen die wel op dezelfde plek 
A: 	ik hebben nu die een met die trompet staan bij mij een beetje link in het midden 
B: 	ja 
B: 	dat zijn A 
A: 	ja bij mij staan echt op één vier denken ik ongeveer aan de linkerkant 
B: 	ja 
A: 	en wel echt op de middellijn heel iets erond misschien 
B: 	ja oké hij staan ook een beetje alleen zeggen maar 
A: 	ja 
B: 	dan staan die denken ik op dezelfde plek 
B: 	die een met die trompet en dat plateau dat rond plateau zeggen maar 
A: 	ja 
A: 	ja 
A: 	nummer dertien 
B: 	en bij mij staan die echt rechts boven dat plaat van net zeggen maar die 
A: 	ja bij mij bij mij nee bij mij staan die echt op de middellijn 
A: 	echt midden 
B: 	nee dat zijn bij mij niet dus 
A: 	oké dan staan die niet op dezelfde 
