A: 	oké 
A: 	jij zien als het goed zijn een rood vierkant 
B: 	het hij zijn het zijn een kop 
B: 	er zitten er steken een stok zo uit en bovenop staan een kegel 
B: 	aan de zijkant staan een cirkel 
A: 	een kegel 
A: 	even kijken aan de zijkant een cirkel 
A: 	staan er nog veel op dan alleen die kegel 
B: 	ik geloven alleen maar de kegel 
B: 	en er afhangen een cirkel half naast 
B: 	en er opsteken nog een stok uit 
A: 	oké want ja ik zien er één die daar wel op lijken 
B: 	welk 
A: 	ja nou inderdaad een een een bol die aan de zijkant zitten 
A: 	aan de rechterkant van het plaat 
B: 	ja 
A: 	en dan aan de linkerkant steken inderdaad iets uit 
A: 	en dan aan de bovenkant hebben je een kegel maar ik inzien ook nog een een rechthoekig ding wat naast die kegel staan wat omhoogsteekken 
B: 	nee in dit plaat zitten geen rechthoekig ding 
B: 	aan de onderkant zitten nog wel je hebben het beker en dan zitten daaronder nog een soort van rechthoekje 
B: 	onder 
A: 	nou dat die zien ik niet 
A: 	misschien liggen het aan mij maar 
B: 	dus kop en dan hebben je er een kegel die eruit steken een cirkel ertegenaan plakken 
B: 	opsteken nog een stok uit en dan nog een één ja een 
A: 	zo dat die zitten die cirkel achter het kop 
B: 	ja 
A: 	ah oké 
B: 	cirkel zitten achter het kop 
A: 	right 
A: 	dan zijn het nummer dertien 
A: 	ja dus nummer dertien 
B: 	G 
A: 	ja 
B: 	oké 
A: 	oké waar zitten die 
B: 	bij mij zitten die in het midden en onder 
B: 	onder in het midden 
A: 	ja oké 
B: 	bij jou ook 
A: 	ja hij zitten niet helemaal zeggen maar tegen de onderkant aan maar iets Erboven 
B: 	ja 
A: 	ja oké 
A: 	oké dan zitten die dus op dezelfde plek 
B: 	ja 
A: 	nou deze hebben aan de linkerkant een cilinder er eraan zitten 
A: 	aan de aan de onderkant zitten een soort een nou ja er zitten een cirkel achter deze hebben we inderdaad eerder al 
B: 	ja het zijn O 
B: 	ja met het kegel erop 
A: 	ja 
A: 	ja precies 
B: 	ja O 
A: 	waar we vorig keer zoveel moeite mee hebben 
A: 	en hij staan voor mij net rechts van het midden 
A: 	en net iets boven het midden 
B: 	bij mij ook 
B: 	bij mij net onder dus die kloppen niet 
A: 	oké 
B: 	ja dit zijn dan weer de het kop met de kegel en de cirkel ertegenaan plakken 
A: 	ja de cirkel daarachter zeggen maar 
B: 	ja ja die 
A: 	ja 
A: 	ja 
A: 	en dan aan de linkerkant nog die cilinder 
B: 	ja 
A: 	dat zijn acht voor mij 
B: 	hij staan bij mij helemaal rechtsboven 
A: 	ja 
B: 	helemaal afzonderen van de rest 
A: 	ja 
A: 	yes 
A: 	ja 
A: 	ja deze hebben die cirkel daarachter en de en en de cilinder aan de linkerkant 
B: 	C 
A: 	yes 
A: 	en hij staat ongeveer in het midden van de bovenkant van het scherm 
A: 	en ongeveer in het midden van de rechterkant van het scherm 
B: 	ja bij mij zitten die iets veel tegen het midden aan dus dat zijn niet zo 
A: 	oké 
A: 	ja 
B: 	dus die een met met de met de met de kegel erop en de cirkel aan de zijkant 
A: 	die twee kegel erop of 
B: 	één 
B: 	nee één maar 
A: 	even kijken 
A: 	en dan de cirkel erachter of 
B: 	cirkel erachter ja 
B: 	ja die 
A: 	ja precies en dan link ook nog een cilinder 
A: 	yes oké dat zijn zeven 
B: 	en hij staan bij mij links onderin 
B: 	en dan en dan iets best wel onderin er staan er één nog naast 
B: 	en dan iets van de en dan rechts van de middellijn van links 
A: 	oké 
A: 	nee bij mij staan er kunnen er niks veel link van staan dus dat kloppen niet 
B: 	nee 
A: 	oké dit zijn weer de cirkel daarachter 
A: 	en link de cilinder 
B: 	C 
A: 	yes 
A: 	en helemaal bovenaan 
A: 	in het midden van de rechterkant net iets rechts daarvan 
B: 	oké 
B: 	nee 
