B: 	ik hebben één met die emmer met dan de een balk bovenop dus een langwerpig balk bovenop 
B: 	aan de voorkant zitten een zitten een een zo'n driehoek 
A: 	zo 
A: 	ja precies 
B: 	en aan de zijkant zitten ik denken een beetje dat het een soort soort kip zijn achtig soort vleugelt 
A: 	ja dan hebben ik hem al 
A: 	van die 
A: 	ja ja ja nou zien ik hem ook ja ja 
B: 	fantasie gebruiken 
B: 	ja 
A: 	dat zijn acht 
B: 	en die zitten precies precies in het midden 
A: 	ja precies ja 
B: 	ja een millimeter naar een millimeter naar naar links voor mij 
A: 	ja precies 
A: 	ja precies 
A: 	ja oké 
A: 	nee dan hebben we dezelfde denken ik 
A: 	ja dit zijn ja die kip van jou 
B: 	die kip van mij die kip van mij die kip waar staan die 
B: 	ja dat zijn met dat blok bovenop 
A: 	die 
A: 	ja met die V en dan die twee dinge aan de 
B: 	ja ja ja ja 
B: 	dat zijn E 
A: 	en die zitten bij mij ja dan hebben je weer die vier plaat in het midden 
A: 	en dan zijn dat de rechtsonder voor mij 
B: 	nee ik hebben hem rechtsboven dan 
A: 	oké 
B: 	dat zijn een ander plek 
B: 	ik hebben de kip met dat balk bovenop 
A: 	ja ja ja 
A: 	even kijken waar staan die 
A: 	even zoeken 
A: 	waar hebben ik dat ding nou 
A: 	daar 
A: 	één zijn dat 
B: 	en die staan bij mij in het midden of verticaal in het midden 
B: 	en dan helemaal bovenaan 
A: 	helemaal boven ja dat hebben ik ook 
A: 	ja dit zijn die kip van jou 
B: 	ja 
B: 	dat zijn E 
A: 	en die zitten dan in het kwadrant linksonder 
A: 	en dan op die ja kwadrant linksonder en dan die horizontaal lijn net iets eronder 
B: 	ja 
A: 	en op die als je hem dan doormidden delen in het midden zeggen maar 
A: 	het zijn ja zo'n 
B: 	ja dat weten ik niet helemaal 
B: 	ik denken dat die daar juist iets rechts van staat 
A: 	zo'n stuk hebben ik van de zijkant 
B: 	ja dat zijn wel weer hetzelfde 
A: 	zoiets 
A: 	ik denken dat het wel ongeveer hetzelfde zijn 
B: 	ik denken dat het ook wel ja ik denken dat die wel hetzelfde zijn 
A: 	oké 
B: 	zelfde plek 
B: 	kip 
A: 	die kip 
A: 	waar staan die 
A: 	ah zestien 
A: 	zestien 
A: 	voor de duidelijkheid 
B: 	ik hebben hem aan de rechterkant staan 
A: 	bij mij zijn het de veel onderste figuur 
A: 	echt bij mij zijn het zo'n stuk van de onderkant 
B: 	ja 
B: 	ja hebben ik ook 
B: 	aan de rechterkant van het scherm en dan ook weer het midden van van de rechterkant 
B: 	ongeveer ja zullen millimeterwerk zijn 
A: 	ja 
A: 	oké ik hebben hem zo'n stuk van de zijkant denken ik 
A: 	zullen dat ? ja dat zijn ongeveer hetzelfde ja ja ja ja 
B: 	ja zijn hetzelfde 
B: 	zelfde plek ja 
A: 	dit zijn die kip van jou 
B: 	ja 
B: 	dat zijn O 
A: 	die zijn bij mij eigenlijk ja linksonder zo'n stuk van de onderkant 
A: 	en zo'n stuk van de zijkant 
B: 	ja zelfde plek 
