B: 	het zijn er zeggen maar één en die hebben twee soort van kralensnoert rechts en link 
B: 	echt de veel typisch die er zijn eigenlijk en dan rond schijf aan de voorkant 
A: 	en hij staan 
A: 	en hij staan op een vierkant ding ja ok vijf 
B: 	precies ja 
B: 	ja hij zitten zeggen maar in de drie rij zullen je kunnen zeggen je hebben er eerst één link dan twee iets omhoog en dan 
B: 	één rij ver ongeveer hetzelfde als de één rij zelfde hoogte 
A: 	denken het niet want bij mij zitten hij helemaal links 
B: 	helemaal links 
A: 	ja 
B: 	ja dat zijn niet dezelfde 
A: 	dat zijn dan rood toch 
B: 	ja 
A: 	deze hebben weer die kralenketting aan de zijkant en een vierkant 
B: 	dat 
B: 	dienblad 
A: 	dienbladen ja en een rond schijf 
B: 	ja J 
A: 	helemaal rechtsonder 
B: 	nee bij mij zijn het zegmaar die net niet bij die vijf horen die dan net iets ver naar links staan dus niet dezelfde 
A: 	nee nee 
B: 	het zijn zegmaar met die kralensnoer op dat dienblad 
A: 	elf 
A: 	bij mij zitten hij in de drie rij en dan het twee figuurtje 
B: 	bij mij de twee rij twee dus 
B: 	niet hetzelfde 
A: 	nee 
A: 	met het vierkant schijf en die kralenketting ding en dat rond schijf 
B: 	B 
B: 	de drie van de bovenste rij 
A: 	ja 
B: 	o nee nee de vier van de bovenste rij sorry 
A: 	nee bij mij de drie 
B: 	ok niet dezelfde sorry 
B: 	met die kralendingen op dat dienblad 
A: 	negen 
A: 	drie rij in het midden 
B: 	nee bij mij bovenaan 
A: 	met die kralenketting en dan met dat dienblad er onder en 
B: 	L 
A: 	de drie rij de boven 
B: 	nee vier rij twee 
