A: 	holy shit 
A: 	dat zijn er veel veel 
A: 	jij hebben er één 
B: 	ja ik hebben een een vierkantje 
B: 	hoe gaan ik hem uitleggen 
B: 	het zijn in ieder geval een beetje Pinokkiostyle 
A: 	ja 
B: 	zo'n een emmer met een cilindertje 
B: 	en dan daarboven nog een soort omgekeerd kegel 
A: 	omgekeerd kegel 
B: 	een omgekeerd kegel 
B: 	en aan de achterkant zitten nog een cirkel 
B: 	niet een 3Dcirkel zeggen maar gewoon een cirkelvormig dinge 
A: 	ja 
B: 	ja 
A: 	denken dat ik het weten 
A: 	zijn het zit hebben die onderop een soort sik ook 
A: 	of niet 
B: 	ja hij staan op een soort plateau een dun smal plateau 
A: 	ja precies en aan de linkerkant steken er iets uit 
B: 	aan de nou nee aan niet echt iets dat aan de zijkant uitsteken veel omhoog alsof die een soort van sprie op zijn hoofd hebben 
A: 	alleen een sprie op zijn hoofd 
B: 	ja 
A: 	echt 
A: 	wachten 
B: 	oké ik doen het nog een ik zullen het nog een keer zeggen een emmer 
A: 	ja 
A: 	ja 
B: 	en aan de linkerkant opsteken er een soort cilinder uit 
A: 	ja ja ja oké ja nee dan dan hebben ik hem 
B: 	als een soort neus 
B: 	ja 
A: 	ja 
A: 	ja 
A: 	check 
B: 	oké 
A: 	en een sprie zo en een cirkel achterop 
B: 	ja een cirkel aan de achterkant 
A: 	ja 
A: 	dertien 
A: 	en dan moeten ik drukken toch 
B: 	ja dan moeten jij drukken 
A: 	oké 
B: 	op welk plek die staan 
B: 	in het midden hij bekendstaan eigenlijk best wel in het midden 
B: 	en dan een beetje naar onder 
B: 	niet helemaal op de onderste rij maar één daarboven 
A: 	ja 
B: 	dan in het midden 
A: 	dan zitten die op hetzelfde 
A: 	even kijken ja nu komen we weer bij de hij hebben zo'n een rond dinge achterop zitten en het 
A: 	wat jij zeggen zo'n soort Pinokkio 
A: 	met die cilinder 
B: 	ja 
A: 	naar 
B: 	en er zitten een kegel boven op het hoofd 
B: 	zo'n omgekeerd knuppel 
A: 	ja 
A: 	ja 
B: 	dan zijn het O 
A: 	en hij zitten bij mij beetje midden 
A: 	een heel klein beetje een heel klein beetje naar rechts heel klein beetje naar boven 
B: 	rechts heel klein beetje naar boven zeggen jij 
B: 	toch 
A: 	ja ja vrij centraal wel 
A: 	heel klein beetje naar rechtsboven 
B: 	ja hij staan bij mij veel naar rechtsonder 
B: 	dus dan zijn het geel 
A: 	ja nee dan zijn dan kloppen het niet nee 
A: 	ja 
B: 	dit zijn de Pinokkio die op een soort klein smal standaard staan met aan de achterkant een cirkel en 
B: 	achter op zijn hoofd een soort pluk 
A: 	ja acht 
B: 	en staan naar helemaal naar boven 
B: 	en dan een flink stuk naar rechts 
A: 	ja 
A: 	staan die bij jou helemaal alleen ook 
A: 	bij jou 
B: 	hij staan bij mij aardig alleen ja 
A: 	ja 
A: 	oké dan hebben we dezelfde denken ik 
A: 	even kijken 
A: 	de Pinokkio met de pluk 
A: 	en het cirkelt 
A: 	achterop 
B: 	Pinokkio cirkel achterop 
A: 	ja 
B: 	dat zijn C 
A: 	en hij staan poeh midden in het rechterbovenvak 
B: 	nee deze staat niet in het midden deze staat echt boven en een tikkel naar rechts 
A: 	nee die staan wel echt een flink stuk naar ja niet heel ver naar rechts maar 
B: 	nou ja bij mij echt een tik dus dan zijn het niet denken ik 
A: 	nee nee nee dat zijn hem niet nee 
B: 	dus dan zijn het geel 
A: 	ja 
B: 	kloppen niet 
B: 	dit zijn de Pinokkio met het sprie en aan de achterkant een cirkel 
A: 	ja ja ja ja ja zeven 
B: 	en deze staan in het midden 
B: 	dan naar links een stuk en een stuk naar onder 
A: 	helemaal linksonder 
B: 	nee niet helemaal linksonder 
A: 	even kijken 
A: 	nee dan nee dat zijn niet dezelfde plek 
A: 	nee geel 
A: 	Pippi Langkous met kuifje en cirkeltje 
A: 	of sorry Pippi Langkous Pinokkio 
B: 	Pinokkio hebben we ook nog 
B: 	Pinokkio met kuifje en een cirkel 
A: 	hij staan bij mij rechtsboven 
B: 	dat zijn C 
A: 	ja 
B: 	en staan die bij jou zijn het het het bovenste figuur 
A: 	ja 
B: 	nee bij mij niet 
B: 	dan zijn het geel 
A: 	geel 
B: 	ja even nadenken 
A: 	we zijn denken ik bijna op het einde 
A: 	bij mij ik merken ook het 
B: 	nu gaan het niet veel heel automatiseren 
A: 	nee 
