B: 	ja dit zijn een ding ik vinden het net alsof er het het zijn de basisvorm met een vierkant eronder en net alsof er twee muizentrappe zo als arm zijn 
B: 	en hij hebben ook nog een rond ding aan de voorkant 
A: 	ja en zitten daar zo'n soort van zo'n ding aan 
A: 	of niet 
B: 	wat bedoelen ? ja er zitten aan de als je dat vierkant eronder hebben daar zitten ook nog aan allebei de kant twee van die half ronde ja soort fris ja ik weten ook niet wat het zijn twee half rond buisjes 
B: 	maar het zijn eigenlijk voor voornamelijk dat 
A: 	gewoon een vierkant onderplaat waar die op staat en zitten er dan drie van die van die kralen eigenlijk zeggen maar 
B: 	ja 
B: 	ja 
B: 	precies 
A: 	dus eerst drie kraal en dan drie kraal aan die kant en dan zo'n cirkel met zo'n ding aan de zijkant 
B: 	aan allebei de kant 
B: 	ja die 
B: 	ja 
B: 	ja 
B: 	die 
A: 	ja die snap ik dat zijn bij mij vijf 
A: 	of nee wachten ja dat zijn vijf ja 
B: 	hij staan bij mij als je zo deze hebben 
B: 	net iets daaronder 
A: 	nee bij mij staan die er al boven boven de helft 
B: 	oké ja dan zijn die niet hetzelfde 
A: 	dus dat zijn rood 
A: 	dit zijn die een met die ieder keer drie kraal aan de zijkant zeggen maar met dat rond dinge als neus aan de voorkant met op dat vierkantje 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	ja 
B: 	J 
A: 	en die staan bij mij helemaal rechts onderin 
B: 	nee bij mij kunnen er nog wel rechts wat tussen nee dan zijn die het zeker niet 
A: 	nee echt helemaal rechts onderin 
B: 	dit zijn die een met die met die allebei de kant waarvan die driehoekjesachtig vier die 
A: 	ja die dat telraamdinge die eruit komen zeggen maar met dat rond ding als neus 
B: 	ja 
B: 	ja die 
A: 	ja dat zijn bij mij elf 
B: 	hij zitten in het linksonder 
B: 	tegen de middellijn aan 
A: 	nee 
B: 	oké 
A: 	ja nou ja 
B: 	ja tegen de middellijn aan van boven en dan precies in het midden 
A: 	nee nee nee nee nee 
B: 	van 
A: 	dit zijn die een met die drie kraal die aan allebei de kant eruit komen met die cirkel aan de voorkant op dat vierkant 
B: 	ja 
B: 	dat zijn P 
A: 	rechtsbovenkwadrant ongeveer halverwege de hoogte helemaal links in het kwadrant 
B: 	nee 
B: 	dit zijn wel die een je hebben een vierkan en dat van die kraal 
A: 	met die drie kraal ja 
B: 	ja 
A: 	nummer negen 
B: 	staan eigenlijk zo op de middellijn 
A: 	ja net iets link daarvan 
B: 	en dan kunnen 
B: 	nee nee nee volgens mij echt precies erop 
A: 	iets 
A: 	nee nee bij mij staan die niet precies op de middellijn 
B: 	en dan kunnen er nog zo'n stuk boven 
A: 	hij staan er echt hij staan zitten er wel tegenaan maar niet erop 
B: 	nee staan er wel echt op 
A: 	degeen met die drie kraal aan allebei de kant 
B: 	ja 
A: 	en op dat vierkant plateau ja 
B: 	L 
A: 	Linksboven zullen nog net één krap boven kunnen 
B: 	nee 
A: 	nee oké 
