B: 	oké dit zijn wat ik net bedoelen met dat rok aan ik weten niet of dat jij dan weten wat ik bedoelen ook zo'n vierkant die zeggen maar er dwars op zitten 
A: 	ja een soort van tutuu en hij hebben een soort van slurf 
B: 	ja die 
B: 	ja die 
A: 	en aan de zijkant hebben die zo'n arm met zo'n hoek er omhoog ja 
B: 	ja 
B: 	en twee dinge van boven 
A: 	ja zijn nummer nummer zes bij mij 
B: 	hij staan bij mij vrijwel bovenaan 
A: 	ja 
B: 	en dan als je het midden hebben iets ja iets rechts daarvan klein stuk er er kunnen één of een half ertussen 
A: 	ja 
A: 	ja 
A: 	ja ik gebruik dat dat BenQ wat daaronder staan dat logo dat gebruik zijn als middellijn 
B: 	ja 
A: 	ja 
B: 	ja dan kunnen ja 
B: 	dan kunnen er denken ik 
A: 	en dan zullen er misschien nog één misschien nog net een half of zo tussen passen maar dan iets veel naar rechts nog 
B: 	ja boven BenQ past er dan nog één en dan zijn hij de volgen rechts bij mij 
A: 	ja ja ja ja ja maar ik weten niet of er misschien ja hoe ver dat bij mij 
B: 	nee ik ook niet maar 
A: 	ik denken dat er nog misschien mogelijk een half tussen zullen passen maar ja 
B: 	ja dat zullen kunnen inderdaad maar 
A: 	maar ik ik denken dat we wel dezelfde plek hebben 
B: 	ja dat denken ik ook wel 
A: 	en het zijn inderdaad helemaal de boven 
B: 	ja 
A: 	oké dan staan die op dezelfde plek denken ik geel 
A: 	dit zijn die een met die tuturok zeggen maar met die slurf 
B: 	ja 
B: 	ja 
A: 	met die met die vierkant ding waar aan de links kant zo'n soort van arm uit komen en dan die twee staaf die aan de bovenkant zitten 
B: 	got it 
B: 	C 
A: 	staan bij mij rechtsboven bovenkwadrant 
A: 	helemaal bovenaan en dan in het midden 
B: 	ja 
B: 	bij mij ook 
B: 	dit zijn die met die tutu 
A: 	waar zijn die ? waar zijn die ? waar zijn die 
A: 	ja met die twee staaf erbovenuit en die slurf 
B: 	ja 
B: 	een soort sigaarroken tutu 
A: 	ja 
A: 	nummer dertien 
B: 	hij staan bij mij eigenlijk bijna helemaal linksboven er kunnen denken ik nog een half link oké 
A: 	nee nee nee nee nee nee 
A: 	dit zijn die een met die tutu en die slurf en die twee punt die eruit komen 
B: 	ja 
B: 	dat zijn J 
A: 	die zitten bij mij in het rechtsonderkwadrant tegen de middellijn aan 
B: 	ja 
A: 	en eigenlijk ja er zullen misschien nog een kwartje onder kunnen maar bijna niks 
B: 	ja 
B: 	moeten die 
B: 	dit zijn degeen met de tutu 
A: 	ja nummer negen 
B: 	staan bij mij in het rechtsbovenkwadrant 
A: 	nee 
A: 	de tutu 
A: 	met de slurf en de twee punt die eruit komen 
B: 	ja 
B: 	N 
A: 	als je de middellijn pakt zitten die er net een klein beetje rechts van 
A: 	in het rechtsboven kwadrant en bijna tegen de bovenkant aan 
B: 	ja 
B: 	kunnen nog een half kwar ja 
A: 	ja klein stuk tussen sommig ja 
