B: 	ik hebben deze als een soort vierkant spijker door zijn waar ze als oog 
A: 	o en Erboven zitten nog een normaal spijker 
B: 	ja normaal spijker en er zitten nog een vierkant plaat of tegen he ja 
A: 	ja vlak ja ja dat weten ik wel 
B: 	ok 
A: 	twee 
B: 	link onderin vak en dan midden onderin 
A: 	ja 
A: 	nee bij mij niet bij mij zitten hij in links onderste vak en links boven dus 
B: 	nee dat zijn denken ik niet dezelfde 
A: 	ok 
A: 	nou hier zitten gewoon wat het veel lijken op een spijker bovenin en dan twee van die vierkant achtig ding aan de linkerkant 
B: 	o ja de normaal spijker en het vierkant aan de voorkant 
A: 	ja de normaal spijker 
A: 	ja ook ja 
B: 	ok G 
A: 	hij zitten bij mij links bovenste vak rechts bovenin 
A: 	nee links onderste vak rechts bovenin sorry 
B: 	wachten links onder vak rechts bovenin dus best wel dicht bij het midden 
A: 	ja 
A: 	ja 
B: 	okan ja dan zitten hij op dezelfde plek 
A: 	o 
B: 	o spijker bovenop vierkant aan de voorkant twee spijker nog of twee vierkant spijker als oog 
A: 	o met die met dat platvorm en die normaal spijker 
A: 	bedoelen je 
B: 	ja die normaal spijker inderdaad bovenop ja 
A: 	ja die normaal spijker ja dat dan weten ik al genoeg 
B: 	o jij noemen hem de normaal spijker ok dan zullen ik dan zullen ik die gebruiken volgen keer 
A: 	ja negen 
B: 	link onderin rechts aan het midden 
A: 	ja bij mij ook dus ongeveer gewoon als een lijn door het midden van het scherm zullen zijn dan zullen hij liggen hij er bijna op bij mij 
B: 	ja ja en dan er zitten er nog één ding onder ook nog ja 
A: 	ok 
A: 	ja kloppen 
A: 	die met die normaal spijker 
B: 	met vierkantje aan de voorkant 
A: 	ja 
B: 	ja 
B: 	d 
A: 	en hij zitten zo goed als in het midden van het scherm maar misschien net iets 
B: 	maar net er boven 
A: 	net iets linksboven achtig ja 
B: 	ja ja zelfde plek 
B: 	met de normaal spijker bovenop 
A: 	ja één 
B: 	en vierkant vooraan 
A: 	één doorgaan vlot nu 
B: 	ja ja net rechts van het midden 
A: 	nee bij mij zitten hij rechts bovenste vak in het midden dus 
B: 	ja nee ok 
A: 	nee nee dan zijn het niet o moeten ik moeten ik doen 
B: 	ja 
A: 	met die normaal spijker en dat vierkantje of ja vierkant 
B: 	ja en vierkant oog 
B: 	even kijken B 
A: 	rechts onderste vak link in het midden 
B: 	nice 
B: 	ja ja ik zullen hem links onderin doen maar 
A: 	ja ok links kunnen je ook onderin zeggen maar in ieder geval wel aan de linkerkant 
B: 	maar inderdaad aan de linkerkant van het recht rechts onderin het scherm ja 
A: 	jaja 
