B: 	oké dit zijn een kop met lijken zo'n dik neus te hebben aan de voorkant 
B: 	en hebben die één soort van kwast nog eruit 
B: 	en nog twee uitstulpsels 
A: 	oké wachten nog een keer 
B: 	ja zo'n dik rond hebben die aan de voorkant 
A: 	helemaal aan de voorkant echt 
B: 	ja je hebben net zoals die inboorling 
A: 	ja 
B: 	maar dan zonder die neuspiercing 
A: 	oké en dan hebben die bovenin nog twee twee dinget 
B: 	ja en aan de zijkant ook nog één 
A: 	ja ook zo'n zo'n driehoek oké dat zijn bij mij nummer veertien 
B: 	ja 
B: 	het staan eigenlijk een beetje als je midden van het midden van of van echt het midden van het scherm 
B: 	en dan net iets naar rechts schuin onder gaan 
A: 	ja 
A: 	ja ik denken dat die bij mij daar ook staan 
A: 	dus eigenlijk je pakken midden van het midden en dan zitten die daar eigenlijk net wat rechts van en net wat onder 
B: 	ja 
A: 	oké dan staan die daar 
A: 	dan staan die gelijk 
A: 	die een met die die lijken op die inboorling maar dan zonder de neusring en dan nog allemaal die tierelantijnt 
B: 	ja 
B: 	dat zijn bij mij nummer N 
B: 	niet 
B: 	letter N weer 
A: 	en hij staan links tegen de hoek 
A: 	ongeveer op zestig zestig vijfenzestig procent hoogte 
B: 	tegen de hoek 
A: 	ja 
B: 	nee 
A: 	oké 
B: 	ik hebben met die gewoon neus 
B: 	niet de inboorlingneus 
A: 	ja 
A: 	ja 
A: 	dat zijn nummer negen 
B: 	hij staan ongeveer tien procent van links af 
B: 	aan de linkerkant 
B: 	en dan veertig procent naar onder 
A: 	oké 
A: 	die met die een neus zonder de ring 
B: 	ja dat zijn G 
A: 	die staan centrum centrum en dan iets naar onder een heel klein beetje naar links 
B: 	en iets naar onder ongeveer tien procent naar onder 
B: 	vijf procent 
A: 	vijf ja zoiets 
B: 	ja 
B: 	ik hebben de nietinboorling 
A: 	met de neus 
B: 	de gewoon neus 
A: 	nummer vijf 
B: 	en dan midden midden 
B: 	weer tien procent naar boven vijftien procent twintig procent naar rechts 
A: 	die hebben ik niet 
A: 	die met die een en een gewoon neus 
B: 	ja zijn J 
A: 	en dan vanaf midden midden iets naar ja best wel wat naar rechts en iets naar boven 
B: 	ja oké ja 
A: 	twintig naar rechts ongeveer 
B: 	twintig naar rechts ja 
A: 	ja 
