A: 	oké hij hebben twee van die deegrol hand handvat eraan zitten één doorgaan naar links en de ander gaan recht omhoog 
B: 	recht omhoog 
A: 	dus één deegrolhandvat recht omhoog 
A: 	één doorgaan naar links 
A: 	en rechts zitten er een soort van steeds klein wordend vierkant richting het midden 
B: 	steeds ja ja ja ja ja 
B: 	dus ze er zitten zeggen maar waar zijn die 
A: 	en ook nog een raar ding naar linksachter 
B: 	ja ik zitten zijn hem even aan het zoeken 
B: 	ja ik hebben hem 
A: 	ja 
B: 	ja ja ja dat zijn bij mij E ja E 
A: 	dan zijn het elf E 
B: 	elf E 
A: 	dan gaan we die vanaf nu deegrol noemen 
B: 	deegroller ? oké ja 
A: 	deegrol 
A: 	oké hij zitten net wat boven het midden aan de rechterkant 
B: 	ja bij mij ook alleen hij zitten wel zeggen maar hij gaan echt richting de hoek 
B: 	of ja hoe zeggen ik dat nee er zitten nog wel er kunnen nog wel iets tussen 
B: 	hoe ver 
A: 	ja bij bij mij zitten die echt zo'n beetje bijna bijna recht in het midden 
B: 	ja recht 
A: 	als in de middel hoogte 
B: 	in 
B: 	middel hoogte 
A: 	ja 
B: 	en dan 
A: 	en dan middel hoogte 
A: 	er kunnen er nog sowieso twee boven als je als je goed 
B: 	er kunnen er nog twee boven 
A: 	ja 
B: 	nee bij mij kunnen er net geen er kunnen er geen één veel boven 
A: 	oké dan zijn ze dus niet hetzelfde 
B: 	dan zijn ze niet hetzelfde nee 
B: 	oké deze dit zijn deegroller 
A: 	oké 
B: 	F bij mij 
A: 	moeten ik hem eerst vinden 
A: 	F 
A: 	F elf 
B: 	ja en als je nu dus eigenlijk weer een soort vierkant zullen tekenen zullen die linksboven in het in het midden staan 
A: 	dus net wat link van Pinokkio 
B: 	ja maar wel de en ook daarboven wel 
A: 	nee want die van mij staan er echt gewoon links naast 
B: 	nee nee dan niet 
A: 	niet hetzelfde 
A: 	deegrol 
B: 	even kijken 
B: 	ja J en bij jou 
A: 	drie 
B: 	J drie 
A: 	ongeveer midden qua hoogte en midden van het midden naar rechts 
B: 	midden van midden naar rechts echt midden midden ? ja nee dat zijn bij mij een ander 
B: 	dat zijn bij mij ijsthee 
A: 	ja 
B: 	nee niet dezelfde plek 
A: 	oké 
B: 	dit zijn de deegroller 
A: 	ja 
B: 	H 
A: 	negen H negen 
B: 	en die staan als je vanuit het midden een diagonaal zullen trekken naar de rechteronderhoek eigenlijk in het midden 
A: 	ze dus hij staan rechts onderin 
B: 	ja maar er zijn er kunnen er kunnen er dus nog wel iets langs 
A: 	nee die van mij staan op dezelfde hoogte als verrekijker 
B: 	waar zijn even kijken waar zijn verrekijker 
B: 	nee nee nee hij staan laag 
A: 	nou oké nee nee oké ander 
B: 	ja 
A: 	mijn deegrol 
B: 	ja even kijken 
A: 	twee 
B: 	B twee 
A: 	en staan rechts schuin rechts boven diegene die we net hebben dus van die drie op een rij en dan staan die daar rechts boven 
B: 	ja maar dan staan er nog staan er daar er afstaan er dan weer zo staan er nog één tussen 
A: 	oké 
B: 	bij mij staan die kunnen er niks veel naast rechts 
A: 	rechts onder de V 
A: 	dus de gewoon gewoon in het midden onder de V 
B: 	in het midden 
B: 	nee nee nee nee bij mij staan die zeggen maar tegen de kant aan 
A: 	oké nee 
A: 	ja oké 
A: 	nee oké niet hetzelfde 
B: 	deze dit zijn die met de verrekijker maar dan met één ding de deegroller 
B: 	ja 
B: 	E 
A: 	dus deegroller 
B: 	deegroller 
A: 	E vier 
B: 	Linksbovenin er staan niks veel niks ander daar 
A: 	ja kunnen kunnen er nog één link naast en niet echt veel boven 
B: 	ja 
B: 	boven ja 
A: 	zelfde plek 
