A: 	oké nu hebben ik een rood vierkant 
A: 	er zitten een soort bol op de voorkant 
A: 	en daar zitten een uitsteeksel doorheen 
B: 	ja 
B: 	ja 
A: 	met een met zo'n rond 
B: 	met een plat stuk eraan 
A: 	ja ja 
B: 	ja dan weten ik welk het zijn en er zitten nog één fliepje 
A: 	en één dinge bovenop 
A: 	ja 
B: 	ja 
B: 	oké dan zijn het F 
A: 	en hij staan bij mij het rechterdeel van het scherm in het midden 
B: 	oké dan zijn het de allerrecht 
A: 	nee 
B: 	oké dan zitten die 
A: 	nee er staan nog iets rechts naast 
B: 	oké dan staan die niet op dezelfde plek 
A: 	oké 
B: 	oké dit zijn degeen met de bal aan de voorkant waar dat ding doorheen zitten en dan aan de achterkant nog zo dat 
A: 	ja 
A: 	ja dan zijn het vijf 
B: 	oké 
B: 	bij mij staan die wat jij die drie aan de linkerkant noemen zijn dat de boven 
A: 	oké dan staan die niet op dezelfde plek 
A: 	ik hebben die met die dat fliepje bovenop en zo'n bol aan de voorkant waar iets doorheen opsteken 
B: 	ja dat zijn A 
A: 	en die staan bij mij ja het veel rechtsonder 
B: 	dan staan die niet op dezelfde plek 
B: 	ik hebben diegene met een bol aan de voorkant waar een ding doorheen zitten en één fliebel 
A: 	ja 
A: 	ja dat zijn vijf 
B: 	aan de rechterkant van het scherm hebben je een soort driehoek in vormp 
B: 	en het zijn 
A: 	wachten een 
B: 	ja 
A: 	ja oké en boven boven die driehoek rechts staan er 
B: 	boven zijn er drie dan twee en dan één vormp 
A: 	zo ja 
A: 	ja ja ja 
B: 	en het zijn in de twee rij de linker 
A: 	oké dan staan die niet op dezelfde plek 
A: 	ik hebben die met die uitstekend bol en met dat ding erdoorheen 
B: 	ja 
A: 	en met dat fliebel bovenop 
B: 	ja even zoeken ja ja dat zijn H 
A: 	en die staan bij mij ja onderin hebben je zo aan de in het midden rechts staan er drie naast elkaar 
B: 	ja 
B: 	ja 
A: 	een beetje schuin onder elkaar 
B: 	ja 
A: 	daar zijn die linksboven van 
B: 	ja dan staan die op dezelfde plek 
B: 	ik hebben die boor met die balk erdoorheen met zo'n fliebel in die pot 
A: 	ja dat zijn vijftien 
B: 	oké bij mij zijn dat in die driehoek rechtsboven linksonder 
A: 	dus dan staan er nog één schuin onder zeggen maar link 
B: 	ja die hebben wij niet bij de driehoek maar die staan er nog wel 
A: 	ja 
B: 	er staan er één link onder en één link boven nog 
B: 	dus die driehoek 
A: 	met drie figuurt rechtsboven 
B: 	ja rechtsboven 
A: 	ja 
B: 	daar zitten 
A: 	en daar zijn het linksonder van 
B: 	ja daar zijn het linksonder van 
A: 	oké dan zijn het niet dezelfde plek 
B: 	oké 
