B: 	ja 
B: 	ik hebben hem nu 
A: 	ja 
B: 	het zijn zo'n zwembaddinge met zo'n vierkant ondergrond 
A: 	ja met twee van die 
B: 	met zo'n 
B: 	ja van die kronkeltjes eraan 
A: 	ja van die haar 
B: 	ja 
B: 	ja 
A: 	ja met zo'n rond 
B: 	ja met zo'n rond dinge 
A: 	ja 
A: 	dan zijn het vijf 
B: 	en hij staan aan de linkerkant een beetje in het midden iets veel naar onder toe linker linkerkant van het scherm 
A: 	nee bij mij staan die naar boven 
B: 	oké 
A: 	dus dan zijn het 
B: 	dus het zijn niet dezelfde plek 
A: 	nee dus dan moeten die rood 
B: 	ja 
A: 	het clown met die haart en dat rond neus 
A: 	met die vierkant eronder 
A: 	tenminste ik moeten aan een clown denken 
B: 	met die met die wokkel eraan zeggen maar 
A: 	ja 
B: 	ja 
B: 	J 
A: 	en die staan helemaal rechts in de hoek 
B: 	nee bij mij staan die iets veel naar het midden toe 
B: 	deze zijn die weer met die wokkel 
A: 	het clown ja 
B: 	ja 
A: 	dat zijn elf 
A: 	we worden steeds snel 
B: 	nou 
B: 	en hij staan in het midden van de linkerkant 
B: 	staan er één boven één eronder 
A: 	nee hij worden bij mij wel omringen met van alles 
B: 	ja bij mij ook maar zeggen maar als je het de veel midden van de linkerkant 
A: 	nee 
B: 	nee 
A: 	het clown 
A: 	met die wokkel 
B: 	P 
A: 	en rechts 
A: 	er zitten een gat link van hem maar rechts staan staan er ook drie op een rij 
A: 	of twee op ja met hem erbij zijn het er drie 
B: 	maar niet de middel van die drie dan 
A: 	nee 
B: 	nee oké dan staan die ergens ander 
B: 	deze zijn die met die kronkel aan de zijkant 
A: 	dat zijn negen 
B: 	die wokkel 
B: 	en hij staan in het midden bovenin 
B: 	er staan niks veel boven 
A: 	nee 
A: 	het clown met de wokkel 
B: 	ja L 
A: 	en hij zitten link van de middellijn en 
B: 	nee 
