B: 	oké deze zijn best wel klein hij hebben twee soort ding aan de zijkant laag en een balk bovenop 
A: 	ja 
B: 	en hij hebben nog aan de voorkant iets waar ook nog een pin uit komen of zo 
A: 	ja 
A: 	en ja dat zijn een heel klein 
B: 	ja die zijn heel simpel 
A: 	er opsteken niet zo heel veel uit 
B: 	nee 
A: 	ja oké dat zijn acht 
B: 	oké 
B: 	bij mij staan die heel erg in het midden boven die drie waar we het net over hebben daar staan die boven 
A: 	ja 
A: 	oké dan zitten die op dezelfde plek 
A: 	dit zijn die heel compact zeggen maar met dat balk bovenop en 
B: 	ja en alleen maar zo twee van die ding aan de zijkant en één 
A: 	ja 
B: 	oké dat zijn E 
A: 	en die staan bij mij in het midden dat vierkant daar zijn die rechtsonder van 
B: 	oké dan staan die niet op dezelfde plek 
B: 	ik hebben die heel compact met zo de balk op de bovenkant en twee van die ding aan de zijkant en één zo'n 
A: 	ja dat zijn één 
B: 	sorry dat moeten ik zeggen 
B: 	van die acht zijn het het bovenste rij de helemaal rechts 
A: 	ja dan staan die op dezelfde plek 
A: 	dit zijn die heel klein met die balk bovenop 
B: 	ja 
B: 	dat zijn E 
A: 	en die staan in dat vierkant linksonder zijn die rechtsboven 
B: 	ja 
B: 	ik hebben die heel compact met die balk aan de bovenkant 
B: 	en zo die twee klein uitsteeksel 
A: 	ja 
A: 	dat zijn zestien 
B: 	oké bij mij zijn dat van die drie op een rij aan de onderkant de veel rechtsonder zeg maar 
A: 	ja 
A: 	oké dan staan die op dezelfde plek 
B: 	oké 
A: 	dit zijn die heel compact 
B: 	ja even zoeken 
B: 	ja dat zijn O 
A: 	en die staan bij mij helemaal linksonder 
B: 	ja bij mij ook 
