B: 	dit zijn de hier staan die op een tafel en hebben die van die ja uitsteeksel aan de zijkant 
A: 	ja ik noemen dit kraal 
B: 	ja inderdaad dat zijn kraal ja 
A: 	oké ja dat zijn nummer vijf 
B: 	en hij staan ja hij staan niet helemaal links maar 
B: 	zeggen maar je hebben er één die helemaal links staan en daar staan die naast 
A: 	ja 
B: 	dus 
A: 	de ja 
A: 	de ze staan volgens mij gelijk over over het scherm verdelen 
B: 	ja 
A: 	dus je hebben er dan onder één die er net links onder staan 
A: 	bedoelen je dat of 
A: 	of één die er echt naast staat 
B: 	ja ja naast soort ja net naast en dan klein beetje laag 
A: 	oké 
B: 	zeggen maar er staan er één één staan helemaal aan de linkerkant 
A: 	ja 
B: 	en dan hebben dan komen de er twee 
A: 	ja 
B: 	en dan rondkomen er weer twee 
A: 	ja 
B: 	en dan zijn het zeggen maar die van die drie rij de boven 
A: 	dan staan die denken ik niet hetzelfde want bij mij zijn het die een en dan twee die wat hoog staan en daarvan zijn het de onder 
B: 	ja nee dan nee dan zijn het niet gelijk 
A: 	dus dan zijn die niet gelijk 
A: 	oké 
B: 	dat zijn dan 
A: 	dat zijn rood 
B: 	ja 
A: 	oké dit zijn die met die kraal 
B: 	ja 
A: 	op die erop staan 
B: 	dat zijn J 
A: 	en dan staan die bij mij helemaal rechtsonder in de hoek 
B: 	nee dat zijn anders 
B: 	dit zijn met de kraal 
A: 	dat zijn elf 
B: 	dit zijn van links hebben je drie boven elkaar 
B: 	en dan de twee rij de drie boven elkaar dan zijn het de middel 
A: 	oké dat zijn niet gelijk 
A: 	dit zijn die met de kraal 
B: 	ja dat zijn P 
A: 	die staan nou als we het driehoek blijven houden dan de linkerbovenhoek 
B: 	ah nee dat zijn anders 
B: 	de kraal 
A: 	dat zijn negen 
B: 	en de bovenste rij de rechter 
A: 	dat zijn niet gelijk 
A: 	dit zijn die met de kraal 
B: 	ja dat zijn L 
A: 	die staan ongeveer op de bovenste rij van die vier bovensten zeggen maar en dan daar de twee van link 
B: 	dat zijn ongelijk 
