B: 	ok deze staan eigenlijk zijn een beker op een tafel en hij hebben paar van die raar bollet zo naar de zijkant 
A: 	o die wokkel dinge ja 
B: 	ja die die die die drie drie van die soort 
A: 	ja nee ja met dat platform en die wokkel en die dat rond ding er voor op 
B: 	ja ja inderdaad zo'n soort schijf ja 
A: 	ja jajaja ok 
A: 	ja nou vijf 
B: 	ok deze zijn wel heel erg kut te omschrijven sowieso als je het scherm dus in vier opdeelen links onderin 
A: 	nou dan kloppen het al niet veel bij mij 
B: 	o 
A: 	want hij zitten bij mij zeggen maar als je het in vier deel zullen op opsplitsen links bovenin 
B: 	bovenin o 
A: 	dus als in hij zitten hij zitten wel net hij zitten net boven het midden dus 
B: 	nee bij mij zitten hij echt net onder het midden juist 
A: 	ok nou dan zijn het dan zijn het niet dan zijn het rood 
B: 	ok 
A: 	ok dat zijn die een met die kronkel arm 
A: 	met dat op dat platform 
B: 	o die die jij die jij wokkel noemen 
A: 	zeggen maar met die beetje kristalle 
A: 	ja wokkel inderdaad 
B: 	en met die cirkel aan de voorkant 
A: 	ja precies 
B: 	okan J 
A: 	er helemaal rechts onderin van alles 
B: 	helemaal rechts onderin de hoek 
A: 	ja 
B: 	nee zitten hij bij mij niet 
A: 	ok 
B: 	ok met de wokkel 
A: 	die wokkeloor dinge ja 
B: 	en ja ronde ding aan de voorkant 
A: 	ja ik weten het al ja elf 
B: 	linkerkant van het scherm in het midden 
A: 	nee niet precies hij die van mij liggen dicht bij het midden van het heel scherm dus dan nee 
B: 	nee 
A: 	ok 
A: 	nou die wokkeloren 
B: 	ja met cirkel aan de voorkant 
A: 	wokkel ding 
A: 	ja 
B: 	P 
A: 	en hij zitten rechtsbovensen vak link 
B: 	helemaal links van het rechts bovenste vak 
A: 	ja in het midden ja 
B: 	o bij mij zitten hij echt in het midden zitten er zeggen maar nog vier ding omheen 
A: 	nee hij zitten niet in het midden 
B: 	ok nee zitten hij niet in dezelfde zijn niet hetzelfde 
B: 	wokkel oor 
A: 	nice negen 
B: 	helemaal bovenin in het midden 
A: 	nee bij mij niet 
B: 	ok 
A: 	wokkel meneer 
B: 	ja met cirkel aan de voorkant L 
A: 	link bovenste vak rechts in het midden 
B: 	nee bij mij zitten hij echt vlak boven het midden van het scherm 
A: 	nee bij mij niet 
