A: 	ok dit doen me een beetje denken aan een aan een kip of het twitter vogel ? omdat hij zo twee 
A: 	uitstekels hebben en dat vinden ik een beetje een snavel en dan zo'n soort driehoek op zijn hoofd en dan zo'n dinge wat dan een vleugel zijn en een staart aan de onderkant 
B: 	even kijken hoor 
A: 	zeggen maar aan de rechterkant hebben je twee rechthoekig balkjes direct onder elkaar 
B: 	o 
B: 	ja die ja ja dat o ik snapan je ja ja dat zijn bij mij ja I 
A: 	bij mij negen 
B: 	ok 
A: 	bij mij staan hij redelijk bovenaan iets veel naar het midden toe en 
B: 	van de linkerkant zeggen maar 
A: 	ja van de linkerkant en 
B: 	ok 
A: 	direct er omheen staan eigenlijk niks alleen een beetje schuin aan de onderkant staan er schuin aan de onderkant rechts staan er wel één en dan 
B: 	die een die beetje in het midden staan zeggen maar 
A: 	ja die staan in het midden ja 
B: 	okan ja dan denken ik wel dat hij op dezelfde plek staan tenminste bij mij zitten er ook ver niet heel gelijk wat omheen 
A: 	ja 
A: 	ja zeggen maar aan de linkerkant hebben je een nog een plek waar er precies één tussen zullen passen en daarna komen er één 
B: 	ja 
B: 	ja ja kloppen dat hebben ik ook ja 
A: 	ok dan zullen het wel hetzelfde zijn 
B: 	o dit zijn het het twitter icoon mij doen het beetje denken aan een koffiezetapparaat maar het twitter icoon die vinden ik iets veel er op lijken ja 
A: 	o 
A: 	ja zijn twee bij mij 
B: 	ok bij mij L 
A: 	ok 
B: 	en hij zitten zegmaar ja beetje weer op één vier van links en één vier van onder en er 
B: 	link en links schuin en er onder zitten niks en daar boven nog wel wat en ja ja ik weten niet of het dan een beetje in de buurt komen van waar bij het bij jou staan 
A: 	ja op zich wel 
B: 	ja en links schuin een beetje ver Erboven vaststaan ook nog wat 
A: 	ja 
B: 	ja dan staan hij denken ik wel op dezelfde plek ja 
A: 	op dezelfde plek ja 
A: 	o dit zijn het twitter vogel 
B: 	o die zijn bij mij M 
A: 	vijf 
B: 	ok 
A: 	o hij staan helemaal links onderaan in de hoek 
B: 	ja dat hebben ik ook ja 
A: 	ok 
B: 	het twitter poppe 
A: 	twitter poppe ja negen bij mij 
B: 	okan jij moeten weer 
B: 	hij staan zeggen maar beetje op de bovenste rij en dan denken nu één drie van link 
A: 	sorry bovenste rij één drie van links staan links iets naast 
B: 	maar er vaststaan nog wel iets naast 
B: 	ja dat wel 
A: 	ok en rechts niet 
B: 	nee 
A: 	ja denken dat hij wel op dezelfde plek staan 
B: 	ok 
A: 	dit zijn het twitter poppe 
B: 	even kijken waar die zijn o hier F 
A: 	elf 
A: 	hij zitten iets rechts van het midden en best wel onder 
B: 	ja dat hebben ik ook wel 
A: 	en direct ja direct aan de rechterkant zitten die of nee linkerkant zitten die neuspiercing en een heel klein beetje naar onder aan de rechterkant zitten dat hoofd met die twee oor 
B: 	die dan zijn het toch dezelfde plek 
A: 	ok 
B: 	twitter poppe 
A: 	ja zijn zes bij mij 
B: 	ok bij mij H 
B: 	en hij zitten zeggen maar zo wel gewoon op het midden en nn ja wel iets veel link van het midden zo af 
B: 	maar ik denken dat ernaast zeggen maar links ervan zullen nog twee en een half poppe kunnen 
A: 	en staan er staan er niet iets al naast 
B: 	nee alleen wat verderop 
A: 	ja best wel ver op 
B: 	ja 
A: 	en daartussen passen nog twee 
B: 	ja misschien anderhalf 
B: 	zeggen maar maar zeggen maar alleen vanaf dat scherm 
A: 	o ja nee bij mij zullen er echt nog twee tussen passen en dan staan er nog één zeggen maar 
B: 	o zo 
A: 	dus dat zijn niet dezelfde plek denken ik 
B: 	nee ja ik denken dat hij dat mijne inderdaad dan iets dichter naar links toe staan ja 
A: 	want 
A: 	ja dat denken ik ook 
A: 	ja ja dat hij gewoon bij jou jouw staan denken ik één plaat veel naar links 
B: 	ja dat denken ik ook ja 
A: 	ja kijken dus niet dezelfde plek 
