A: 	ja deze hebben een een vierkant kop en dan komen er een spijker uit eigenlijk 
A: 	en die prikken dan ergens in wat een soort van hartje zijn wat heel lang uitgerekt zijn 
B: 	ja en een soort van schijf aan de rechterkant ja dat zijn L 
A: 	een schijf ja 
A: 	bij mij zitten hij best wel links onder maar niet de uiterst hoek 
B: 	maar wel echt veel links figuur bij mij 
A: 	ja dat wel 
B: 	maar hij overlpen wel zegmaar 
A: 	met 
B: 	met twee die erboven staan 
A: 	ja bij mij zitten er er nog wel drie figuur die nog veel naar links gaan als in daarboven 
B: 	ja 
B: 	o nee nee dan zijn het niet dezelfde 
A: 	als je hij zitten zegmaar helemaal onderaan links maar als je naar boven gaan in de linkerkant zegmaar dan zitten er nog drie figuur die wat nog veel naar de linkerkant gaan 
B: 	dus hij zijn bij jou helemaal op de onderste rij 
A: 	ja 
B: 	o nee dat bij mij niet dus 
A: 	ok 
B: 	deze hebben zegmaar zo'n spijker in een uitstekend dat langgerekte har waar je het net over hebben 
A: 	ja zeven 
A: 	als je weer dat vierkantje hebben in het midden 
B: 	ja 
A: 	dan daarboven link zegmaar zitten er één ? en daar linksonder zitten er weer één 
B: 	ja en die zijn het bij jou bij mij zijn het zegmaar die Linksboven het vierkantje zitten dus dan zijn het dus niet dezelfde 
A: 	ja 
A: 	nee 
A: 	nee 
A: 	deze hebben weer die spijker met dat har en een schijf 
B: 	even kijken 
B: 	ik kunnen hem niet vinden C 
A: 	bij mij zitten hij als je van links gaan tellen één twee drie in de vier rij 
B: 	ja 
A: 	en dan de twee figuurtje van boven 
B: 	ja zover je dat nog een vier rij kunnen noemen hij lopen een beetje 
A: 	als in 
A: 	ja schuin 
B: 	bij jou dan zo eigenlijk 
A: 	ja je hebben als je echt echt in rij gaan dan zijn het één twee drie vier vijf zes rij en de zes rij hebben alleen maar één 
B: 	ja ok 
A: 	de vijf rij hebben er twee , zien je dat ? zo twee figuurt en de vier rij hebben drie figuurt 
B: 	o zo 
B: 	en dan de drie vier twee drie één drie ok dan zijn het dus de één twee drie vier rij bij jou 
A: 	drie rij hebben vier 
A: 	ja 
A: 	ja en dan het twee figuurtje dus in het midden 
B: 	nee bij mij zijn het de onderste van die 
A: 	nee 
B: 	die met dat uitstekend ding waar die spijker in zitten met dat uitgerekken hartje en rechts dat rond 
A: 	ja één 
A: 	drie rij de één 
B: 	ja 
A: 	die met dat spijker en het hart en het schijf 
B: 	A 
B: 	twee rij bovenaan 
A: 	ja 
B: 	zo'n spijker die aan dat steken hartje zitten 
A: 	dertien 
A: 	de twee van de één rij 
B: 	nee bij mij de twee rij 
A: 	de twee rij die in zijn ee staan 
B: 	ja twee rij zijn maar alleen dus 
A: 	nee ja 
