B: 	oké 
A: 	nou 
B: 	we mogen praten 
A: 	ja jij hebben een rood vierkant als het goed zijn 
B: 	oké 
B: 	ik hebben een rood vierkantje dus ik zullen maar gelijk beginnen 
B: 	ja ik vinden ze dus een beetje op beker of op hoofd lijken 
A: 	oké 
B: 	ik weten niet hoe jij het zag dit hebben een een soort van lepel of uitsteeksel 
A: 	ja 
A: 	ja 
B: 	en een plat rond verticaal aan de aan de achterkant een beetje 
A: 	een beetje aan de achterkant eens even kijken 
B: 	en het hebben een soort van neus 
B: 	of een langwerpig uitsteeksel 
A: 	een langwerpig neus aan de voorkant 
B: 	ja 
B: 	ja 
A: 	en dan een 
B: 	een plat rond aan de achterkant 
A: 	echt zo zeg maar 
B: 	die ertegenaan zitten ja 
A: 	ja precies 
B: 	yes 
A: 	en één uitsteeksel beetje rechtsboven en één uitsteeksel link 
B: 	yeslen ja 
A: 	beetje zeshoekig 
B: 	en daaronder nog een soort van ovaalachtig iets waar die op leunen 
A: 	precies precies ja 
B: 	ja 
A: 	oké dan denken ik dat ik hem hebben vinden 
B: 	oké 
A: 	nummer dertien bij mij 
B: 	oké dat kunnen 
A: 	en dan op welk 
B: 	dan moeten jij op geel drukken denken ik toch 
A: 	ja 
B: 	en dan gaan we naar de volgen taak 
A: 	dat zijn waar inderdaad oké en dan moeten we nu bepalen of die op dezelfde plek staan 
B: 	ja oké hij staan hij staan bij mij in het midden 
B: 	onder de helft ongeveer 
A: 	ja bij mij eigenlijk ook inderdaad 
A: 	ja 
B: 	ik ja ik weten niet hoe die tot relatie staan tot de ander ik weten niet of dat hetzelfde zijn bij jou natuurlijk maar 
A: 	of dat uitmaken 
B: 	ja 
A: 	bij mij staan er nog één net iets schuin rechtsboven 
B: 	ja bij mij ook 
A: 	en één linksonder 
B: 	linksonder 
B: 	ja 
A: 	ja precies 
B: 	oké dan denken ik dat het wel dezelfde plek zijn 
A: 	dat denken ik ook oké 
B: 	oké top 
A: 	nou moeten ik op de rood knop drukken toch 
B: 	rood zijn ander plek geloven ik geel zijn de 
A: 	ja geel zijn zelfde plek en rood zijn ja f 
B: 	yes 
A: 	ik hebben één ja ook zo'n soort kwast bovenop 
A: 	en dan zo'n rond schijf helemaal achter er soort van tegenaan plakken 
A: 	en dan een soort achthoekig staaf erin prikken aan de zijkant 
B: 	ja 
B: 	en hij leunen op zo'n ovaalachtig 
A: 	ja precies 
B: 	ja dat zijn O bij mij 
A: 	oké 
B: 	maar waar staan 
A: 	en bij mij staan die ja bijna in het midden net net iets rechts van het midden en net ietsje boven de helft 
B: 	boven de helft 
A: 	ja 
B: 	oké nee bij mij staan die net iets onder de helft 
A: 	oké 
B: 	maar van de rest zijn die wel bijna hetzelfde 
A: 	bijna 
B: 	oké maar ander plek 
B: 	oké het zijn hij hebben een soort van lepeltje 
B: 	een uitsteeksel en een rond plat dinge aan de aan de achterkant 
A: 	ja 
A: 	even kijken een rond plat dinge aan de 
B: 	en hij hebben ja een rond plat dinge aan de achterkant en hij leunt weer op dat ovaal dinge 
B: 	en hij hebben een uitsteeksel ik weten niet of het rond zijn of iets van achthoekig 
B: 	soort van neus 
B: 	zo'n rond plaat aan de achterkant hebben die en een soort van kwastje 
A: 	welk zijn dat 
A: 	ja die zo nog daarbovenuit daar ja 
B: 	ja 
A: 	en dan inderdaad dat een beetje achthoekig 
B: 	ja die er zo uit opsteken ja 
A: 	ja precies oké ja 
B: 	yes 
A: 	dat zijn nummer acht 
B: 	oké 
B: 	en hij staan bij mij helemaal rechts bovenin 
A: 	ja bij mij ook 
B: 	oké 
B: 	top 
A: 	oké dit zijn weer dat schotel achterop met dat soort freubel veertjeachtig iets bovenop 
B: 	even kijken ik weten niet ja ja 
A: 	en dan het achthoekig 
B: 	yes dat zijn C bij mij 
A: 	oké 
A: 	en dan zijn die ongeveer helft helft rechts 
A: 	en dan ook ongeveer helft helft boven 
B: 	ja bij mij ook 
B: 	zelfde plek 
B: 	weer dat rond dat achter zitten 
A: 	ja 
B: 	en dan dat soort van kwastje 
B: 	of dat lepel en die achthoekig uitsteeksel 
A: 	ja ja en het achthoekig 
A: 	ja precies nummer zeven 
B: 	ja 
B: 	en dat zijn ongeveer de helft van de helft links 
B: 	en ongeveer de helft van de helft beneden 
A: 	ja nou hij zitten wel net iets veel link bij mij 
B: 	oké nee bij mij wel echt de helft van de helft ongeveer 
A: 	nee dat zijn wel net iets veel 
B: 	oké 
A: 	ander plek 
A: 	deze zijn weer met dat plateau erachter dat halfron plateau erachter en dan één zo'n kwast erbovenop 
B: 	nice 
B: 	ja 
A: 	en het achthoekig dinge 
B: 	ja C bij mij 
A: 	en hij zitten ongeveer helft helft rechts 
A: 	net misschien net iets rechts 
A: 	en dan ongeveer helft helft boven ook 
B: 	even kijken helft helft boven 
A: 	ja 
A: 	ja ongeveer het kunnen ook net iets boven de helft helft boven zijn 
B: 	oké want mijne zitten wel net iets zullen net iets boven de helft zijn 
A: 	nee dan zitten deze wel echt hoog 
B: 	dus ik denken 
B: 	oké oké 
B: 	oké ander plek 
