A: 	nu hebben ik 
A: 	ja het enig met zo'n lang balk zeggen maar 
B: 	vooraan een lang balk 
A: 	ja 
A: 	ja 
B: 	en liggen daarbovenop een bolle 
A: 	ja 
A: 	en dan twee armp 
B: 	ja 
B: 	d 
B: 	en bij mij staan die boven het logo en dan een klein beetje naar links 
A: 	ja die van ja die van mij ook 
A: 	als je gewoon zeggen maar weten je nog waar we die één hebben 
B: 	ja 
A: 	zeggen maar links daarvan 
B: 	ja 
A: 	beneden 
A: 	oké dan 
B: 	link ja ja 
A: 	ja 
B: 	oké dan kloppen het 
A: 	wie zijn ? jouw beurt 
B: 	dit zijn zo'n ding met een lang balk 
B: 	lijken lijken gewoon op een hoog toren zeggen maar en bovenin bovenop liggen een bol op het plaat 
A: 	ja 
A: 	en dan 
B: 	aan de zijkant van die 
A: 	dat kunnen je twee tubes of zo weten ik veel 
B: 	ja 
A: 	oké 
A: 	vijftien 
B: 	en bij mij staan die rechts bijna helemaal rechtsonder in het scherm 
B: 	klein stuk van de rand af 
A: 	maar echt in het hoek 
B: 	ja en dan zo'n stuk ervan af 
A: 	oké nee van mij niet 
A: 	bij mij zijn bijna bij het logo een beetje 
B: 	oké 
A: 	bij mij ook 
A: 	ja dat dat lang balk en dan waar zeggen maar zo'n beker aan hangen lijken het wel 
B: 	even 
A: 	en dan zo'n bol erop 
B: 	ja die bol bovenop en dan één toren van het World Trade Center lijken het 
A: 	juist 
A: 	weten je het gaan lekker 
B: 	L 
B: 	even kijken 
A: 	oké als je als je die logo nemen 
B: 	ja 
A: 	dus gewoon een recht lijn en dan nee dat zijn niet handig 
B: 	en dan een stuk naar links van die lijn 
A: 	naar links zeggen maar 
A: 	ja maar dan wel oeh wacht waar waar we net één hebben die in het midden zijn van dat van dat balk van dat 
B: 	ja en en nu staan die daar rechts van 
A: 	ja 
A: 	oké ja dan wel 
B: 	ja 
B: 	met die rond bovenop die bol zeggen maar en dan weer die lang balk aan de voorkant 
A: 	en die twee 
B: 	ja 
A: 	nummer zes 
B: 	bij mij als je die dat microfoonding door aan de ander kant 
B: 	en dan zo'n stuk van de zijkant 
A: 	nee van mij 
A: 	maar zijn het zijn het dan zijn het dan in de rechterhoek zeggen maar of in de bovenste hoek 
B: 	nee zeggen maar in echt in het midden 
A: 	nee dan niet 
A: 	die Empire State Building zeggen maar of wat het zijn 
B: 	ja 
A: 	en dan zo'n bal erop 
B: 	ja 
A: 	en die twee arm 
A: 	de onderkant van de twee driehoek 
B: 	ja 
B: 	die bol en dan weer die World Trade Center 
A: 	drie 
B: 	en hij staan aan de rechterkant van het scherm bijna tegen de rand 
A: 	ja 
