B: 	oké deze hebben aan de voorkant een soort van dienblad liggen en op dat dienblad liggen dan een soort van schaal die 
B: 	zeggen maar allemaal van zulk zijkant hebben 
A: 	ja 
A: 	ik weten welk je bedoelen 
B: 	en dan linksboven hebben hij nog een klein armp of zo 
A: 	ja 
A: 	oké dat zijn nummer zestien 
B: 	en qua hoogte zitten die in het midden en dan ja rechts ook weer een beetje 
A: 	ja bij mij 
B: 	niet helemaal rechts maar klein beetje rechts 
A: 	bij mij zitten hij helemaal rechtsboven 
B: 	oké dan zijn het 
A: 	dus die zijn anders 
B: 	ja 
A: 	ja dit zijn dat ding ja ik denken zo'n soort tafel met dat schuin bak erop en dan nog één zo'n 
B: 	Linksboven nog zo'n raar armp 
A: 	ja 
B: 	P zijn dat 
A: 	en hij staan in het midden en dan rechts en daar weer precies in het midden tussen rechts en link 
B: 	maar qua lengte wel echt precies in het midden 
A: 	ja 
B: 	ja dan zijn het hetzelfde 
B: 	dit zijn die met dat dienblad vooraan met dat bak erop en linksboven dat armp 
A: 	ja 
A: 	even kijken waar die zijn 
A: 	ja 
A: 	nummer veertien 
B: 	staan echt heel iets naar links en wel helemaal onderaan 
A: 	ja bij mij ook 
A: 	dit zijn met dat tafel met dat schuin bak erop 
A: 	en dat arm nog links dat klein armp 
B: 	ja N 
A: 	en die staan links van het midden en dan iets omhoog en dan daar ook in het midden een beetje 
B: 	ja 
B: 	dienblad met dat bak erop en het armp Linksboven 
A: 	ja nummer tien 
B: 	die staan iets naar boven en echt een heel klein beetje naar links 
B: 	bijna niet 
A: 	bij mij staan die iets naar rechts 
A: 	ja dat tafel met dat schuin bak erop en dat hand nog links 
B: 	ja D 
A: 	en hij staan rechts halverwege 
B: 	bij mij staan helemaal rechtsboven 
A: 	en dan iets 
A: 	nou niet helemaal rechtsboven bij mij nee 
B: 	nee 
