B: 	ja 
B: 	dit zijn dit zijn eigenlijk de hier lijken het net of er een tafel doorheen zitten 
B: 	met een bak erbovenop 
A: 	en nog zo'n klein friemel erachter 
B: 	ja 
B: 	zo'n kuifje ja 
A: 	ja ik zien het 
A: 	zestien 
B: 	en deze staan vrij naar rechts ik denken de twee rij van rechts en dan in het midden 
A: 	de twee 
A: 	nee 
A: 	dit zijn ik omschrijven hem zelf een beetje als een een bloempot 
A: 	dat die die op een schap zitten en dan zeggen maar zo'n bloempot die er half zo eruit 
B: 	bloempot 
B: 	even kijken 
A: 	dus zeggen maar het lijken een beetje op een schap waar een bloempot in vangen 
A: 	of in vallen 
B: 	ja er staan twee punt streepjes 
A: 	even kijken wat je ander nou die bloempot hebben dus zeggen maar een schap 
A: 	en hij steken nog zelf steken die een klein beetje uit 
A: 	en daar zitten een klein friebel en daarachter zitten nog een blok achter 
B: 	zullen ik 
A: 	en die schap zelf gaan dwars door die pot heen en die steken ook nog een beetje twee zo naar beneden uit 
A: 	dus ik kunnen het een beetje als een soort van als een ja eigenlijk zo'n ja het zijn moeilijk te omschrijven anders 
B: 	het zijn niet die cactus nee 
A: 	nee ik weten welk je bedoelen 
B: 	dat het zijn gewoon dat er een soort plank in het midden 
A: 	nou het plank zijn uitgaan er dwars doorheen 
B: 	die ah ik zien het volgens mij al 
A: 	en zijn een klein stuk boven houden je dan nog over en daar zitten dan twee van die 
B: 	een klein stuk 
B: 	ja ja ja 
B: 	dat zijn P 
A: 	hij staan ja niet niet helemaal rechts 
A: 	tussen twee en drie ongeveer in en wel in het midden 
A: 	dus ongeveer in het midden en dan rechts tussen twee en drie zeggen maar in 
B: 	ja volgens mij zijn die dan wel hetzelfde 
B: 	ja wat zeggen je die plantenbak met dat ding er 
A: 	ja kloppen 
B: 	ja 
A: 	even kijken waar zijn die 
A: 	ja met die schap en die plantenbak een beetje eronder 
B: 	ja ja ja 
A: 	ja veertien 
B: 	en hij staan helemaal onder en dan ja linksmidden ja gewoon in het midden maar dan heel klein beetje link 
A: 	kloppen denken ik wel 
A: 	zullen niet veel schelen 
A: 	zitten veel dan links dan naar rechts in ieder geval 
A: 	de plantenbak 
B: 	plantenbak 
B: 	moeten ik even kijken waar die staan 
B: 	ah dat zijn N 
A: 	hij staan er zullen nog één of anderhalf link erbij kunnen ongeveer 
A: 	evenals boven 
A: 	past er nog sowieso één 
A: 	en misschien nog wel anderhalf dus hij staan veel link een beetje links ja boven één past er altijd nog misschien nog wel een half 
A: 	en aan de zijkant passen één ook altijd nog en misschien ook nog wel een half 
B: 	oké ja bij mij passen er denken ik wel twee 
B: 	van de zijkant 
A: 	van de zijkant 
B: 	dus ik denken niet dat het dan ik weten niet hoe precies het allemaal zijn maar 
A: 	dat worden lastig misschien 
A: 	ja ik ook niet 
B: 	dus 
A: 	hebben ik niet vragen 
B: 	ja 
B: 	ja dit zijn die plantenbak 
A: 	plantenbak ja 
A: 	tien 
B: 	en die staan net boven het midden 
B: 	en ja in het midden eigenlijk 
A: 	en zullen er boven nog 
B: 	ja ja 
A: 	één zeker wel 
B: 	één 
B: 	ja zeker 
A: 	nou hier niet 
A: 	de bloempot 
B: 	de bloempot 
B: 	oké 
B: 	ah ja 
B: 	d 
A: 	zo goed als helemaal rechts maar er zullen nog wel een half naast kunnen 
A: 	en als je hem in of in vijf blok zullen delen zeggen maar rechts dan van van hoog naar laag zullen die ongeveer op de twee staan 
B: 	oké nee bij mij staan die helemaal bovenaan 
A: 	nee 
