B: 	oké 
B: 	even kijken deze hebben bovenop een een soort rechthoekig balk liggen 
B: 	bijna over de heel lengte en ja links hebben die een soort van ja waar kunnen je het mee vergelijken ? een soort muilkorf voor een hond eraan hangen 
A: 	ja precies en dan zo'n soort bezemp 
B: 	ja Bezempje onder zijn arm aan de ja 
A: 	aan de ander kant ja 
B: 	aan de ander kant ja 
A: 	dat zijn acht voor mij 
B: 	even kijken als we dus het kruis weer trekken dan hangen die van het kruis aan de linkerkant 
B: 	en dan eigenlijk praktisch helemaal in het midden 
B: 	gewoon net zoals mijn vorig zeggen maar precies in het hoek waar die lijn elkaar kruisen daar zitten die 
A: 	ja precies als je dat linkerbovenvak nemen daar dan rechtsonder 
B: 	ja ja 
B: 	ja precies nou dat zijn het goed denken ik 
A: 	ja 
A: 	daar hebben ik hem ook 
A: 	dit zijn die met ja de horizontaal balk bovenop en de de bezem 
B: 	ik weten welk je bedoelen ja 
B: 	dat zijn voor mij E 
A: 	en die zitten voor mij in het rechterondervak en dan tegen het kruis aan 
B: 	nee bij mij zitten die echt in het rechterbovenvak 
A: 	nee dat nee 
B: 	dit zijn weer die met het bezemp en het balk bovenop 
A: 	die zijn voor mij yes dat zijn één voor mij 
B: 	en die vinden we links boven helemaal rechts tegen de scheidingslijn aan 
A: 	ja 
A: 	daar hebben ik hem ook 
A: 	ja dit zijn de de schoonmaakrobot met de bezem en de dat ding bovenop 
B: 	schoonmaakrobot 
B: 	ik vinden hem goed vinden dat zijn E voor mij 
A: 	die zitten voor mij ik denken in het linkerondervak maar heel erg tegen de scheidingslijn links aan 
B: 	hij zitten voor mij wel links maar bedoelen jij tegen scheidingslijn aan die zo 
A: 	hij zitten 
A: 	tegen de horizontaal lijn hij zitten een beetje ja in dat vak zitten die Linksboven in het links in het midden 
B: 	ja 
B: 	ja dan hebben we denken ik wel ja dan hebben we zeker weten hetzelfde 
B: 	even kijken het hoe zeggen je dat nou ? het schoonmaakrobo met Bezempje 
A: 	yes 
A: 	dat zijn zestien voor mij 
B: 	en die staan rechtsonder 
B: 	ongeveer halverwege maar wel onderin 
A: 	ja het zijn 
B: 	en aan de rechterkant helemaal niks veel 
A: 	ja 
A: 	die hebben ik ook 
A: 	dit zijn de schoonmaakrobot 
B: 	die moeten ik weten dat zijn O 
A: 	hij staan voor mij helemaal linksonder 
B: 	ja voor mij ook 
B: 	er staan eigenlijk niks ander echt heel dicht in de buurt 
A: 	nee 
