A: 	ja 
B: 	dan moeten ik beginnen 
A: 	ja dat denken ik wel 
B: 	oké 
B: 	het plaat waar het vierkant omheen staat hebben aan de linkerkant een ja een soort buisje naar buiten of één en aan de achterkant een rond 
B: 	dus het rond zitten aan de achterkant 
A: 	oké maar zitten er ook nog iets bovenop 
B: 	er zitten nog een ja een soort kegel bovenop 
A: 	zo'n pluimp bovenop 
B: 	ja precies pluimp kegel 
A: 	ja 
B: 	en dan het rond aan de achterkant dat zijn volgens mij de enig met een 
A: 	ja en dan zo'n zeskantig staaf aan de linkerzijkant 
B: 	perfect 
A: 	ja 
B: 	ja die 
A: 	dat zijn dertien 
B: 	oké bij mij staan die echt in het midden 
B: 	in de precies in het midden van het scherm 
A: 	ja 
B: 	en dan hebben je niet de onderste helemaal onderste rij daar daar staan bij mij op de onderste rij staan drie plaat 
A: 	nee 
A: 	ja bij mij ook 
B: 	en dan hebben je boven de rechtsbof de middel 
A: 	ja rechtsboven de middel 
B: 	snap 
B: 	ja en dan staan er daarnaast staan er nog één met zo'n zo'n ei ernaast zeggen maar 
A: 	ja ja ja 
B: 	snapan je wat ik bedoelen 
A: 	ja ik snapen wat je bedoelen even kijken dus uit het midden en dan net iets rechtsonder uit het midden 
B: 	ja niet niet helemaal onder maar net daarboven 
A: 	ja als je 
A: 	ja ja ja ja precies ja ja nee dan staan ze op dezelfde plek 
B: 	ja oké 
A: 	ja dit zijn die emmer met aan de achterkant dat rond 
A: 	aan de linkerzijkant zo'n zeshoekig staaf en dan boven 
B: 	ja 
B: 	ja dat zijn O 
A: 	en die zitten bij mij ja kijken als je zeggen maar dat kruis hebben als je een kruis maken tussen midden verticaal en dan zitten die net in die in die hoek rechts 
B: 	ja ja ja 
B: 	onder of 
A: 	rechtsbof 
B: 	nee onder 
A: 	ja 
B: 	dus op een ander plek 
B: 	deze zijn met dat rond achterop 
B: 	en die staaf met die zes hoek aan de aan de aan de linkerkant 
A: 	ja met die zeshoekig staaf aan de en 
B: 	ja en dat rond achterop 
A: 	ja precies 
A: 	dat zijn acht 
B: 	en die staan echt helemaal rechts in de hoek 
A: 	ja 
B: 	er staan ver niks omheen 
A: 	nee precies dat hebben ik ook 
B: 	dan moeten jij drukken 
A: 	ja dit zijn dat rond aan de achterkant 
A: 	die zeshoekig staaf aan de linkerzijkant 
B: 	ja 
B: 	C 
A: 	C even kijken 
A: 	ja deze zitten dan in het kwadrant rechts 
A: 	boven 
B: 	ja 
A: 	en dan uit het midden of ja het midden daarvan zeggen maar 
B: 	ja 
A: 	net iets link ervan zullen ik zeggen 
B: 	ik hebben hem juist als je het midden van het heel scherm hebben daar net iets rechts van 
A: 	nee nee 
B: 	ander plek 
A: 	ja 
B: 	ik hebben hem dus hier staan 
A: 	nee ik hebben ik hebben dit over aan de zijkant zo 
B: 	op deze hoogte 
B: 	ja ik moeten ik moeten echt twee dit gebruiken dus ander plek 
A: 	nee ja 
B: 	dit zijn dat rond achterop 
A: 	ja dat rond achterop 
A: 	met die zeshoekig staaf 
B: 	yes 
A: 	ja dat zijn zeven 
B: 	en die staan bij mij in het kwadrant linksonder 
A: 	ja 
B: 	en dan zo'n stuk van de rand af 
A: 	nee nee nee bij mij zitten die echt gewoon bijna strak links onderaan 
B: 	nee dan ander plek 
A: 	ja dit zijn die dat rond aan de achterkant en die zeshoekig staaf aan de zijkant 
B: 	ja C 
A: 	en die staan dan hier bij mij 
A: 	dus dan zullen die bij jou daar staan denken ik 
B: 	ja kloppen 
A: 	ongeveer 
A: 	en dan 
B: 	er vaststaan nog wel een plaat ik hebben hem dit van de zijkant af en dit ook van de dit van de bovenkant 
A: 	nee nee bij bij mij zijn het zo'n stuk van de 
B: 	dat zijn een ander plek 
