A: 	ja deze hebben eigenlijk gewoon een kop zonder ver iets er aan op de voorgrond 
A: 	en daarachter liggen een soort staaf met twee van die bollet aan het einde dat lijken alsof hij er helemaal achterlang lopen 
A: 	met een soort schuin vlak erachter met achter het schuin vlak weer zo'n ding naar beneden 
B: 	ja 
B: 	ik noemen het een schans 
B: 	kloppen dat 
A: 	een schans ja ja ja 
B: 	ok 
A: 	ja 
B: 	en dat ding dat lopen door lijken het 
A: 	ja maar dan niet net niet niet helemaal recht alsof hij echt zo'n hoek maken achter de 
B: 	ja 
B: 	nee ja hij zijn wel een beetje scheef 
B: 	kloppen 
B: 	okan dan zijn het K 
A: 	ok 
A: 	en hij zitten bij mij in het linksboven vlak 
A: 	en binnen het linksboven vlak zitten hij beetje linksonder in het midden 
A: 	ongeveer 
B: 	linksonder in het midden ja voor mij ook wel 
A: 	ja 
A: 	ja veel naar het midden het zijn wel nog net in het linksonder vlak maar wel naar het midden echt alsof je hem net in de hoek van het linksonder vlak zullen zetten 
B: 	dus als je hem in het midden zullen zetten zullen hij alleen maar iets naar links gaan toch 
B: 	linksonder 
A: 	nee dan zullen hij voor mij naar iets naar rechtsboven gaan 
A: 	denken ik 
A: 	zeggen we wel 
B: 	ik weten niet of ik heel scheel zijn maar 
A: 	jij zeggen dat hij voor jou zullen die naar waar moeten naar 
B: 	linksonder 
A: 	om naar het midden te gaan 
B: 	nee vanuit het midden 
A: 	o ja ja nee vanuit het midden zijn het inderdaad net naar linksonder ja kloppen 
B: 	ok ja hij moeten inderdaad naar rechts om naar het midden te gaan 
A: 	ja ja precies maar als je vanuit het midden beginnen dan zijn het net naar linksonder nee kloppen 
B: 	ok dan gaan we denken ik voor hetzelfde 
A: 	ja 
B: 	dit zijn weer met die soort spijker door het heel kop heen met die schans 
A: 	ja ja ja dat zijn nummer negen 
B: 	en hij zitten in het vlak rechtsboven en daarbinnen zitten hij aan de onderkant en dan een beetje in het midden 
A: 	ja maar iets veel naar rechts 
B: 	ja iets veel naar rechts 
A: 	ja ok 
A: 	ja dit zijn met die doorlopen spijkerachtig dat achterlangs lopen met zo'n knik erachter en die schans 
B: 	ja dat zijn voor mij F 
A: 	en hij liggen links onder en dan rechtsboven 
B: 	ja bij mij liggen hij dan weer iets hoog waardoor ik zullen zeggen rechts links boven en rechtsonder 
A: 	liggen hij echt volledig linksboven of zullen hij zeggen maar zo half op de grens zitten 
B: 	ik zullen wel zeggen Linksboven 
A: 	ja ok nee ik zullen zeggen linksonder dus dan zitten hij denken ik op een ander plek 
B: 	okan dan zijn het rood 
B: 	dit zijn die spijker die door het heel kop heen gaan en met die schans 
A: 	ja even zoeken waar die staan dat zijn nummer drie 
B: 	en hij liggen in het linksonder vak en dan weer een beetje sowieso onderaan en dan weer beetje rechts van het midden 
A: 	ja 
A: 	rechts van het midden 
B: 	ja 
B: 	dus links passen er nog twee en rechts past er nog één 
A: 	het midden zijn zeggen maar de groot middenlijn of de klein middenlijn 
B: 	nee de klein middenlijn dus die klein verticaal 
A: 	ja ja nee dat zijn wel hetzelfde 
A: 	dit zijn weer met die spijker die er achterlangs helemaal doorheen lopen en de schans 
B: 	ja dat zijn voor mij L 
A: 	en die liggen rechtsonder en dan Linksboven eigenlijk tegen de hoek van het midden aan 
B: 	ok bij mij liggen hij echt in het midden dus dat zijn niet 
A: 	ok nee 
B: 	dit zijn met die spijker er doorheen en die schans 
A: 	ja dat zijn nummer vijf 
B: 	en hij liggen op de verticaal middenlijn en er past er nog één onder 
A: 	ja 
